row_id,legacy_row_id,seed_qid,seed_label,qid,label,target,prediction,classification,confidence,depth,reaching_property,reaching_property_label
row5,Q104530765|Q36180,Q104530765,Hugo Nathan,Q36180,writer,0,0,EXCLUDE,0.65,5,P106,occupation
row24,Q104530765|Q47309996,Q104530765,Hugo Nathan,Q47309996,Adolf Wuester,1,1,INCLUDE,0.7,5,P3342,significant person
row31,Q104530765|Q68074438,Q104530765,Hugo Nathan,Q68074438,WikiProject Livius,0,0,EXCLUDE,0.95,5,P5008,on focus list of Wikimedia project
row43,Q104530765|Q18745022,Q104530765,Hugo Nathan,Q18745022,Alec N. Wildenstein,1,1,INCLUDE,0.95,3,P127,owned by
row60,Q104530765|Q87842429,Q104530765,Hugo Nathan,Q87842429,"Apple, Pear and Orange",1,1,INCLUDE,1.0,5,P1830,owner of
row67,Q104530765|Q3181656,Q104530765,Hugo Nathan,Q3181656,The Nuttall Encyclopædia,0,0,EXCLUDE,0.95,5,P1343,described by source
row105,Q104530765|Q21785872,Q104530765,Hugo Nathan,Q21785872,"Edge of the Woods Near L'Hermitage, Pontoise",1,1,INCLUDE,0.95,3,P1830,owner of
row108,Q104530765|Q96297,Q104530765,Hugo Nathan,Q96297,Emil Georg Bührle,1,1,INCLUDE,0.95,5,P3342,significant person
row144,Q104530765|Q1768721,Q104530765,Hugo Nathan,Q1768721,Gujin Tushu Jicheng,0,0,NOT_VISITED,,5,P1343,described by source
row161,Q104530765|Q58433306,Q104530765,Hugo Nathan,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",1,1,INCLUDE,0.7,5,P1343,described by source
row170,Q104530765|Q89929597,Q104530765,Hugo Nathan,Q89929597,hedendaagsesieraden.nl,0,0,EXCLUDE,0.8,5,P1343,described by source
row179,Q104530765|Q27051827,Q104530765,Hugo Nathan,Q27051827,"Hoff's Kurze Biographien, vol 2",0,0,EXCLUDE,0.95,5,P1343,described by source
row182,Q104530765|Q16000367,Q104530765,Hugo Nathan,Q16000367,horse breeder,0,0,EXCLUDE,0.9,4,P106,occupation
row188,Q104530765|Q333256,Q104530765,Hugo Nathan,Q333256,"Hugh Grosvenor, 1st Duke of Westminster",0,1,INCLUDE,0.7,4,P127,owned by
row193,Q104530765|Q106727050,Q104530765,Hugo Nathan,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,1,0,EXCLUDE,0.85,5,P1343,described by source
row210,Q104530765|Q100708933,Q104530765,Hugo Nathan,Q100708933,Martin Fabiani,1,1,INCLUDE,0.85,5,P3342,significant person
row215,Q104530765|Q3175096,Q104530765,Hugo Nathan,Q3175096,Jean Walter,1,1,INCLUDE,0.8,5,P26,spouse
row274,Q104530765|Q49246672,Q104530765,Hugo Nathan,Q49246672,Mount of Sainte-Victoire,1,1,INCLUDE,1.0,5,P1830,owner of
row276,Q104530765|Q12954454,Q104530765,Hugo Nathan,Q12954454,Nathan Wildenstein,1,1,INCLUDE,0.95,3,P127,owned by
row294,Q104530765|Q67311526,Q104530765,Hugo Nathan,Q67311526,Obalky knih.cz,0,0,EXCLUDE,0.95,5,P1343,described by source
row339,Q104530765|Q47310686,Q104530765,Hugo Nathan,Q47310686,Paul Cailleux,1,1,INCLUDE,0.85,5,P127,owned by
row352,Q104530765|Q49757,Q104530765,Hugo Nathan,Q49757,poet,0,0,EXCLUDE,0.7,5,P106,occupation
row378,Q104530765|Q27096203,Q104530765,Hugo Nathan,Q27096203,Saint John the Baptist,1,1,INCLUDE,0.95,5,P1830,owner of
row418,Q104530765|Q73357989,Q104530765,Hugo Nathan,Q73357989,Survey of GLAM open access policy and practice,0,0,EXCLUDE,0.9,5,P1343,described by source
row426,Q104530765|Q1766280,Q104530765,Hugo Nathan,Q1766280,Svensk uppslagsbok,0,0,EXCLUDE,0.95,5,P1343,described by source
row428,Q104530765|Q250867,Q104530765,Hugo Nathan,Q250867,Catholic priest,0,0,EXCLUDE,0.95,5,P106,occupation
row432,Q104530765|Q25393460,Q104530765,Hugo Nathan,Q25393460,Catholic deacon,0,0,EXCLUDE,0.95,5,P106,occupation
row439,Q104530765|Q1039808,Q104530765,Hugo Nathan,Q1039808,Carl Montag,1,1,INCLUDE,0.95,5,P127,owned by
row452,Q104530765|Q602358,Q104530765,Hugo Nathan,Q602358,Brockhaus and Efron Encyclopedic Dictionary,0,0,EXCLUDE,0.95,5,P1343,described by source
row466,Q104530765|Q7720110,Q104530765,Hugo Nathan,Q7720110,The Brierwood Pipe,0,1,INCLUDE,0.7,5,P1830,owner of
row542,Q104530765|Q66362718,Q104530765,Hugo Nathan,Q66362718,1001 Paintings You Must See Before You Die,0,0,EXCLUDE,0.75,4,P1343,described by source
