row_id,legacy_row_id,fold,from,starting label,QID,label,depth,target,prediction,correct,reached,decision_source,model_depth
row2,Q214867|Q17355822,0,Q214867,National Gallery of Art,Q17355822,Yonker Ramp and his Sweetheart,5,0,1,0,True,model,5
row3,Q1634926|Q36180,3,Q1634926,Hugo Cassirer,Q36180,writer,3,0,0,1,True,model,3
row4,Q867510|Q36180,1,Q867510,Cypresses,Q36180,writer,4,0,0,1,True,model,4
row6,Q21948567|Q36180,4,Q21948567,Sunflowers,Q36180,writer,2,0,0,1,True,model,2
row7,Q17277888|Q36180,0,Q17277888,Gottlieb Friedrich Reber,Q36180,writer,4,0,0,1,True,model,4
row8,Q29441758|Q36180,1,Q29441758,Margarete Mauthner,Q36180,writer,5,0,0,1,True,model,5
row9,Q11770767|Q36180,3,Q11770767,Still life with coffee pot  dishes and fruit,Q36180,writer,2,0,0,1,True,model,2
row10,Q74128|Q36180,0,Q74128,Alfred Flechtheim,Q36180,writer,3,0,0,1,True,model,3
row11,Q17277888|Q20275618,0,Q17277888,Gottlieb Friedrich Reber,Q20275618,A Peasant Woman Digging in Front of Her Cottage,5,1,1,1,True,model,5
row13,Q160236|Q20275618,1,Q160236,Metropolitan Museum of Art,Q20275618,A Peasant Woman Digging in Front of Her Cottage,5,1,1,1,True,model,5
row14,Q74128|Q20275618,0,Q74128,Alfred Flechtheim,Q20275618,A Peasant Woman Digging in Front of Her Cottage,5,1,1,1,True,model,5
row21,Q17277888|Q20267520,0,Q17277888,Gottlieb Friedrich Reber,Q20267520,Abraham's Sacrifice of Isaac,5,0,1,0,True,model,5
row22,Q74128|Q20267520,0,Q74128,Alfred Flechtheim,Q20267520,Abraham's Sacrifice of Isaac,5,0,1,0,True,model,5
row23,Q867510|Q47309996,1,Q867510,Cypresses,Q47309996,Adolf Wuester,4,1,1,1,True,model,4
row26,Q160236|Q47309996,1,Q160236,Metropolitan Museum of Art,Q47309996,Adolf Wuester,4,1,1,1,True,model,4
row37,Q74128|Q13382529,0,Q74128,Alfred Flechtheim,Q13382529,WikiProject about human rights,2,0,0,1,True,model,2
row42,Q867510|Q18745022,1,Q867510,Cypresses,Q18745022,Alec N. Wildenstein,4,1,1,1,True,model,4
row46,Q160236|Q24575431,1,Q160236,Metropolitan Museum of Art,Q24575431,Alexander II,5,0,0,1,True,model,7
row47,Q214867|Q317578,0,Q214867,National Gallery of Art,Q317578,"Alexander Karađorđević, Prince of Serbia",5,0,0,1,True,model,5
row48,Q26221176|Q7933396,0,Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q7933396,Violin and Grapes,2,1,1,1,True,model,2
row49,Q17277888|Q7933396,0,Q17277888,Gottlieb Friedrich Reber,Q7933396,Violin and Grapes,3,1,1,1,True,model,3
row50,Q55680361|Q19681547,4,Q55680361,Oskar Reichel,Q19681547,"View of Pirna, from Sonnestein Castle",3,1,1,1,True,model,3
row52,Q867510|Q120993,1,Q867510,Cypresses,Q120993,Amedeo Modigliani,5,1,1,1,True,model,5
row53,Q55680361|Q26221176,4,Q55680361,Oskar Reichel,Q26221176,Two Poplars in the Alpilles near Saint-Rémy,5,1,1,1,True,model,5
row54,Q21948567|Q333634,4,Q21948567,Sunflowers,Q333634,translator,2,0,0,1,True,model,2
row55,Q214867|Q333634,0,Q214867,National Gallery of Art,Q333634,translator,5,0,0,1,True,model,5
row56,Q17277888|Q1234713,0,Q17277888,Gottlieb Friedrich Reber,Q1234713,theologian,4,0,0,1,True,model,4
row57,Q160236|Q19429021,1,Q160236,Metropolitan Museum of Art,Q19429021,Theodor Fischer,5,1,1,1,True,model,5
row58,Q160236|Q27980299,1,Q160236,Metropolitan Museum of Art,Q27980299,Apollo and Daphne,5,0,1,0,True,model,5
row61,Q867510|Q19912997,1,Q867510,Cypresses,Q19912997,Barges at Pontoise,4,1,1,1,True,model,4
row62,Q17277888|Q19912997,0,Q17277888,Gottlieb Friedrich Reber,Q19912997,Barges at Pontoise,3,1,1,1,True,model,9
