prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cells,,cells,https://lod.nal.usda.gov/nalt/2895,1.0,True,,INCLUDE
acinar cells,acinous cells,acinar cells (acinous cells),https://lod.nal.usda.gov/nalt/2893,0.95,True,skos:broader; skos:narrower,INCLUDE
adipocytes,fat cells; lipocytes,"adipocytes (fat cells, lipocytes)",https://lod.nal.usda.gov/nalt/4218,0.95,True,skos:broader; skos:narrower,INCLUDE
aleurone cells,,aleurone cells,https://lod.nal.usda.gov/nalt/6264,0.95,True,skos:broader; skos:narrower,INCLUDE
antigen-presenting cells,antigen presenting cells,antigen-presenting cells (antigen presenting cells),https://lod.nal.usda.gov/nalt/10342,0.95,True,skos:broader; skos:narrower,INCLUDE
bacteriocytes,mycetocytes,bacteriocytes (mycetocytes),https://lod.nal.usda.gov/nalt/15235,0.95,True,skos:broader; skos:narrower,INCLUDE
blood cells,,blood cells,https://lod.nal.usda.gov/nalt/18061,0.95,True,skos:broader; skos:narrower,INCLUDE
bundle sheath cells,,bundle sheath cells,https://lod.nal.usda.gov/nalt/20383,0.95,True,skos:broader; skos:narrower,INCLUDE
cell viability,cell survival; cellular viability,"cell viability (cell survival, cellular viability)",https://lod.nal.usda.gov/nalt/206983,0.95,True,skos:related,INCLUDE
chondrocytes,cartilage cells,chondrocytes (cartilage cells),https://lod.nal.usda.gov/nalt/22715,0.95,True,skos:broader; skos:narrower,INCLUDE
chromaffin cells,,chromaffin cells,https://lod.nal.usda.gov/nalt/23458,0.95,True,skos:broader; skos:narrower,INCLUDE
chromatophores,,chromatophores,https://lod.nal.usda.gov/nalt/191628,0.95,True,skos:broader; skos:narrower,INCLUDE
coelomocytes,,coelomocytes,https://lod.nal.usda.gov/nalt/322529,0.95,True,skos:broader; skos:narrower,INCLUDE
cultured cells,,cultured cells,https://lod.nal.usda.gov/nalt/23380,0.75,True,skos:broader; skos:narrower,INCLUDE
endothelial cells,,endothelial cells,https://lod.nal.usda.gov/nalt/23459,0.95,True,skos:broader; skos:narrower,INCLUDE
epithelial cells,,epithelial cells,https://lod.nal.usda.gov/nalt/23460,0.95,True,skos:broader; skos:narrower,INCLUDE
eukaryotic cells,eucaryotes; eucaryotic cells; eukaryotes,"eukaryotic cells (eucaryotes, eucaryotic cells, eukaryotes)",https://lod.nal.usda.gov/nalt/23461,0.95,True,skos:broader; skos:narrower,INCLUDE
fibroblasts,dermal fibroblasts; fibroblast cells,"fibroblasts (dermal fibroblasts, fibroblast cells)",https://lod.nal.usda.gov/nalt/23462,0.95,True,skos:broader; skos:narrower,INCLUDE
germ cells,gametes; germ line; germline; reproductive cells; sex cells; sexual cells,"germ cells (gametes, germ line, germline, reproductive cells, sex cells, sexual cells)",https://lod.nal.usda.gov/nalt/23463,0.98,True,skos:broader; skos:narrower,INCLUDE
giant cells,polykaryocytes; syncytia; syncytium,"giant cells (polykaryocytes, syncytia, syncytium)",https://lod.nal.usda.gov/nalt/23464,0.97,True,skos:broader; skos:narrower,INCLUDE
gonadotropic cells,,gonadotropic cells,https://lod.nal.usda.gov/nalt/23465,0.97,True,skos:broader; skos:narrower,INCLUDE
granulosa cells,,granulosa cells,https://lod.nal.usda.gov/nalt/23466,0.98,True,skos:broader; skos:narrower,INCLUDE
guard cells,,guard cells,https://lod.nal.usda.gov/nalt/23467,0.98,True,skos:broader; skos:narrower,INCLUDE
hemocytes,haemocytes,hemocytes (haemocytes),https://lod.nal.usda.gov/nalt/23468,0.97,True,skos:broader; skos:narrower,INCLUDE
Leydig cells,testicular interstitial cells,Leydig cells (testicular interstitial cells),https://lod.nal.usda.gov/nalt/23472,0.98,True,skos:broader; skos:narrower,INCLUDE
luteal cells,,luteal cells,https://lod.nal.usda.gov/nalt/23473,0.97,True,skos:broader; skos:narrower,INCLUDE
mast cells,,mast cells,https://lod.nal.usda.gov/nalt/23474,0.98,True,skos:broader; skos:narrower,INCLUDE
myocytes,muscle cells,myocytes (muscle cells),https://lod.nal.usda.gov/nalt/23476,0.99,True,skos:broader; skos:narrower,INCLUDE
