prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
artificial cells,synthetic cells,artificial cells (synthetic cells),https://lod.nal.usda.gov/nalt/266214,0.95,False,skos:related,EXCLUDE
cell transplantation,,cell transplantation,https://lod.nal.usda.gov/nalt/23441,0.95,False,skos:related,EXCLUDE
cellular microenvironment,cell microenvironment,cellular microenvironment (cell microenvironment),https://lod.nal.usda.gov/nalt/226485,0.7,True,skos:related,EXCLUDE
islets of Langerhans,alpha cells (pancreatic); beta cells (pancreatic); delta cells (pancreatic); islet cells; pancreas islets; pancreatic B cells; pancreatic D cells; pancreatic alpha cells; pancreatic beta cells; pancreatic delta cells; pancreatic islets; pancreatic polypeptide cells,"islets of Langerhans (alpha cells (pancreatic), beta cells (pancreatic), delta cells (pancreatic), islet cells, pancreas islets, pancreatic B cells, pancreatic D cells, pancreatic alpha cells, pancreatic beta cells, pancreatic delta cells, pancreatic islets, pancreatic polypeptide cells)",https://lod.nal.usda.gov/nalt/6863,0.65,True,skos:broader; skos:narrower,EXCLUDE
spores,,spores,https://lod.nal.usda.gov/nalt/15200,0.7,True,skos:broader; skos:narrower,EXCLUDE
adipogenesis,adipogenic differentiation,adipogenesis (adipogenic differentiation),https://lod.nal.usda.gov/nalt/70809,0.65,True,skos:related,EXCLUDE
adipokines,adipocytokines; adipokine,"adipokines (adipocytokines, adipokine)",https://lod.nal.usda.gov/nalt/132364,0.9,False,skos:related,EXCLUDE
adiponectin,,adiponectin,https://lod.nal.usda.gov/nalt/132363,0.95,False,skos:related,EXCLUDE
adipophilin,perilipin 2,adipophilin (perilipin 2),https://lod.nal.usda.gov/nalt/196331,0.9,False,skos:related,EXCLUDE
adipose tissue,,adipose tissue,https://lod.nal.usda.gov/nalt/4220,0.95,False,skos:related,EXCLUDE
aleurone layer,,aleurone layer,https://lod.nal.usda.gov/nalt/6265,0.9,False,skos:broader; skos:narrower,EXCLUDE
animal ovaries,mammalian ovary,animal ovaries (mammalian ovary),https://lod.nal.usda.gov/nalt/29278,0.95,False,skos:broader; skos:narrower,EXCLUDE
bacteria,,bacteria,https://lod.nal.usda.gov/nalt/2350,0.7,False,skos:related,EXCLUDE
bacteriome,mycetome,bacteriome (mycetome),https://lod.nal.usda.gov/nalt/218603,0.9,False,skos:related,EXCLUDE
beta-3 adrenergic receptors,,beta-3 adrenergic receptors,https://lod.nal.usda.gov/nalt/316457,0.95,False,skos:related,EXCLUDE
blood,,blood,https://lod.nal.usda.gov/nalt/18059,0.95,False,skos:broader; skos:narrower,EXCLUDE
blood cell counts,blood cell number; blood picture,"blood cell counts (blood cell number, blood picture)",https://lod.nal.usda.gov/nalt/18073,0.9,False,skos:related,EXCLUDE
