prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
biological resistance,biocide resistance,biological resistance (biocide resistance),https://lod.nal.usda.gov/nalt/114,0.85,False,skos:broader; skos:narrower,EXCLUDE
herd immunity,community immunity,herd immunity (community immunity),https://lod.nal.usda.gov/nalt/263906,0.65,True,skos:broader; skos:narrower,EXCLUDE
immunologic diseases,immunological diseases,immunologic diseases (immunological diseases),https://lod.nal.usda.gov/nalt/340,0.9,False,skos:related,EXCLUDE
secondary infection,,secondary infection,https://lod.nal.usda.gov/nalt/266333,0.9,False,skos:related,EXCLUDE
animal anatomy,human anatomy,animal anatomy (human anatomy),https://lod.nal.usda.gov/nalt/47,0.95,False,skos:broader; skos:narrower,EXCLUDE
autoimmune diseases,,autoimmune diseases,https://lod.nal.usda.gov/nalt/13994,0.95,False,skos:related,EXCLUDE
bioinformatics,computational biology; computational genetics; computational molecular biology,"bioinformatics (computational biology, computational genetics, computational molecular biology)",https://lod.nal.usda.gov/nalt/17402,0.95,False,skos:broader; skos:narrower,EXCLUDE
bone marrow,,bone marrow,https://lod.nal.usda.gov/nalt/9528,0.7,False,skos:broader; skos:narrower,EXCLUDE
CRISPR-Cas systems,CRISPR/Cas9 system,CRISPR-Cas systems (CRISPR/Cas9 system),https://lod.nal.usda.gov/nalt/329078,0.9,False,skos:related,EXCLUDE
hypersensitivity,allergic reaction; allergies; allergy,"hypersensitivity (allergic reaction, allergies, allergy)",https://lod.nal.usda.gov/nalt/6555,1.0,False,skos:related,EXCLUDE
immune evasion,,immune evasion,https://lod.nal.usda.gov/nalt/31973,1.0,False,skos:related,EXCLUDE
immunocastration,immuno-castration,immunocastration (immuno-castration),https://lod.nal.usda.gov/nalt/290558,0.85,True,skos:related,EXCLUDE
immunocompromised population,immunocompromised hosts; immunocompromised individuals,"immunocompromised population (immunocompromised hosts, immunocompromised individuals)",https://lod.nal.usda.gov/nalt/136991,0.9,False,skos:related,EXCLUDE
insect biology,,insect biology,https://lod.nal.usda.gov/nalt/37357,1.0,False,skos:broader; skos:narrower,EXCLUDE
metabolomics,metabolic profiling; metabolome analysis; metabonomic study; metabonomics,"metabolomics (metabolic profiling, metabolome analysis, metabonomic study, metabonomics)",https://lod.nal.usda.gov/nalt/17412,1.0,False,skos:related,EXCLUDE
proteomics,nutriproteomics,proteomics (nutriproteomics),https://lod.nal.usda.gov/nalt/17414,1.0,False,skos:related,EXCLUDE
