prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
immunity,protective immunity,immunity (protective immunity),https://lod.nal.usda.gov/nalt/2996,1.0,True,,INCLUDE
adaptive immunity,acquired immune system; acquired immunity; adaptive immune response; adaptive immune system; adoptive immunity,"adaptive immunity (acquired immune system, acquired immunity, adaptive immune response, adaptive immune system, adoptive immunity)",https://lod.nal.usda.gov/nalt/105992,0.95,True,skos:broader; skos:narrower,INCLUDE
antibody affinity,antibody avidity,antibody affinity (antibody avidity),https://lod.nal.usda.gov/nalt/217636,0.9,True,skos:broader; skos:narrower,INCLUDE
antibody diversity,germ line theory; immunoglobulin diversity,"antibody diversity (germ line theory, immunoglobulin diversity)",https://lod.nal.usda.gov/nalt/217635,0.95,True,skos:broader; skos:narrower,INCLUDE
antibody specificity,,antibody specificity,https://lod.nal.usda.gov/nalt/217634,0.95,True,skos:broader; skos:narrower,INCLUDE
autoimmunity,autoimmune response,autoimmunity (autoimmune response),https://lod.nal.usda.gov/nalt/13995,0.95,True,skos:broader; skos:narrower,INCLUDE
cross immunity,cross-immunity; cross-protective immunity,"cross immunity (cross-immunity, cross-protective immunity)",https://lod.nal.usda.gov/nalt/30199,0.85,True,skos:broader; skos:narrower,INCLUDE
immune response,immunity response; immunological response,"immune response (immunity response, immunological response)",https://lod.nal.usda.gov/nalt/10232,0.95,True,skos:broader; skos:narrower,INCLUDE
immunocompetence,immune competence,immunocompetence (immune competence),https://lod.nal.usda.gov/nalt/28327,0.95,True,skos:broader; skos:narrower,INCLUDE
immunoinformatics,computational immunology; immune-based systems; immunocomputing,"immunoinformatics (computational immunology, immune-based systems, immunocomputing)",https://lod.nal.usda.gov/nalt/266183,0.7,True,skos:related,INCLUDE
immunomodulation,immunoregulation,immunomodulation (immunoregulation),https://lod.nal.usda.gov/nalt/203529,0.8,True,skos:broader; skos:narrower,INCLUDE
innate immunity,innate immune response; innate immune system; natural immunity,"innate immunity (innate immune response, innate immune system, natural immunity)",https://lod.nal.usda.gov/nalt/105991,0.95,True,skos:broader; skos:narrower,INCLUDE
mucosal immunity,mucosal immune response,mucosal immunity (mucosal immune response),https://lod.nal.usda.gov/nalt/46975,0.7,True,skos:broader; skos:narrower,INCLUDE
passive immunity,,passive immunity,https://lod.nal.usda.gov/nalt/4326,0.95,True,skos:broader; skos:narrower,INCLUDE
sterilizing immunity,,sterilizing immunity,https://lod.nal.usda.gov/nalt/262790,0.95,True,skos:broader; skos:narrower,INCLUDE
active immunity,active immune response,active immunity (active immune response),https://lod.nal.usda.gov/nalt/70758,0.95,True,skos:broader; skos:narrower,INCLUDE
antibodies,,antibodies,https://lod.nal.usda.gov/nalt/10218,0.95,True,skos:related,INCLUDE
antibody formation,antibody production; antibody response; autoantibody production,"antibody formation (antibody production, antibody response, autoantibody production)",https://lod.nal.usda.gov/nalt/10230,0.95,True,skos:broader; skos:narrower,INCLUDE
