prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
biological resistance,biocide resistance,biological resistance (biocide resistance),https://lod.nal.usda.gov/nalt/114,0.95,False,skos:broader; skos:narrower,EXCLUDE
herd immunity,community immunity,herd immunity (community immunity),https://lod.nal.usda.gov/nalt/263906,0.75,True,skos:broader; skos:narrower,EXCLUDE
immune system,,immune system,https://lod.nal.usda.gov/nalt/8973,0.9,False,skos:related,EXCLUDE
immunologic diseases,immunological diseases,immunologic diseases (immunological diseases),https://lod.nal.usda.gov/nalt/340,0.95,False,skos:related,EXCLUDE
insect immunity,,insect immunity,https://lod.nal.usda.gov/nalt/46974,0.7,True,skos:broader; skos:narrower,EXCLUDE
secondary infection,,secondary infection,https://lod.nal.usda.gov/nalt/266333,0.9,False,skos:related,EXCLUDE
antibody engineering,,antibody engineering,https://lod.nal.usda.gov/nalt/297821,0.75,False,skos:related,EXCLUDE
autoimmune diseases,,autoimmune diseases,https://lod.nal.usda.gov/nalt/13994,0.9,False,skos:related,EXCLUDE
bioinformatics,computational biology; computational genetics; computational molecular biology,"bioinformatics (computational biology, computational genetics, computational molecular biology)",https://lod.nal.usda.gov/nalt/17402,0.95,False,skos:broader; skos:narrower,EXCLUDE
CRISPR-Cas systems,CRISPR/Cas9 system,CRISPR-Cas systems (CRISPR/Cas9 system),https://lod.nal.usda.gov/nalt/329078,0.85,False,skos:related,EXCLUDE
graft rejection,allograft rejection; host versus graft reactions; transplant rejection; transplantation rejection,"graft rejection (allograft rejection, host versus graft reactions, transplant rejection, transplantation rejection)",https://lod.nal.usda.gov/nalt/6679,0.7,True,skos:broader; skos:narrower,EXCLUDE
graft versus host reactions,,graft versus host reactions,https://lod.nal.usda.gov/nalt/23447,0.7,True,skos:broader; skos:narrower,EXCLUDE
hypersensitivity,allergic reaction; allergies; allergy,"hypersensitivity (allergic reaction, allergies, allergy)",https://lod.nal.usda.gov/nalt/6555,0.9,False,skos:related,EXCLUDE
immunocastration,immuno-castration,immunocastration (immuno-castration),https://lod.nal.usda.gov/nalt/290558,0.85,True,skos:related,EXCLUDE
immunochemistry,,immunochemistry,https://lod.nal.usda.gov/nalt/46984,0.75,True,skos:related,EXCLUDE
immunocompromised population,immunocompromised hosts; immunocompromised individuals,"immunocompromised population (immunocompromised hosts, immunocompromised individuals)",https://lod.nal.usda.gov/nalt/136991,0.9,False,skos:related,EXCLUDE
immunogenetics,,immunogenetics,https://lod.nal.usda.gov/nalt/10352,0.75,True,skos:related,EXCLUDE
immunologic techniques,immunologic tests; immunological techniques; immunological tests; serologic tests; serological tests,"immunologic techniques (immunologic tests, immunological techniques, immunological tests, serologic tests, serological tests)",https://lod.nal.usda.gov/nalt/5134,0.9,True,skos:related,EXCLUDE
metabolomics,metabolic profiling; metabolome analysis; metabonomic study; metabonomics,"metabolomics (metabolic profiling, metabolome analysis, metabonomic study, metabonomics)",https://lod.nal.usda.gov/nalt/17412,0.95,False,skos:related,EXCLUDE
proteomics,nutriproteomics,proteomics (nutriproteomics),https://lod.nal.usda.gov/nalt/17414,0.95,False,skos:related,EXCLUDE
skin prick tests,,skin prick tests,https://lod.nal.usda.gov/nalt/311643,0.75,True,skos:related,EXCLUDE
allergoids,formalinized allergoids; formalized allergoids,"allergoids (formalinized allergoids, formalized allergoids)",https://lod.nal.usda.gov/nalt/335656,0.8,True,skos:related,EXCLUDE
animal research,,animal research,https://lod.nal.usda.gov/nalt/199785,0.95,False,skos:broader; skos:narrower,EXCLUDE
animal-friendly affinity reagents,,animal-friendly affinity reagents,https://lod.nal.usda.gov/nalt/84266496,0.9,True,skos:broader; skos:narrower,EXCLUDE
antibody microarrays,,antibody microarrays,https://lod.nal.usda.gov/nalt/205675,0.8,True,skos:related,EXCLUDE
ascites,pulmonary hypertensive syndrome,ascites (pulmonary hypertensive syndrome),https://lod.nal.usda.gov/nalt/733,0.85,True,skos:broader; skos:narrower,EXCLUDE
autophagosomes,,autophagosomes,https://lod.nal.usda.gov/nalt/336342,0.9,False,skos:related,EXCLUDE
