prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,0.9,False,skos:related,EXCLUDE
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,0.95,False,skos:related,EXCLUDE
biocides,biocidal agents; biocidal compounds; biocidal products; biocidal substances,"biocides (biocidal agents, biocidal compounds, biocidal products, biocidal substances)",https://lod.nal.usda.gov/nalt/148552,0.8,False,skos:related,EXCLUDE
chemical control,chemical treatment (disease); chemical treatment (pest),"chemical control (chemical treatment (disease), chemical treatment (pest))",https://lod.nal.usda.gov/nalt/24625,0.95,False,skos:related,EXCLUDE
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,0.95,False,skos:related,EXCLUDE
foggers,cold foggers; fogging machines; thermal foggers,"foggers (cold foggers, fogging machines, thermal foggers)",https://lod.nal.usda.gov/nalt/284633,0.75,False,skos:related,EXCLUDE
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,0.75,False,skos:related,EXCLUDE
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,0.95,False,skos:related,EXCLUDE
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,0.75,False,skos:related,EXCLUDE
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,0.7,False,skos:related,EXCLUDE
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,0.95,False,skos:related,EXCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,0.85,False,skos:related,EXCLUDE
soil drenching,soil drench; soil drenches,"soil drenching (soil drench, soil drenches)",https://lod.nal.usda.gov/nalt/24628,0.7,False,skos:related,EXCLUDE
soil treatment,application to soil; soil application,"soil treatment (application to soil, soil application)",https://lod.nal.usda.gov/nalt/11343,0.7,False,skos:related,EXCLUDE
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,0.95,False,skos:broader; skos:narrower,EXCLUDE
