prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
pest control,,pest control,https://lod.nal.usda.gov/nalt/291,1.0,True,,INCLUDE
pesticides,,pesticides,https://lod.nal.usda.gov/nalt/287,1.0,True,,INCLUDE
acaricides,miticides,acaricides (miticides),https://lod.nal.usda.gov/nalt/817,0.95,True,skos:broader; skos:narrower,INCLUDE
adulticides,,adulticides,https://lod.nal.usda.gov/nalt/818,0.95,True,skos:broader; skos:narrower,INCLUDE
algicides,algaecides,algicides (algaecides),https://lod.nal.usda.gov/nalt/819,0.95,True,skos:broader; skos:narrower,INCLUDE
avicides,,avicides,https://lod.nal.usda.gov/nalt/820,0.95,True,skos:broader; skos:narrower,INCLUDE
biological pest control,biological control of pests,biological pest control (biological control of pests),https://lod.nal.usda.gov/nalt/136198,0.95,True,skos:broader; skos:narrower,INCLUDE
biopesticides,bio-based pesticides; biobased pesticides; biofungicides; bioherbicides; bioinsecticides; biological insecticides; biological pesticides; biorational pesticides; environmentally friendly pesticides; environmentally-friendly pesticides,"biopesticides (bio-based pesticides, biobased pesticides, biofungicides, bioherbicides, bioinsecticides, biological insecticides, biological pesticides, biorational pesticides, environmentally friendly pesticides, environmentally-friendly pesticides)",https://lod.nal.usda.gov/nalt/17220,0.95,True,skos:broader; skos:narrower,INCLUDE
carbamate pesticides,,carbamate pesticides,https://lod.nal.usda.gov/nalt/812,0.95,True,skos:broader; skos:narrower,INCLUDE
chemical control,chemical treatment (disease); chemical treatment (pest),"chemical control (chemical treatment (disease), chemical treatment (pest))",https://lod.nal.usda.gov/nalt/24625,0.85,False,skos:related,INCLUDE
chemosterilants,,chemosterilants,https://lod.nal.usda.gov/nalt/216949,0.7,True,skos:broader; skos:narrower,INCLUDE
disinfestation,,disinfestation,https://lod.nal.usda.gov/nalt/28786,0.7,True,skos:broader; skos:narrower,INCLUDE
foggers,cold foggers; fogging machines; thermal foggers,"foggers (cold foggers, fogging machines, thermal foggers)",https://lod.nal.usda.gov/nalt/284633,0.75,False,skos:related,INCLUDE
fungicides,antifungal agents (pesticides); fungicidal agents (pesticides),"fungicides (antifungal agents (pesticides), fungicidal agents (pesticides))",https://lod.nal.usda.gov/nalt/821,0.95,True,skos:broader; skos:narrower,INCLUDE
herbicides,weed killers,herbicides (weed killers),https://lod.nal.usda.gov/nalt/822,0.95,True,skos:broader; skos:narrower,INCLUDE
insect control,insect pest management,insect control (insect pest management),https://lod.nal.usda.gov/nalt/45983,1.0,True,skos:broader; skos:narrower,INCLUDE
insecticides,,insecticides,https://lod.nal.usda.gov/nalt/823,1.0,True,skos:broader; skos:narrower,INCLUDE
Interregional Research Project 4 (IR-4),IR-4 Project; IR-4 program,"Interregional Research Project 4 (IR-4) (IR-4 Project, IR-4 program)",https://lod.nal.usda.gov/nalt/223614,0.7,False,skos:related,INCLUDE
larvicides,,larvicides,https://lod.nal.usda.gov/nalt/824,1.0,True,skos:broader; skos:narrower,INCLUDE
metam-potassium,metham-potassium; potassium N-methyldithiocarbamate; potassium methyldithiocarbamate,"metam-potassium (metham-potassium, potassium N-methyldithiocarbamate, potassium methyldithiocarbamate)",https://lod.nal.usda.gov/nalt/98255,1.0,True,skos:broader; skos:narrower,INCLUDE
mite control,,mite control,https://lod.nal.usda.gov/nalt/53148,1.0,True,skos:broader; skos:narrower,INCLUDE
mollusc control,control of slugs; control of snails,"mollusc control (control of slugs, control of snails)",https://lod.nal.usda.gov/nalt/53264,1.0,True,skos:broader; skos:narrower,INCLUDE
molluscicides,,molluscicides,https://lod.nal.usda.gov/nalt/825,1.0,True,skos:broader; skos:narrower,INCLUDE
nematicides,anti-nematodal agents; antinematodal agents; antinematodals; filaricides,"nematicides (anti-nematodal agents, antinematodal agents, antinematodals, filaricides)",https://lod.nal.usda.gov/nalt/826,0.7,True,skos:broader; skos:narrower,INCLUDE
organochlorine pesticides,organic chlorine pesticides,organochlorine pesticides (organic chlorine pesticides),https://lod.nal.usda.gov/nalt/813,1.0,True,skos:broader; skos:narrower,INCLUDE
organophosphorus pesticides,organophosphate pesticides,organophosphorus pesticides (organophosphate pesticides),https://lod.nal.usda.gov/nalt/814,1.0,True,skos:broader; skos:narrower,INCLUDE
organotin pesticides,,organotin pesticides,https://lod.nal.usda.gov/nalt/815,1.0,True,skos:broader; skos:narrower,INCLUDE
ovicides,,ovicides,https://lod.nal.usda.gov/nalt/827,1.0,True,skos:broader; skos:narrower,INCLUDE
pest control equipment,,pest control equipment,https://lod.nal.usda.gov/nalt/386,1.0,False,skos:related,INCLUDE
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,0.8,False,skos:related,INCLUDE
pesticide adjuvants,,pesticide adjuvants,https://lod.nal.usda.gov/nalt/4235,1.0,False,skos:related,INCLUDE
pesticide application equipment,,pesticide application equipment,https://lod.nal.usda.gov/nalt/142739,1.0,False,skos:related,INCLUDE
pesticide formulations,insecticide formulations,pesticide formulations (insecticide formulations),https://lod.nal.usda.gov/nalt/4715,1.0,True,skos:broader; skos:narrower,INCLUDE
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,1.0,False,skos:related,INCLUDE
pesticide law,"Federal Insectide, Fungicide, and Rodenticide Act; Pesticide Registration Improvement Act of 2003; pesticide legislation","pesticide law (Federal Insectide, Fungicide, and Rodenticide Act, Pesticide Registration Improvement Act of 2003, pesticide legislation)",https://lod.nal.usda.gov/nalt/68867,0.95,False,skos:related,INCLUDE
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,0.95,False,skos:related,INCLUDE
pesticide safety and handling,,pesticide safety and handling,https://lod.nal.usda.gov/nalt/5593,0.95,False,skos:related,INCLUDE
plant-incorporated protectants,PIPs (plant incorporated protectants); plant incorporated protectants,"plant-incorporated protectants (PIPs (plant incorporated protectants), plant incorporated protectants)",https://lod.nal.usda.gov/nalt/68395,0.95,False,skos:related,INCLUDE
poisoning of animal pests,,poisoning of animal pests,https://lod.nal.usda.gov/nalt/15548,0.75,True,skos:broader; skos:narrower,INCLUDE
predator control,,predator control,https://lod.nal.usda.gov/nalt/57548,0.9,True,skos:broader; skos:narrower,INCLUDE
rodent control,,rodent control,https://lod.nal.usda.gov/nalt/57549,0.95,True,skos:broader; skos:narrower,INCLUDE
rodenticides,rat poisons,rodenticides (rat poisons),https://lod.nal.usda.gov/nalt/828,0.95,True,skos:broader; skos:narrower,INCLUDE
silvicides,,silvicides,https://lod.nal.usda.gov/nalt/306575,0.9,True,skos:broader; skos:narrower,INCLUDE
slow-release pesticides,slow-release insecticides,slow-release pesticides (slow-release insecticides),https://lod.nal.usda.gov/nalt/270491,0.95,True,skos:broader; skos:narrower,INCLUDE
soil drenching,soil drench; soil drenches,"soil drenching (soil drench, soil drenches)",https://lod.nal.usda.gov/nalt/24628,0.7,False,skos:related,INCLUDE
soil treatment,application to soil; soil application,"soil treatment (application to soil, soil application)",https://lod.nal.usda.gov/nalt/11343,0.7,False,skos:related,INCLUDE
stored product protection,stored products pest control,stored product protection (stored products pest control),https://lod.nal.usda.gov/nalt/57550,0.95,True,skos:broader; skos:narrower,INCLUDE
thidiazuron,TDZ (thidiazuron),thidiazuron (TDZ (thidiazuron)),https://lod.nal.usda.gov/nalt/213696,0.9,True,skos:broader; skos:narrower,INCLUDE
tick control,,tick control,https://lod.nal.usda.gov/nalt/57551,0.95,True,skos:broader; skos:narrower,INCLUDE
trap crops,,trap crops,https://lod.nal.usda.gov/nalt/30194,0.9,False,skos:related,INCLUDE
vermin control,,vermin control,https://lod.nal.usda.gov/nalt/305662,0.95,True,skos:broader; skos:narrower,INCLUDE
"1,3-dichloropropene",,"1,3-dichloropropene",https://lod.nal.usda.gov/nalt/1182,0.95,True,skos:broader; skos:narrower,INCLUDE
acaricidal properties,,acaricidal properties,https://lod.nal.usda.gov/nalt/2070,0.95,False,skos:related,INCLUDE
acaricide resistance,acaricide tolerance,acaricide resistance (acaricide tolerance),https://lod.nal.usda.gov/nalt/2077,0.95,False,skos:related,INCLUDE
acibenzolar-S-methyl,,acibenzolar-S-methyl,https://lod.nal.usda.gov/nalt/213714,0.95,True,skos:broader; skos:narrower,INCLUDE
aldicarb,,aldicarb,https://lod.nal.usda.gov/nalt/6194,1.0,True,skos:broader; skos:narrower,INCLUDE
aldicarb sulfoxide,,aldicarb sulfoxide,https://lod.nal.usda.gov/nalt/213661,0.95,True,skos:broader; skos:narrower,INCLUDE
aldoxycarb,aldicarb sulfone,aldoxycarb (aldicarb sulfone),https://lod.nal.usda.gov/nalt/6225,0.95,True,skos:broader; skos:narrower,INCLUDE
algae control,,algae control,https://lod.nal.usda.gov/nalt/289,0.95,False,skos:related,INCLUDE
amide fungicides,,amide fungicides,https://lod.nal.usda.gov/nalt/327885,0.95,True,skos:broader; skos:narrower,INCLUDE
amide herbicides,,amide herbicides,https://lod.nal.usda.gov/nalt/7661,0.95,True,skos:broader; skos:narrower,INCLUDE
aminocarb,,aminocarb,https://lod.nal.usda.gov/nalt/7860,0.95,True,skos:broader; skos:narrower,INCLUDE
aminocyclopyrachlor,,aminocyclopyrachlor,https://lod.nal.usda.gov/nalt/231129,0.95,False,skos:related,INCLUDE
amitraz,,amitraz,https://lod.nal.usda.gov/nalt/2079,0.95,True,skos:broader; skos:narrower,INCLUDE
ant control,,ant control,https://lod.nal.usda.gov/nalt/105332,0.95,True,skos:broader; skos:narrower,INCLUDE
anthelmintics,antihelmintics; vermifuges,"anthelmintics (antihelmintics, vermifuges)",https://lod.nal.usda.gov/nalt/1577,0.7,False,skos:broader; skos:narrower,INCLUDE
anticoagulant rodenticides,,anticoagulant rodenticides,https://lod.nal.usda.gov/nalt/340625,0.95,True,skos:broader; skos:narrower,INCLUDE
application equipment,,application equipment,https://lod.nal.usda.gov/nalt/368,0.95,False,skos:broader; skos:narrower,INCLUDE
application methods,,application methods,https://lod.nal.usda.gov/nalt/4605,0.95,False,skos:broader; skos:narrower,INCLUDE
arboricides,,arboricides,https://lod.nal.usda.gov/nalt/300751,0.95,True,skos:broader; skos:narrower,INCLUDE
aromatic acid herbicides,,aromatic acid herbicides,https://lod.nal.usda.gov/nalt/12289,0.95,True,skos:broader; skos:narrower,INCLUDE
arsenical herbicides,,arsenical herbicides,https://lod.nal.usda.gov/nalt/12374,0.95,True,skos:broader; skos:narrower,INCLUDE
azafenidin,,azafenidin,https://lod.nal.usda.gov/nalt/14292,0.95,True,skos:broader; skos:narrower,INCLUDE
azocyclotin,,azocyclotin,https://lod.nal.usda.gov/nalt/14327,0.95,True,skos:broader; skos:narrower,INCLUDE
baiting,,baiting,https://lod.nal.usda.gov/nalt/15547,0.75,False,skos:related,INCLUDE
baits,,baits,https://lod.nal.usda.gov/nalt/285,0.95,False,skos:related,INCLUDE
