prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,0.7,False,skos:related,EXCLUDE
animal control services,,animal control services,https://lod.nal.usda.gov/nalt/127349,0.8,False,skos:related,EXCLUDE
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,0.95,False,skos:related,EXCLUDE
biocides,biocidal agents; biocidal compounds; biocidal products; biocidal substances,"biocides (biocidal agents, biocidal compounds, biocidal products, biocidal substances)",https://lod.nal.usda.gov/nalt/148552,0.7,False,skos:related,EXCLUDE
bird control,,bird control,https://lod.nal.usda.gov/nalt/17592,0.6,True,skos:broader; skos:narrower,EXCLUDE
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,0.95,False,skos:related,EXCLUDE
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,0.7,False,skos:related,EXCLUDE
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,1.0,False,skos:related,EXCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,0.65,False,skos:related,EXCLUDE
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,0.95,False,skos:broader; skos:narrower,EXCLUDE
"2,4,5-trichlorophenol",,"2,4,5-trichlorophenol",https://lod.nal.usda.gov/nalt/1349,0.7,True,skos:broader; skos:narrower,EXCLUDE
4-aminopyridine,,4-aminopyridine,https://lod.nal.usda.gov/nalt/1475,0.7,True,skos:broader; skos:narrower,EXCLUDE
acrolein,acraldehyde; acrylaldehyde; acrylic aldehyde; aqualin,"acrolein (acraldehyde, acrylaldehyde, acrylic aldehyde, aqualin)",https://lod.nal.usda.gov/nalt/3103,0.7,True,skos:broader; skos:narrower,EXCLUDE
adjuvants,,adjuvants,https://lod.nal.usda.gov/nalt/199,0.65,False,skos:broader; skos:narrower,EXCLUDE
adults,adult (human); adult animals,"adults (adult (human), adult animals)",https://lod.nal.usda.gov/nalt/790,1.0,False,skos:related,EXCLUDE
aerosols,,aerosols,https://lod.nal.usda.gov/nalt/579,0.9,False,skos:related,EXCLUDE
agricultural industry,agricultural sector; agriculture industry; agroindustry,"agricultural industry (agricultural sector, agriculture industry, agroindustry)",https://lod.nal.usda.gov/nalt/5340,0.95,False,skos:broader; skos:narrower,EXCLUDE
agricultural law,agricultural law and legislation; agricultural legislation; agricultural regulations,"agricultural law (agricultural law and legislation, agricultural legislation, agricultural regulations)",https://lod.nal.usda.gov/nalt/5382,0.95,False,skos:broader; skos:narrower,EXCLUDE
agricultural programs and projects,,agricultural programs and projects,https://lod.nal.usda.gov/nalt/5452,0.95,False,skos:broader; skos:narrower,EXCLUDE
agromedicine,agricultural medicine,agromedicine (agricultural medicine),https://lod.nal.usda.gov/nalt/5425,0.85,False,skos:related,EXCLUDE
alpha-chlorohydrin,"3-MCPD; 3-monochloropropane-1,2-diol; a-chlorohydrin","alpha-chlorohydrin (3-MCPD, 3-monochloropropane-1,2-diol, a-chlorohydrin)",https://lod.nal.usda.gov/nalt/261000,0.65,False,skos:related,EXCLUDE
anti-infective properties,antiinfective activity; antiinfective properties,"anti-infective properties (antiinfective activity, antiinfective properties)",https://lod.nal.usda.gov/nalt/10142,0.9,False,skos:related,EXCLUDE
antifungal agents,antifungal agents (drugs); antifungal drugs; antimycotics; fungicidal agents (drugs); fungistats,"antifungal agents (antifungal agents (drugs), antifungal drugs, antimycotics, fungicidal agents (drugs), fungistats)",https://lod.nal.usda.gov/nalt/8119,0.9,False,skos:related,EXCLUDE
antimicrobial proteins,,antimicrobial proteins,https://lod.nal.usda.gov/nalt/877,0.65,False,skos:related,EXCLUDE
antiparasitic agents,antiparasitic drugs; endectocides; parasiticides,"antiparasitic agents (antiparasitic drugs, endectocides, parasiticides)",https://lod.nal.usda.gov/nalt/4410,0.7,False,skos:related,EXCLUDE
arsenicals,arsenic compounds,arsenicals (arsenic compounds),https://lod.nal.usda.gov/nalt/261,0.9,False,skos:related,EXCLUDE
biphenyl,diphenyl; phenylbenzene,"biphenyl (diphenyl, phenylbenzene)",https://lod.nal.usda.gov/nalt/12306,0.65,True,skos:broader; skos:narrower,EXCLUDE
birds,,birds,https://lod.nal.usda.gov/nalt/106,0.95,False,skos:related,EXCLUDE
briquettes,,briquettes,https://lod.nal.usda.gov/nalt/582,0.75,False,skos:related,EXCLUDE
butylamine,2-aminobutane,butylamine (2-aminobutane),https://lod.nal.usda.gov/nalt/1368,0.7,True,skos:broader; skos:narrower,EXCLUDE
chemical industry,,chemical industry,https://lod.nal.usda.gov/nalt/24639,0.95,False,skos:related,EXCLUDE
chemical treatment,,chemical treatment,https://lod.nal.usda.gov/nalt/2741,0.75,False,skos:related,EXCLUDE
chlorflurenol,,chlorflurenol,https://lod.nal.usda.gov/nalt/25317,0.55,True,skos:broader; skos:narrower,EXCLUDE
closantel,,closantel,https://lod.nal.usda.gov/nalt/2085,0.7,True,skos:broader; skos:narrower,EXCLUDE
control methods,control measures; control methodology; control practices; disease control methods; pest control methods,"control methods (control measures, control methodology, control practices, disease control methods, pest control methods)",https://lod.nal.usda.gov/nalt/10302,0.75,False,skos:broader; skos:narrower,EXCLUDE
crops,agricultural crops; agricultural plants; crop plants,"crops (agricultural crops, agricultural plants, crop plants)",https://lod.nal.usda.gov/nalt/7140,1.0,False,skos:broader; skos:narrower,EXCLUDE
defoliating insects,defoliator insects; forest defoliators; forest insect defoliators; insect defoliators,"defoliating insects (defoliator insects, forest defoliators, forest insect defoliators, insect defoliators)",https://lod.nal.usda.gov/nalt/314192,1.0,False,skos:related,EXCLUDE
diphenylamine,,diphenylamine,https://lod.nal.usda.gov/nalt/33801,0.65,True,skos:broader; skos:narrower,EXCLUDE
disease resistance,disease tolerance,disease resistance (disease tolerance),https://lod.nal.usda.gov/nalt/151,0.9,False,skos:related,EXCLUDE
disulfiram,,disulfiram,https://lod.nal.usda.gov/nalt/22160,0.95,True,skos:broader; skos:narrower,EXCLUDE
equipment,machinery (general); machines; mechanical devices; tools (general),"equipment (machinery (general), machines, mechanical devices, tools (general))",https://lod.nal.usda.gov/nalt/365,0.95,False,skos:broader; skos:narrower,EXCLUDE
"Federal Food, Drug and Cosmetics Act",,"Federal Food, Drug and Cosmetics Act",https://lod.nal.usda.gov/nalt/29544,0.95,False,skos:related,EXCLUDE
