prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
botany,,botany,https://lod.nal.usda.gov/nalt/162,1.0,False,skos:related,EXCLUDE
crop biosecurity,,crop biosecurity,https://lod.nal.usda.gov/nalt/17518,0.95,False,skos:related,EXCLUDE
disease and pest management,,disease and pest management,https://lod.nal.usda.gov/nalt/284,1.0,False,skos:related,EXCLUDE
disease control,disease management; disease suppression; infection control; pathogen suppression,"disease control (disease management, disease suppression, infection control, pathogen suppression)",https://lod.nal.usda.gov/nalt/290,1.0,False,skos:related,EXCLUDE
disease models,,disease models,https://lod.nal.usda.gov/nalt/9121,0.85,False,skos:related,EXCLUDE
disease-free plants,disease free plants; germ free plants; germ-free plants; germfree plants; germfree state (plants); pathogen free plants; pathogen-free plants,"disease-free plants (disease free plants, germ free plants, germ-free plants, germfree plants, germfree state (plants), pathogen free plants, pathogen-free plants)",https://lod.nal.usda.gov/nalt/67893,1.0,False,skos:related,EXCLUDE
etiological agents,aetiological agents; disease-causing agents,"etiological agents (aetiological agents, disease-causing agents)",https://lod.nal.usda.gov/nalt/136950,1.0,False,skos:related,EXCLUDE
fungi,fungal organisms; macrofungi; microfungi,"fungi (fungal organisms, macrofungi, microfungi)",https://lod.nal.usda.gov/nalt/495,1.0,False,skos:related,EXCLUDE
hail nets,anti-hail nets; hailnets,"hail nets (anti-hail nets, hailnets)",https://lod.nal.usda.gov/nalt/253146,0.8,False,skos:related,EXCLUDE
herbicide safeners,herbicide antagonists; herbicide antidotes,"herbicide safeners (herbicide antagonists, herbicide antidotes)",https://lod.nal.usda.gov/nalt/123142,0.9,False,skos:related,EXCLUDE
infectious diseases,communicable diseases,infectious diseases (communicable diseases),https://lod.nal.usda.gov/nalt/15154,0.95,False,skos:related,EXCLUDE
infectious diseases and infestations,,infectious diseases and infestations,https://lod.nal.usda.gov/nalt/329,0.95,False,skos:related,EXCLUDE
leaf wetness,,leaf wetness,https://lod.nal.usda.gov/nalt/284231,0.75,False,skos:related,EXCLUDE
noninfectious diseases,noncommunicable diseases,noninfectious diseases (noncommunicable diseases),https://lod.nal.usda.gov/nalt/330,0.95,False,skos:related,EXCLUDE
pest control,,pest control,https://lod.nal.usda.gov/nalt/291,0.95,False,skos:related,EXCLUDE
plant disease resistance,,plant disease resistance,https://lod.nal.usda.gov/nalt/142532,0.95,False,skos:related,EXCLUDE
plant parasitic nematodes,parasitic nematodes (plants); phytonematodes; phytoparasitic nematodes; phytopathogenic nematodes; plant nematodes,"plant parasitic nematodes (parasitic nematodes (plants), phytonematodes, phytoparasitic nematodes, phytopathogenic nematodes, plant nematodes)",https://lod.nal.usda.gov/nalt/8933,0.7,False,skos:related,EXCLUDE
plant pests,crop pests; pests of plants; phytophagous pests; tree pests,"plant pests (crop pests, pests of plants, phytophagous pests, tree pests)",https://lod.nal.usda.gov/nalt/17605,0.95,True,skos:related,EXCLUDE
plant viruses,,plant viruses,https://lod.nal.usda.gov/nalt/58572,0.95,True,skos:related,EXCLUDE
plant-incorporated protectants,PIPs (plant incorporated protectants); plant incorporated protectants,"plant-incorporated protectants (PIPs (plant incorporated protectants), plant incorporated protectants)",https://lod.nal.usda.gov/nalt/68395,0.95,False,skos:related,EXCLUDE
