prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
botany,,botany,https://lod.nal.usda.gov/nalt/162,0.95,False,skos:related,EXCLUDE
crop biosecurity,,crop biosecurity,https://lod.nal.usda.gov/nalt/17518,0.9,False,skos:related,EXCLUDE
disease and pest management,,disease and pest management,https://lod.nal.usda.gov/nalt/284,0.8,False,skos:related,EXCLUDE
disease control,disease management; disease suppression; infection control; pathogen suppression,"disease control (disease management, disease suppression, infection control, pathogen suppression)",https://lod.nal.usda.gov/nalt/290,0.8,False,skos:related,EXCLUDE
disease models,,disease models,https://lod.nal.usda.gov/nalt/9121,0.85,False,skos:related,EXCLUDE
etiological agents,aetiological agents; disease-causing agents,"etiological agents (aetiological agents, disease-causing agents)",https://lod.nal.usda.gov/nalt/136950,0.9,False,skos:related,EXCLUDE
fungi,fungal organisms; macrofungi; microfungi,"fungi (fungal organisms, macrofungi, microfungi)",https://lod.nal.usda.gov/nalt/495,0.95,False,skos:related,EXCLUDE
hail nets,anti-hail nets; hailnets,"hail nets (anti-hail nets, hailnets)",https://lod.nal.usda.gov/nalt/253146,0.9,False,skos:related,EXCLUDE
herbicide safeners,herbicide antagonists; herbicide antidotes,"herbicide safeners (herbicide antagonists, herbicide antidotes)",https://lod.nal.usda.gov/nalt/123142,0.85,False,skos:related,EXCLUDE
infectious diseases,communicable diseases,infectious diseases (communicable diseases),https://lod.nal.usda.gov/nalt/15154,0.9,False,skos:related,EXCLUDE
infectious diseases and infestations,,infectious diseases and infestations,https://lod.nal.usda.gov/nalt/329,0.9,False,skos:related,EXCLUDE
noninfectious diseases,noncommunicable diseases,noninfectious diseases (noncommunicable diseases),https://lod.nal.usda.gov/nalt/330,0.9,False,skos:related,EXCLUDE
pest control,,pest control,https://lod.nal.usda.gov/nalt/291,0.85,False,skos:related,EXCLUDE
plant disease resistance,,plant disease resistance,https://lod.nal.usda.gov/nalt/142532,0.95,False,skos:related,EXCLUDE
plant-incorporated protectants,PIPs (plant incorporated protectants); plant incorporated protectants,"plant-incorporated protectants (PIPs (plant incorporated protectants), plant incorporated protectants)",https://lod.nal.usda.gov/nalt/68395,0.8,False,skos:related,EXCLUDE
abiotic stress,abiotic injuries; environmental stress (on organisms),"abiotic stress (abiotic injuries, environmental stress (on organisms))",https://lod.nal.usda.gov/nalt/729,0.65,False,skos:related,EXCLUDE
Anguinidae,,Anguinidae,https://lod.nal.usda.gov/nalt/8929,0.95,False,skos:related,EXCLUDE
Aphelenchidae,,Aphelenchidae,https://lod.nal.usda.gov/nalt/10687,0.95,False,skos:related,EXCLUDE
Aphelenchoididae,,Aphelenchoididae,https://lod.nal.usda.gov/nalt/10691,0.95,False,skos:related,EXCLUDE
bacterial infections,animal bacterial diseases; animal bacterial infections; bacterial diseases of animals; bacterial infections of animals; bacterioses; human bacterial diseases,"bacterial infections (animal bacterial diseases, animal bacterial infections, bacterial diseases of animals, bacterial infections of animals, bacterioses, human bacterial diseases)",https://lod.nal.usda.gov/nalt/8545,0.99,False,skos:related,EXCLUDE
Belonolaimidae,,Belonolaimidae,https://lod.nal.usda.gov/nalt/16539,0.95,False,skos:related,EXCLUDE
birds,,birds,https://lod.nal.usda.gov/nalt/106,0.95,False,skos:related,EXCLUDE
brown-rot fungi,brown rot fungi; brown-rot fungus,"brown-rot fungi (brown rot fungi, brown-rot fungus)",https://lod.nal.usda.gov/nalt/20087,0.85,False,skos:related,EXCLUDE
bud sport,plant sport,bud sport (plant sport),https://lod.nal.usda.gov/nalt/222403,0.75,False,skos:related,EXCLUDE
Candidatus Liberibacter,Candidatus Liberobacter; Liberibacter; Liberobacter,"Candidatus Liberibacter (Candidatus Liberobacter, Liberibacter, Liberobacter)",https://lod.nal.usda.gov/nalt/21812,0.95,False,skos:related,EXCLUDE
chlorosis,,chlorosis,https://lod.nal.usda.gov/nalt/944,0.7,True,skos:broader; skos:narrower,EXCLUDE
Cicadulina bipunctata,maize orange leafhopper,Cicadulina bipunctata (maize orange leafhopper),https://lod.nal.usda.gov/nalt/234078,0.95,False,skos:related,EXCLUDE
cobweb disease,,cobweb disease,https://lod.nal.usda.gov/nalt/192970,0.65,True,skos:broader; skos:narrower,EXCLUDE
Criconematidae,,Criconematidae,https://lod.nal.usda.gov/nalt/21389,0.95,False,skos:related,EXCLUDE
crop entomology,,crop entomology,https://lod.nal.usda.gov/nalt/30118,0.75,False,skos:related,EXCLUDE
cyst nematodes,,cyst nematodes,https://lod.nal.usda.gov/nalt/31320,0.75,False,skos:broader; skos:narrower,EXCLUDE
debarking,bark removal; timber debarking; wood barking; wood debarking,"debarking (bark removal, timber debarking, wood barking, wood debarking)",https://lod.nal.usda.gov/nalt/302009,0.95,False,skos:related,EXCLUDE
decay resistance,,decay resistance,https://lod.nal.usda.gov/nalt/150,0.9,False,skos:related,EXCLUDE
defoliation,artificial defoliation; simulated defoliation,"defoliation (artificial defoliation, simulated defoliation)",https://lod.nal.usda.gov/nalt/12578,0.8,True,skos:broader; skos:narrower,EXCLUDE
dendroecology,,dendroecology,https://lod.nal.usda.gov/nalt/302040,0.95,False,skos:related,EXCLUDE
Diaphorina citri,Asian citrus psylla; Asian citrus psyllid,"Diaphorina citri (Asian citrus psylla, Asian citrus psyllid)",https://lod.nal.usda.gov/nalt/12935,0.95,False,skos:related,EXCLUDE
discoloration,discolouration,discoloration (discolouration),https://lod.nal.usda.gov/nalt/28021,0.75,False,skos:related,EXCLUDE
disease-free seeds,certified seeds; germ-free seeds; pathogen-free seeds,"disease-free seeds (certified seeds, germ-free seeds, pathogen-free seeds)",https://lod.nal.usda.gov/nalt/323808,0.85,False,skos:related,EXCLUDE
Dolichodoridae,,Dolichodoridae,https://lod.nal.usda.gov/nalt/8128,0.95,False,skos:related,EXCLUDE
embolism,embolus,embolism (embolus),https://lod.nal.usda.gov/nalt/36798,0.85,True,skos:broader; skos:narrower,EXCLUDE
endoparasites,,endoparasites,https://lod.nal.usda.gov/nalt/37053,0.8,False,skos:broader; skos:narrower,EXCLUDE
foliage plants,,foliage plants,https://lod.nal.usda.gov/nalt/302253,0.95,False,skos:related,EXCLUDE
food spoilage,food decay; food degradation; food deterioration; staling (food),"food spoilage (food decay, food degradation, food deterioration, staling (food))",https://lod.nal.usda.gov/nalt/17374,0.95,False,skos:related,EXCLUDE
forest insects,,forest insects,https://lod.nal.usda.gov/nalt/41149,0.85,False,skos:related,EXCLUDE
forest restoration,amelioration of forest sites; forest ecosystem restoration; forest lands restoration; forest landscape restoration; forest rehabilitation,"forest restoration (amelioration of forest sites, forest ecosystem restoration, forest lands restoration, forest landscape restoration, forest rehabilitation)",https://lod.nal.usda.gov/nalt/138193,0.9,False,skos:related,EXCLUDE
"Forestry, Wildland Management",,"Forestry, Wildland Management",https://lod.nal.usda.gov/nalt/127300,0.95,False,skos:broader; skos:narrower,EXCLUDE
fruit crops,,fruit crops,https://lod.nal.usda.gov/nalt/41656,0.95,False,skos:related,EXCLUDE
fungicide use reduction,fungicide reduction; fungicide usage reduction,"fungicide use reduction (fungicide reduction, fungicide usage reduction)",https://lod.nal.usda.gov/nalt/298654,0.9,False,skos:related,EXCLUDE
growth retardation,growth inhibition; growth reduction; stunting,"growth retardation (growth inhibition, growth reduction, stunting)",https://lod.nal.usda.gov/nalt/34962,0.65,False,skos:related,EXCLUDE
heat injury,,heat injury,https://lod.nal.usda.gov/nalt/1140,0.65,False,skos:related,EXCLUDE
Heteroderidae,,Heteroderidae,https://lod.nal.usda.gov/nalt/13555,0.95,False,skos:related,EXCLUDE
Hoplolaimidae,,Hoplolaimidae,https://lod.nal.usda.gov/nalt/10685,0.95,False,skos:related,EXCLUDE
hyponasty,,hyponasty,https://lod.nal.usda.gov/nalt/291549,0.85,True,skos:broader; skos:narrower,EXCLUDE
