prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
soil,,soil,https://lod.nal.usda.gov/nalt/63334,1.0,True,,INCLUDE
soil air,soil atmosphere; soil gases,"soil air (soil atmosphere, soil gases)",https://lod.nal.usda.gov/nalt/5823,0.95,True,skos:broader; skos:narrower,INCLUDE
soil morphological features,,soil morphological features,https://lod.nal.usda.gov/nalt/26939,0.95,True,skos:broader; skos:narrower,INCLUDE
soil properties,,soil properties,https://lod.nal.usda.gov/nalt/5084,0.95,True,skos:broader; skos:narrower,INCLUDE
soil types,,soil types,https://lod.nal.usda.gov/nalt/10094,0.95,True,skos:broader; skos:narrower,INCLUDE
soil water,soil moisture,soil water (soil moisture),https://lod.nal.usda.gov/nalt/21983,0.95,True,skos:broader; skos:narrower,INCLUDE
age of soil,soil age,age of soil (soil age),https://lod.nal.usda.gov/nalt/5081,0.95,True,skos:broader; skos:narrower,INCLUDE
anthropogenic soil types,,anthropogenic soil types,https://lod.nal.usda.gov/nalt/10092,0.95,True,skos:broader; skos:narrower,INCLUDE
chemical soil types,,chemical soil types,https://lod.nal.usda.gov/nalt/2734,0.95,True,skos:broader; skos:narrower,INCLUDE
climatic soil types,,climatic soil types,https://lod.nal.usda.gov/nalt/12168,0.95,True,skos:broader; skos:narrower,INCLUDE
cultural soil types,,cultural soil types,https://lod.nal.usda.gov/nalt/5473,0.75,True,skos:broader; skos:narrower,INCLUDE
earthworm burrows,earthworm channels,earthworm burrows (earthworm channels),https://lod.nal.usda.gov/nalt/35127,0.75,True,skos:broader; skos:narrower,INCLUDE
ecological soil types,,ecological soil types,https://lod.nal.usda.gov/nalt/7016,0.95,True,skos:broader; skos:narrower,INCLUDE
edaphic factors,soil environment,edaphic factors (soil environment),https://lod.nal.usda.gov/nalt/35823,0.95,True,skos:related,INCLUDE
erodibility,,erodibility,https://lod.nal.usda.gov/nalt/37925,0.7,True,skos:broader; skos:narrower,INCLUDE
genetic soil types,,genetic soil types,https://lod.nal.usda.gov/nalt/6337,0.95,True,skos:broader; skos:narrower,INCLUDE
lithological soil types,,lithological soil types,https://lod.nal.usda.gov/nalt/6754,0.95,True,skos:broader; skos:narrower,INCLUDE
mineralogical soil types,,mineralogical soil types,https://lod.nal.usda.gov/nalt/6710,0.95,True,skos:broader; skos:narrower,INCLUDE
ortsteins,,ortsteins,https://lod.nal.usda.gov/nalt/306961,0.95,True,skos:broader; skos:narrower,INCLUDE
paleosolic soil types,palaeosolic soil types; palaeosols,"paleosolic soil types (palaeosolic soil types, palaeosols)",https://lod.nal.usda.gov/nalt/20443,0.95,True,skos:broader; skos:narrower,INCLUDE
pedodiversity,soil diversity,pedodiversity (soil diversity),https://lod.nal.usda.gov/nalt/314998,0.95,True,skos:related,INCLUDE
physiographic soil types,,physiographic soil types,https://lod.nal.usda.gov/nalt/16123,0.95,True,skos:broader; skos:narrower,INCLUDE
plant available water,soil water availability,plant available water (soil water availability),https://lod.nal.usda.gov/nalt/14083,0.85,True,skos:broader; skos:narrower,INCLUDE
root channels,,root channels,https://lod.nal.usda.gov/nalt/61634,0.7,True,skos:broader; skos:narrower,INCLUDE
