prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
direct push technology,,direct push technology,https://lod.nal.usda.gov/nalt/216922,0.95,False,skos:related,EXCLUDE
geophytes,,geophytes,https://lod.nal.usda.gov/nalt/217420,0.95,False,skos:related,EXCLUDE
air,,air,https://lod.nal.usda.gov/nalt/5822,0.9,False,skos:related,EXCLUDE
capillary fringe,,capillary fringe,https://lod.nal.usda.gov/nalt/21979,0.7,False,skos:related,EXCLUDE
earthworm burrows,earthworm channels,earthworm burrows (earthworm channels),https://lod.nal.usda.gov/nalt/35127,0.7,True,skos:broader; skos:narrower,EXCLUDE
permafrost,permafrost areas,permafrost (permafrost areas),https://lod.nal.usda.gov/nalt/27783,0.7,True,skos:broader; skos:narrower,EXCLUDE
phytodesalination,phyto-desalination,phytodesalination (phyto-desalination),https://lod.nal.usda.gov/nalt/235923,0.9,False,skos:related,EXCLUDE
plant litter,leaf litter; litterfall,"plant litter (leaf litter, litterfall)",https://lod.nal.usda.gov/nalt/41163,0.7,True,skos:broader; skos:narrower,EXCLUDE
plant-water relations,plant water relations; water-plant relations,"plant-water relations (plant water relations, water-plant relations)",https://lod.nal.usda.gov/nalt/34627,0.95,False,skos:related,EXCLUDE
soil suitability,,soil suitability,https://lod.nal.usda.gov/nalt/63434,0.75,True,skos:broader; skos:narrower,EXCLUDE
soil water balance,field water balance; soil water budget,"soil water balance (field water balance, soil water budget)",https://lod.nal.usda.gov/nalt/40115,0.7,True,skos:related,EXCLUDE
water,,water,https://lod.nal.usda.gov/nalt/6435,0.95,False,skos:broader; skos:narrower,EXCLUDE
wheel tracks,tramlines (controlled traffic),wheel tracks (tramlines (controlled traffic)),https://lod.nal.usda.gov/nalt/1012,0.95,True,skos:broader; skos:narrower,EXCLUDE
worm casts,earthworm casts,worm casts (earthworm casts),https://lod.nal.usda.gov/nalt/35131,0.9,True,skos:broader; skos:narrower,EXCLUDE
age,age differences,age (age differences),https://lod.nal.usda.gov/nalt/110,0.7,False,skos:related,EXCLUDE
age determination,,age determination,https://lod.nal.usda.gov/nalt/5066,1.0,False,skos:related,EXCLUDE
biological resources,biotic resources,biological resources (biotic resources),https://lod.nal.usda.gov/nalt/17323,0.85,False,skos:broader; skos:narrower,EXCLUDE
biomass,crop biomass,biomass (crop biomass),https://lod.nal.usda.gov/nalt/15955,0.9,False,skos:related,EXCLUDE
climate,macroclimate,climate (macroclimate),https://lod.nal.usda.gov/nalt/76121,0.95,False,skos:related,EXCLUDE
corn soils,maize soils,corn soils (maize soils),https://lod.nal.usda.gov/nalt/29188,0.75,True,skos:broader; skos:narrower,EXCLUDE
diagenesis,,diagenesis,https://lod.nal.usda.gov/nalt/324774,0.95,True,skos:broader; skos:narrower,EXCLUDE
drained conditions,,drained conditions,https://lod.nal.usda.gov/nalt/34495,0.65,True,skos:broader; skos:narrower,EXCLUDE
dry environmental conditions,arid conditions; arid environments; aridity; dry environment; dry environments; xeric conditions; xeric environment; xeric environments; xeric habitats,"dry environmental conditions (arid conditions, arid environments, aridity, dry environment, dry environments, xeric conditions, xeric environment, xeric environments, xeric habitats)",https://lod.nal.usda.gov/nalt/12165,0.95,False,skos:related,EXCLUDE
eluviation,,eluviation,https://lod.nal.usda.gov/nalt/36324,0.65,True,skos:related,EXCLUDE
environmental factors,abiotic factors; ecofactors; ecological factors; environment factors; environmental conditions; environmental filters; environmental variables,"environmental factors (abiotic factors, ecofactors, ecological factors, environment factors, environmental conditions, environmental filters, environmental variables)",https://lod.nal.usda.gov/nalt/4631,0.95,False,skos:broader; skos:narrower,EXCLUDE
flooded conditions,water logging; waterlogged conditions; waterlogging,"flooded conditions (water logging, waterlogged conditions, waterlogging)",https://lod.nal.usda.gov/nalt/40586,0.95,True,skos:broader; skos:narrower,EXCLUDE
humification,,humification,https://lod.nal.usda.gov/nalt/17317,0.65,False,skos:related,EXCLUDE
illuviation,,illuviation,https://lod.nal.usda.gov/nalt/46935,0.65,True,skos:related,EXCLUDE
irrigated conditions,irrigated sites; irrigated stands,"irrigated conditions (irrigated sites, irrigated stands)",https://lod.nal.usda.gov/nalt/47756,0.9,True,skos:broader; skos:narrower,EXCLUDE
irrigation systems,irrigation equipment,irrigation systems (irrigation equipment),https://lod.nal.usda.gov/nalt/16017,0.95,True,skos:related,EXCLUDE
leaching,,leaching,https://lod.nal.usda.gov/nalt/36326,0.95,True,skos:related,EXCLUDE
measurement,,measurement,https://lod.nal.usda.gov/nalt/2179,0.95,False,skos:broader; skos:narrower,EXCLUDE
minerals,,minerals,https://lod.nal.usda.gov/nalt/18621,0.8,False,skos:related,EXCLUDE
petrographic microscopy,,petrographic microscopy,https://lod.nal.usda.gov/nalt/292313,0.95,False,skos:related,EXCLUDE
