prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cell transplantation,,cell transplantation,https://lod.nal.usda.gov/nalt/23441,0.95,False,skos:related,EXCLUDE
islets of Langerhans,alpha cells (pancreatic); beta cells (pancreatic); delta cells (pancreatic); islet cells; pancreas islets; pancreatic B cells; pancreatic D cells; pancreatic alpha cells; pancreatic beta cells; pancreatic delta cells; pancreatic islets; pancreatic polypeptide cells,"islets of Langerhans (alpha cells (pancreatic), beta cells (pancreatic), delta cells (pancreatic), islet cells, pancreas islets, pancreatic B cells, pancreatic D cells, pancreatic alpha cells, pancreatic beta cells, pancreatic delta cells, pancreatic islets, pancreatic polypeptide cells)",https://lod.nal.usda.gov/nalt/6863,0.95,True,skos:broader; skos:narrower,EXCLUDE
adipokines,adipocytokines; adipokine,"adipokines (adipocytokines, adipokine)",https://lod.nal.usda.gov/nalt/132364,1.0,False,skos:related,EXCLUDE
adiponectin,,adiponectin,https://lod.nal.usda.gov/nalt/132363,1.0,False,skos:related,EXCLUDE
adipophilin,perilipin 2,adipophilin (perilipin 2),https://lod.nal.usda.gov/nalt/196331,1.0,False,skos:related,EXCLUDE
adipose tissue,,adipose tissue,https://lod.nal.usda.gov/nalt/4220,1.0,False,skos:related,EXCLUDE
aleurone layer,,aleurone layer,https://lod.nal.usda.gov/nalt/6265,0.9,False,skos:broader; skos:narrower,EXCLUDE
animal ovaries,mammalian ovary,animal ovaries (mammalian ovary),https://lod.nal.usda.gov/nalt/29278,1.0,False,skos:broader; skos:narrower,EXCLUDE
antigen presentation,,antigen presentation,https://lod.nal.usda.gov/nalt/10340,0.9,False,skos:related,EXCLUDE
artificial membranes,biomimetic membranes; synthetic membranes,"artificial membranes (biomimetic membranes, synthetic membranes)",https://lod.nal.usda.gov/nalt/12600,1.0,False,skos:broader; skos:narrower,EXCLUDE
bacteria,,bacteria,https://lod.nal.usda.gov/nalt/2350,1.0,False,skos:related,EXCLUDE
bacteriome,mycetome,bacteriome (mycetome),https://lod.nal.usda.gov/nalt/218603,0.9,False,skos:related,EXCLUDE
beta-3 adrenergic receptors,,beta-3 adrenergic receptors,https://lod.nal.usda.gov/nalt/316457,1.0,False,skos:related,EXCLUDE
blood,,blood,https://lod.nal.usda.gov/nalt/18059,1.0,False,skos:broader; skos:narrower,EXCLUDE
blood cell counts,blood cell number; blood picture,"blood cell counts (blood cell number, blood picture)",https://lod.nal.usda.gov/nalt/18073,1.0,False,skos:related,EXCLUDE
bone resorption,osteoclastic bone loss; osteolysis,"bone resorption (osteoclastic bone loss, osteolysis)",https://lod.nal.usda.gov/nalt/18501,0.8,False,skos:related,EXCLUDE
California mastitis test,California milk test,California mastitis test (California milk test),https://lod.nal.usda.gov/nalt/243947,1.0,False,skos:related,EXCLUDE
cartilage,,cartilage,https://lod.nal.usda.gov/nalt/22713,1.0,False,skos:related,EXCLUDE
cathelicidins,cathelicidin peptides,cathelicidins (cathelicidin peptides),https://lod.nal.usda.gov/nalt/235861,1.0,False,skos:related,EXCLUDE
CD146 antigen,gicerin; melanoma cell adhesion molecule,"CD146 antigen (gicerin, melanoma cell adhesion molecule)",https://lod.nal.usda.gov/nalt/293046,1.0,False,skos:related,EXCLUDE
cell culture,cell cultures; cell culturing,"cell culture (cell cultures, cell culturing)",https://lod.nal.usda.gov/nalt/23373,0.9,False,skos:related,EXCLUDE
