prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cells,,cells,https://lod.nal.usda.gov/nalt/2895,1.0,True,,INCLUDE
acinar cells,acinous cells,acinar cells (acinous cells),https://lod.nal.usda.gov/nalt/2893,,True,skos:broader; skos:narrower,
adipocytes,fat cells; lipocytes,"adipocytes (fat cells, lipocytes)",https://lod.nal.usda.gov/nalt/4218,,True,skos:broader; skos:narrower,
aleurone cells,,aleurone cells,https://lod.nal.usda.gov/nalt/6264,,True,skos:broader; skos:narrower,
antigen-presenting cells,antigen presenting cells,antigen-presenting cells (antigen presenting cells),https://lod.nal.usda.gov/nalt/10342,,True,skos:broader; skos:narrower,
artificial cells,synthetic cells,artificial cells (synthetic cells),https://lod.nal.usda.gov/nalt/266214,,False,skos:related,
bacteriocytes,mycetocytes,bacteriocytes (mycetocytes),https://lod.nal.usda.gov/nalt/15235,,True,skos:broader; skos:narrower,
blood cells,,blood cells,https://lod.nal.usda.gov/nalt/18061,,True,skos:broader; skos:narrower,
bundle sheath cells,,bundle sheath cells,https://lod.nal.usda.gov/nalt/20383,,True,skos:broader; skos:narrower,
cell transplantation,,cell transplantation,https://lod.nal.usda.gov/nalt/23441,,False,skos:related,
cell viability,cell survival; cellular viability,"cell viability (cell survival, cellular viability)",https://lod.nal.usda.gov/nalt/206983,,True,skos:related,
cellular microenvironment,cell microenvironment,cellular microenvironment (cell microenvironment),https://lod.nal.usda.gov/nalt/226485,,True,skos:related,
chondrocytes,cartilage cells,chondrocytes (cartilage cells),https://lod.nal.usda.gov/nalt/22715,,True,skos:broader; skos:narrower,
chromaffin cells,,chromaffin cells,https://lod.nal.usda.gov/nalt/23458,,True,skos:broader; skos:narrower,
chromatophores,,chromatophores,https://lod.nal.usda.gov/nalt/191628,,True,skos:broader; skos:narrower,
coelomocytes,,coelomocytes,https://lod.nal.usda.gov/nalt/322529,,True,skos:broader; skos:narrower,
cultured cells,,cultured cells,https://lod.nal.usda.gov/nalt/23380,,True,skos:broader; skos:narrower,
endothelial cells,,endothelial cells,https://lod.nal.usda.gov/nalt/23459,,True,skos:broader; skos:narrower,
epithelial cells,,epithelial cells,https://lod.nal.usda.gov/nalt/23460,,True,skos:broader; skos:narrower,
eukaryotic cells,eucaryotes; eucaryotic cells; eukaryotes,"eukaryotic cells (eucaryotes, eucaryotic cells, eukaryotes)",https://lod.nal.usda.gov/nalt/23461,,True,skos:broader; skos:narrower,
fibroblasts,dermal fibroblasts; fibroblast cells,"fibroblasts (dermal fibroblasts, fibroblast cells)",https://lod.nal.usda.gov/nalt/23462,,True,skos:broader; skos:narrower,
germ cells,gametes; germ line; germline; reproductive cells; sex cells; sexual cells,"germ cells (gametes, germ line, germline, reproductive cells, sex cells, sexual cells)",https://lod.nal.usda.gov/nalt/23463,,True,skos:broader; skos:narrower,
giant cells,polykaryocytes; syncytia; syncytium,"giant cells (polykaryocytes, syncytia, syncytium)",https://lod.nal.usda.gov/nalt/23464,,True,skos:broader; skos:narrower,
gonadotropic cells,,gonadotropic cells,https://lod.nal.usda.gov/nalt/23465,,True,skos:broader; skos:narrower,
granulosa cells,,granulosa cells,https://lod.nal.usda.gov/nalt/23466,,True,skos:broader; skos:narrower,
guard cells,,guard cells,https://lod.nal.usda.gov/nalt/23467,,True,skos:broader; skos:narrower,
hemocytes,haemocytes,hemocytes (haemocytes),https://lod.nal.usda.gov/nalt/23468,,True,skos:broader; skos:narrower,
islets of Langerhans,alpha cells (pancreatic); beta cells (pancreatic); delta cells (pancreatic); islet cells; pancreas islets; pancreatic B cells; pancreatic D cells; pancreatic alpha cells; pancreatic beta cells; pancreatic delta cells; pancreatic islets; pancreatic polypeptide cells,"islets of Langerhans (alpha cells (pancreatic), beta cells (pancreatic), delta cells (pancreatic), islet cells, pancreas islets, pancreatic B cells, pancreatic D cells, pancreatic alpha cells, pancreatic beta cells, pancreatic delta cells, pancreatic islets, pancreatic polypeptide cells)",https://lod.nal.usda.gov/nalt/6863,,True,skos:broader; skos:narrower,
Leydig cells,testicular interstitial cells,Leydig cells (testicular interstitial cells),https://lod.nal.usda.gov/nalt/23472,,True,skos:broader; skos:narrower,
luteal cells,,luteal cells,https://lod.nal.usda.gov/nalt/23473,,True,skos:broader; skos:narrower,
mast cells,,mast cells,https://lod.nal.usda.gov/nalt/23474,,True,skos:broader; skos:narrower,
myocytes,muscle cells,myocytes (muscle cells),https://lod.nal.usda.gov/nalt/23476,,True,skos:broader; skos:narrower,
neoplasm cells,cancer cells; circulating cancer cells; circulating neoplastic cells; circulating tumor cells; circulating tumour cells; neoplasma cells; neoplastic cells; tumor cells; tumour cells,"neoplasm cells (cancer cells, circulating cancer cells, circulating neoplastic cells, circulating tumor cells, circulating tumour cells, neoplasma cells, neoplastic cells, tumor cells, tumour cells)",https://lod.nal.usda.gov/nalt/246543,,True,skos:broader; skos:narrower,
neurosecretory cells,,neurosecretory cells,https://lod.nal.usda.gov/nalt/23477,,True,skos:broader; skos:narrower,
nurse cells,nursing cells,nurse cells (nursing cells),https://lod.nal.usda.gov/nalt/300304,,True,skos:broader; skos:narrower,
osteoblasts,osteoblastic cells,osteoblasts (osteoblastic cells),https://lod.nal.usda.gov/nalt/23478,,True,skos:broader; skos:narrower,
osteoclasts,,osteoclasts,https://lod.nal.usda.gov/nalt/18534,,True,skos:broader; skos:narrower,
phagocytes,phagocytic cells,phagocytes (phagocytic cells),https://lod.nal.usda.gov/nalt/23479,,True,skos:broader; skos:narrower,
plant root cells,root cells,plant root cells (root cells),https://lod.nal.usda.gov/nalt/328577,,True,skos:broader; skos:narrower,
prokaryotic cells,procaryotes; procaryotic cells; prokaryotes,"prokaryotic cells (procaryotes, procaryotic cells, prokaryotes)",https://lod.nal.usda.gov/nalt/15097,,True,skos:broader; skos:narrower,
Schwann cells,,Schwann cells,https://lod.nal.usda.gov/nalt/14271,,True,skos:broader; skos:narrower,
Sertoli cells,,Sertoli cells,https://lod.nal.usda.gov/nalt/23481,,True,skos:broader; skos:narrower,
somatic cells,,somatic cells,https://lod.nal.usda.gov/nalt/23482,,True,skos:broader; skos:narrower,
splenocytes,spleen cells,splenocytes (spleen cells),https://lod.nal.usda.gov/nalt/23483,,True,skos:broader; skos:narrower,
spores,,spores,https://lod.nal.usda.gov/nalt/15200,,True,skos:broader; skos:narrower,
stromal cells,,stromal cells,https://lod.nal.usda.gov/nalt/149090,,True,skos:broader; skos:narrower,
tenocytes,,tenocytes,https://lod.nal.usda.gov/nalt/323988,,True,skos:broader; skos:narrower,
teratocytes,,teratocytes,https://lod.nal.usda.gov/nalt/23486,,True,skos:broader; skos:narrower,
thecal cells,,thecal cells,https://lod.nal.usda.gov/nalt/23487,,True,skos:broader; skos:narrower,
vegetative cells,,vegetative cells,https://lod.nal.usda.gov/nalt/23488,,True,skos:broader; skos:narrower,
adipogenesis,adipogenic differentiation,adipogenesis (adipogenic differentiation),https://lod.nal.usda.gov/nalt/70809,,True,skos:related,
adipokines,adipocytokines; adipokine,"adipokines (adipocytokines, adipokine)",https://lod.nal.usda.gov/nalt/132364,,False,skos:related,
adiponectin,,adiponectin,https://lod.nal.usda.gov/nalt/132363,,False,skos:related,
adipophilin,perilipin 2,adipophilin (perilipin 2),https://lod.nal.usda.gov/nalt/196331,,False,skos:related,
adipose tissue,,adipose tissue,https://lod.nal.usda.gov/nalt/4220,,False,skos:related,
aleurone layer,,aleurone layer,https://lod.nal.usda.gov/nalt/6265,,False,skos:broader; skos:narrower,
animal ovaries,mammalian ovary,animal ovaries (mammalian ovary),https://lod.nal.usda.gov/nalt/29278,,False,skos:broader; skos:narrower,
antigen presentation,,antigen presentation,https://lod.nal.usda.gov/nalt/10340,,False,skos:related,
apoptosis,type 1 programmed cell death,apoptosis (type 1 programmed cell death),https://lod.nal.usda.gov/nalt/11242,,True,skos:related,
artificial membranes,biomimetic membranes; synthetic membranes,"artificial membranes (biomimetic membranes, synthetic membranes)",https://lod.nal.usda.gov/nalt/12600,,False,skos:broader; skos:narrower,
axons,,axons,https://lod.nal.usda.gov/nalt/14268,,False,skos:related,
bacteria,,bacteria,https://lod.nal.usda.gov/nalt/2350,,False,skos:related,
bacterial spores,,bacterial spores,https://lod.nal.usda.gov/nalt/15199,,True,skos:broader; skos:narrower,
bacteriome,mycetome,bacteriome (mycetome),https://lod.nal.usda.gov/nalt/218603,,False,skos:related,
beta-3 adrenergic receptors,,beta-3 adrenergic receptors,https://lod.nal.usda.gov/nalt/316457,,False,skos:related,
blood,,blood,https://lod.nal.usda.gov/nalt/18059,,False,skos:broader; skos:narrower,
blood cell counts,blood cell number; blood picture,"blood cell counts (blood cell number, blood picture)",https://lod.nal.usda.gov/nalt/18073,,False,skos:related,
blood platelets,thrombocytes,blood platelets (thrombocytes),https://lod.nal.usda.gov/nalt/18080,,True,skos:broader; skos:narrower,
bone resorption,osteoclastic bone loss; osteolysis,"bone resorption (osteoclastic bone loss, osteolysis)",https://lod.nal.usda.gov/nalt/18501,,False,skos:related,
brown adipocytes,brown fat cells,brown adipocytes (brown fat cells),https://lod.nal.usda.gov/nalt/297926,,True,skos:broader; skos:narrower,
California mastitis test,California milk test,California mastitis test (California milk test),https://lod.nal.usda.gov/nalt/243947,,False,skos:related,
cardiomyocytes,cardiac muscle cells; cardiac myocytes,"cardiomyocytes (cardiac muscle cells, cardiac myocytes)",https://lod.nal.usda.gov/nalt/210293,,True,skos:broader; skos:narrower,
carpospores,,carpospores,https://lod.nal.usda.gov/nalt/329239,,True,skos:broader; skos:narrower,
cartilage,,cartilage,https://lod.nal.usda.gov/nalt/22713,,False,skos:related,
cathelicidins,cathelicidin peptides,cathelicidins (cathelicidin peptides),https://lod.nal.usda.gov/nalt/235861,,False,skos:related,
CD146 antigen,gicerin; melanoma cell adhesion molecule,"CD146 antigen (gicerin, melanoma cell adhesion molecule)",https://lod.nal.usda.gov/nalt/293046,,False,skos:related,
cell culture,cell cultures; cell culturing,"cell culture (cell cultures, cell culturing)",https://lod.nal.usda.gov/nalt/23373,,False,skos:related,
cell death,,cell death,https://lod.nal.usda.gov/nalt/11245,,True,skos:related,
cell engineering,,cell engineering,https://lod.nal.usda.gov/nalt/206573,,False,skos:related,
cell lines,,cell lines,https://lod.nal.usda.gov/nalt/23379,,True,skos:broader; skos:narrower,
cell physiology,,cell physiology,https://lod.nal.usda.gov/nalt/23356,,True,skos:broader; skos:narrower,
chloroplasts,,chloroplasts,https://lod.nal.usda.gov/nalt/25479,,True,skos:related,
chromaffin granules,,chromaffin granules,https://lod.nal.usda.gov/nalt/25729,,True,skos:related,
connective tissues,,connective tissues,https://lod.nal.usda.gov/nalt/4227,,False,skos:broader; skos:narrower,
corpus luteum,,corpus luteum,https://lod.nal.usda.gov/nalt/29277,,False,skos:broader; skos:narrower,
Cyanobacteria,Cyanochloronta; Cyanophyta; blue green algae; blue green bacteria; blue-green algae; blue-green bacteria,"Cyanobacteria (Cyanochloronta, Cyanophyta, blue green algae, blue green bacteria, blue-green algae, blue-green bacteria)",https://lod.nal.usda.gov/nalt/72,,False,skos:related,
dendritic cells,,dendritic cells,https://lod.nal.usda.gov/nalt/10347,,True,skos:broader; skos:narrower,
desmin,skeletin,desmin (skeletin),https://lod.nal.usda.gov/nalt/190839,,False,skos:related,
drug delivery systems,drug delivery applications; drug delivery methods,"drug delivery systems (drug delivery applications, drug delivery methods)",https://lod.nal.usda.gov/nalt/4249,,False,skos:related,
endospores,,endospores,https://lod.nal.usda.gov/nalt/37080,,True,skos:broader; skos:narrower,
endothelins,endothelin-1; endothelin-2; endothelin-3,"endothelins (endothelin-1, endothelin-2, endothelin-3)",https://lod.nal.usda.gov/nalt/68181,,False,skos:related,
endothelium,,endothelium,https://lod.nal.usda.gov/nalt/22425,,False,skos:related,
enterocytes,,enterocytes,https://lod.nal.usda.gov/nalt/37326,,True,skos:broader; skos:narrower,
epidermis (plant),plant epidermis,epidermis (plant) (plant epidermis),https://lod.nal.usda.gov/nalt/37574,,False,skos:broader; skos:narrower,
epithelial cell adhesion molecule,CD326 antigen; CD326 protein,"epithelial cell adhesion molecule (CD326 antigen, CD326 protein)",https://lod.nal.usda.gov/nalt/293063,,False,skos:related,
epithelium,,epithelium,https://lod.nal.usda.gov/nalt/9530,,False,skos:related,
erythrocytes,RBCs (red blood cells); red blood cells; red blood corpuscles,"erythrocytes (RBCs (red blood cells), red blood cells, red blood corpuscles)",https://lod.nal.usda.gov/nalt/18081,,True,skos:broader; skos:narrower,
exine,exospore (exine); exosporia; exosporium; extine,"exine (exospore (exine), exosporia, exosporium, extine)",https://lod.nal.usda.gov/nalt/146655,,True,skos:related,
fern spores,,fern spores,https://lod.nal.usda.gov/nalt/334605,,True,skos:broader; skos:narrower,
fluorescein diacetate,diacetylfluorescein,fluorescein diacetate (diacetylfluorescein),https://lod.nal.usda.gov/nalt/295790,,False,skos:related,
fungal spores,,fungal spores,https://lod.nal.usda.gov/nalt/4445,,True,skos:broader; skos:narrower,
gametocytes,gamonts,gametocytes (gamonts),https://lod.nal.usda.gov/nalt/32889,,True,skos:broader; skos:narrower,
gametogenesis,gamete production; pollen grain development,"gametogenesis (gamete production, pollen grain development)",https://lod.nal.usda.gov/nalt/42261,,False,skos:related,
germplasm,germ plasm,germplasm (germ plasm),https://lod.nal.usda.gov/nalt/42649,,False,skos:related,
goblet cells,,goblet cells,https://lod.nal.usda.gov/nalt/202659,,True,skos:broader; skos:narrower,
granuloma,,granuloma,https://lod.nal.usda.gov/nalt/748,,False,skos:related,
hematopoietic stem cells,haematopoietic progenitor cells; haematopoietic stem cells; hematopoietic progenitor cells,"hematopoietic stem cells (haematopoietic progenitor cells, haematopoietic stem cells, hematopoietic progenitor cells)",https://lod.nal.usda.gov/nalt/264113,,True,skos:related,
hemolymph,haemolymph,hemolymph (haemolymph),https://lod.nal.usda.gov/nalt/26359,,False,skos:broader; skos:narrower,
human umbilical vein endothelial cells,,human umbilical vein endothelial cells,https://lod.nal.usda.gov/nalt/216297,,True,skos:broader; skos:narrower,
immune system,,immune system,https://lod.nal.usda.gov/nalt/8973,,False,skos:broader; skos:narrower,
immunological synapse,,immunological synapse,https://lod.nal.usda.gov/nalt/246169,,True,skos:related,
immunophenotype,,immunophenotype,https://lod.nal.usda.gov/nalt/329494,,False,skos:related,
innate immunity,innate immune response; innate immune system; natural immunity,"innate immunity (innate immune response, innate immune system, natural immunity)",https://lod.nal.usda.gov/nalt/105991,,False,skos:related,
leukemia inhibitory factor,,leukemia inhibitory factor,https://lod.nal.usda.gov/nalt/231910,,False,skos:related,
leukocytes,WBCs (leukocytes); leucocytes; white blood cells; white blood corpuscles,"leukocytes (WBCs (leukocytes), leucocytes, white blood cells, white blood corpuscles)",https://lod.nal.usda.gov/nalt/18082,,True,skos:related,
liposomes (artificial),,liposomes (artificial),https://lod.nal.usda.gov/nalt/12604,,False,skos:related,
macrophages,,macrophages,https://lod.nal.usda.gov/nalt/40760,,True,skos:broader; skos:narrower,
mammary glands,,mammary glands,https://lod.nal.usda.gov/nalt/2896,,False,skos:related,
megaspores,,megaspores,https://lod.nal.usda.gov/nalt/42843,,True,skos:broader; skos:narrower,
megasporocytes,embryo sac mother cell; megaspore mother cell,"megasporocytes (embryo sac mother cell, megaspore mother cell)",https://lod.nal.usda.gov/nalt/36824,,True,skos:broader; skos:narrower,
melanocytes,,melanocytes,https://lod.nal.usda.gov/nalt/50928,,True,skos:broader; skos:narrower,
mesenchymal stromal cells,Wharton's jelly cells; bone marrow stromal cells; mesenchymal progenitor cells; mesenchymal stem cells; multipotent mesenchymal stromal cells,"mesenchymal stromal cells (Wharton's jelly cells, bone marrow stromal cells, mesenchymal progenitor cells, mesenchymal stem cells, multipotent mesenchymal stromal cells)",https://lod.nal.usda.gov/nalt/317395,,True,skos:broader; skos:narrower,
microspores,,microspores,https://lod.nal.usda.gov/nalt/42844,,True,skos:broader; skos:narrower,
microsporocytes,microspore mother cell,microsporocytes (microspore mother cell),https://lod.nal.usda.gov/nalt/42845,,True,skos:broader; skos:narrower,
monocytes,,monocytes,https://lod.nal.usda.gov/nalt/49956,,True,skos:broader; skos:narrower,
myelin sheath,medullary sheath; myelin,"myelin sheath (medullary sheath, myelin)",https://lod.nal.usda.gov/nalt/51883,,False,skos:related,
myoblasts,myoblast cells,myoblasts (myoblast cells),https://lod.nal.usda.gov/nalt/200148,,True,skos:related,
myogenic regulatory factors,,myogenic regulatory factors,https://lod.nal.usda.gov/nalt/287136,,False,skos:related,
myotubes,skeletal muscle fibers; skeletal myocytes,"myotubes (skeletal muscle fibers, skeletal myocytes)",https://lod.nal.usda.gov/nalt/260547,,True,skos:broader; skos:narrower,
nanomedicine,,nanomedicine,https://lod.nal.usda.gov/nalt/138085,,False,skos:related,
neoplasms,cancer (disease); cancers; neoplasia; tumors; tumours,"neoplasms (cancer (disease), cancers, neoplasia, tumors, tumours)",https://lod.nal.usda.gov/nalt/702,,False,skos:related,
neuroglia,glia; glial cells; macroglia; microglia; neuroglial cells,"neuroglia (glia, glial cells, macroglia, microglia, neuroglial cells)",https://lod.nal.usda.gov/nalt/13533,,False,skos:broader; skos:narrower,
neurosecretory system,neuroendocrine system,neurosecretory system (neuroendocrine system),https://lod.nal.usda.gov/nalt/29267,,False,skos:broader; skos:narrower,
neutrophils,polymorphonuclear leukocytes,neutrophils (polymorphonuclear leukocytes),https://lod.nal.usda.gov/nalt/43664,,True,skos:broader; skos:narrower,
niosomes,non-ionic surfactant vesicles,niosomes (non-ionic surfactant vesicles),https://lod.nal.usda.gov/nalt/238321,,False,skos:related,
ova,egg cells; oospheres; ovum,"ova (egg cells, oospheres, ovum)",https://lod.nal.usda.gov/nalt/25673,,True,skos:broader; skos:narrower,
ovarian follicles,dominant follicles; subordinate follicles,"ovarian follicles (dominant follicles, subordinate follicles)",https://lod.nal.usda.gov/nalt/30722,,False,skos:broader; skos:narrower,
palynology,,palynology,https://lod.nal.usda.gov/nalt/18792,,False,skos:related,
pancreas,,pancreas,https://lod.nal.usda.gov/nalt/2897,,False,skos:related,
parotid gland,,parotid gland,https://lod.nal.usda.gov/nalt/2898,,False,skos:related,
peripheral nervous system,,peripheral nervous system,https://lod.nal.usda.gov/nalt/14032,,False,skos:related,
phagocytosis,phagocytic activity,phagocytosis (phagocytic activity),https://lod.nal.usda.gov/nalt/37025,,True,skos:related,
pigmentation,,pigmentation,https://lod.nal.usda.gov/nalt/124,,False,skos:related,
pneumocytes,,pneumocytes,https://lod.nal.usda.gov/nalt/191282,,True,skos:broader; skos:narrower,
pollen rain,,pollen rain,https://lod.nal.usda.gov/nalt/266238,,False,skos:related,
pollen viability,pollen grain viability,pollen viability (pollen grain viability),https://lod.nal.usda.gov/nalt/334176,,False,skos:related,
protoplasm,,protoplasm,https://lod.nal.usda.gov/nalt/89756,,True,skos:related,
protoplasts,,protoplasts,https://lod.nal.usda.gov/nalt/30707,,True,skos:broader; skos:narrower,
resistin,,resistin,https://lod.nal.usda.gov/nalt/132367,,False,skos:related,
reticuloendothelial system,,reticuloendothelial system,https://lod.nal.usda.gov/nalt/46970,,False,skos:broader; skos:narrower,
root border cells,sloughed root cap cells,root border cells (sloughed root cap cells),https://lod.nal.usda.gov/nalt/328582,,True,skos:broader; skos:narrower,
salivary glands,,salivary glands,https://lod.nal.usda.gov/nalt/2899,,False,skos:related,
signal transduction,signal pathways,signal transduction (signal pathways),https://lod.nal.usda.gov/nalt/23371,,True,skos:related,
somatic cell count,,somatic cell count,https://lod.nal.usda.gov/nalt/52963,,False,skos:related,
somatic mutation,somatic mutagenesis,somatic mutation (somatic mutagenesis),https://lod.nal.usda.gov/nalt/132647,,False,skos:related,
spermatids,,spermatids,https://lod.nal.usda.gov/nalt/42846,,True,skos:broader; skos:narrower,
spermatocytes,,spermatocytes,https://lod.nal.usda.gov/nalt/42847,,True,skos:broader; skos:narrower,
spermatogonia,spermatogonium,spermatogonia (spermatogonium),https://lod.nal.usda.gov/nalt/42848,,True,skos:broader; skos:narrower,
spermatozoa,sperm; spermatozoon,"spermatozoa (sperm, spermatozoon)",https://lod.nal.usda.gov/nalt/3136,,True,skos:broader; skos:narrower,
spleen,,spleen,https://lod.nal.usda.gov/nalt/9348,,False,skos:related,
spore traps,pollen traps,spore traps (pollen traps),https://lod.nal.usda.gov/nalt/233513,,False,skos:related,
sporopollenin,,sporopollenin,https://lod.nal.usda.gov/nalt/252751,,False,skos:related,
teleomorphs,sexual stage (fungi); sexual state (fungi),"teleomorphs (sexual stage (fungi), sexual state (fungi))",https://lod.nal.usda.gov/nalt/41787,,False,skos:related,
tendons,,tendons,https://lod.nal.usda.gov/nalt/28572,,False,skos:related,
