prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cells,,cells,https://lod.nal.usda.gov/nalt/2895,1.0,True,,INCLUDE
acinar cells,acinous cells,acinar cells (acinous cells),https://lod.nal.usda.gov/nalt/2893,1.0,True,skos:broader; skos:narrower,INCLUDE
adipocytes,fat cells; lipocytes,"adipocytes (fat cells, lipocytes)",https://lod.nal.usda.gov/nalt/4218,1.0,True,skos:broader; skos:narrower,INCLUDE
aleurone cells,,aleurone cells,https://lod.nal.usda.gov/nalt/6264,0.95,True,skos:broader; skos:narrower,INCLUDE
antigen-presenting cells,antigen presenting cells,antigen-presenting cells (antigen presenting cells),https://lod.nal.usda.gov/nalt/10342,0.95,True,skos:broader; skos:narrower,INCLUDE
artificial cells,synthetic cells,artificial cells (synthetic cells),https://lod.nal.usda.gov/nalt/266214,0.9,False,skos:related,INCLUDE
bacteriocytes,mycetocytes,bacteriocytes (mycetocytes),https://lod.nal.usda.gov/nalt/15235,0.95,True,skos:broader; skos:narrower,INCLUDE
blood cells,,blood cells,https://lod.nal.usda.gov/nalt/18061,1.0,True,skos:broader; skos:narrower,INCLUDE
bundle sheath cells,,bundle sheath cells,https://lod.nal.usda.gov/nalt/20383,0.95,True,skos:broader; skos:narrower,INCLUDE
cell viability,cell survival; cellular viability,"cell viability (cell survival, cellular viability)",https://lod.nal.usda.gov/nalt/206983,0.85,True,skos:related,INCLUDE
chondrocytes,cartilage cells,chondrocytes (cartilage cells),https://lod.nal.usda.gov/nalt/22715,1.0,True,skos:broader; skos:narrower,INCLUDE
chromaffin cells,,chromaffin cells,https://lod.nal.usda.gov/nalt/23458,1.0,True,skos:broader; skos:narrower,INCLUDE
chromatophores,,chromatophores,https://lod.nal.usda.gov/nalt/191628,0.95,True,skos:broader; skos:narrower,INCLUDE
coelomocytes,,coelomocytes,https://lod.nal.usda.gov/nalt/322529,0.95,True,skos:broader; skos:narrower,INCLUDE
cultured cells,,cultured cells,https://lod.nal.usda.gov/nalt/23380,0.85,True,skos:broader; skos:narrower,INCLUDE
endothelial cells,,endothelial cells,https://lod.nal.usda.gov/nalt/23459,1.0,True,skos:broader; skos:narrower,INCLUDE
epithelial cells,,epithelial cells,https://lod.nal.usda.gov/nalt/23460,1.0,True,skos:broader; skos:narrower,INCLUDE
eukaryotic cells,eucaryotes; eucaryotic cells; eukaryotes,"eukaryotic cells (eucaryotes, eucaryotic cells, eukaryotes)",https://lod.nal.usda.gov/nalt/23461,1.0,True,skos:broader; skos:narrower,INCLUDE
fibroblasts,dermal fibroblasts; fibroblast cells,"fibroblasts (dermal fibroblasts, fibroblast cells)",https://lod.nal.usda.gov/nalt/23462,1.0,True,skos:broader; skos:narrower,INCLUDE
germ cells,gametes; germ line; germline; reproductive cells; sex cells; sexual cells,"germ cells (gametes, germ line, germline, reproductive cells, sex cells, sexual cells)",https://lod.nal.usda.gov/nalt/23463,1.0,True,skos:broader; skos:narrower,INCLUDE
giant cells,polykaryocytes; syncytia; syncytium,"giant cells (polykaryocytes, syncytia, syncytium)",https://lod.nal.usda.gov/nalt/23464,0.95,True,skos:broader; skos:narrower,INCLUDE
gonadotropic cells,,gonadotropic cells,https://lod.nal.usda.gov/nalt/23465,0.95,True,skos:broader; skos:narrower,INCLUDE
granulosa cells,,granulosa cells,https://lod.nal.usda.gov/nalt/23466,0.95,True,skos:broader; skos:narrower,INCLUDE
guard cells,,guard cells,https://lod.nal.usda.gov/nalt/23467,1.0,True,skos:broader; skos:narrower,INCLUDE
hemocytes,haemocytes,hemocytes (haemocytes),https://lod.nal.usda.gov/nalt/23468,0.95,True,skos:broader; skos:narrower,INCLUDE
Leydig cells,testicular interstitial cells,Leydig cells (testicular interstitial cells),https://lod.nal.usda.gov/nalt/23472,0.95,True,skos:broader; skos:narrower,INCLUDE
luteal cells,,luteal cells,https://lod.nal.usda.gov/nalt/23473,0.95,True,skos:broader; skos:narrower,INCLUDE
mast cells,,mast cells,https://lod.nal.usda.gov/nalt/23474,1.0,True,skos:broader; skos:narrower,INCLUDE
myocytes,muscle cells,myocytes (muscle cells),https://lod.nal.usda.gov/nalt/23476,1.0,True,skos:broader; skos:narrower,INCLUDE
neoplasm cells,cancer cells; circulating cancer cells; circulating neoplastic cells; circulating tumor cells; circulating tumour cells; neoplasma cells; neoplastic cells; tumor cells; tumour cells,"neoplasm cells (cancer cells, circulating cancer cells, circulating neoplastic cells, circulating tumor cells, circulating tumour cells, neoplasma cells, neoplastic cells, tumor cells, tumour cells)",https://lod.nal.usda.gov/nalt/246543,0.95,True,skos:broader; skos:narrower,INCLUDE
neurosecretory cells,,neurosecretory cells,https://lod.nal.usda.gov/nalt/23477,0.95,True,skos:broader; skos:narrower,INCLUDE
nurse cells,nursing cells,nurse cells (nursing cells),https://lod.nal.usda.gov/nalt/300304,0.95,True,skos:broader; skos:narrower,INCLUDE
osteoblasts,osteoblastic cells,osteoblasts (osteoblastic cells),https://lod.nal.usda.gov/nalt/23478,1.0,True,skos:broader; skos:narrower,INCLUDE
osteoclasts,,osteoclasts,https://lod.nal.usda.gov/nalt/18534,1.0,True,skos:broader; skos:narrower,INCLUDE
phagocytes,phagocytic cells,phagocytes (phagocytic cells),https://lod.nal.usda.gov/nalt/23479,1.0,True,skos:broader; skos:narrower,INCLUDE
plant root cells,root cells,plant root cells (root cells),https://lod.nal.usda.gov/nalt/328577,0.95,True,skos:broader; skos:narrower,INCLUDE
prokaryotic cells,procaryotes; procaryotic cells; prokaryotes,"prokaryotic cells (procaryotes, procaryotic cells, prokaryotes)",https://lod.nal.usda.gov/nalt/15097,1.0,True,skos:broader; skos:narrower,INCLUDE
Schwann cells,,Schwann cells,https://lod.nal.usda.gov/nalt/14271,0.95,True,skos:broader; skos:narrower,INCLUDE
Sertoli cells,,Sertoli cells,https://lod.nal.usda.gov/nalt/23481,0.99,True,skos:broader; skos:narrower,INCLUDE
somatic cells,,somatic cells,https://lod.nal.usda.gov/nalt/23482,0.99,True,skos:broader; skos:narrower,INCLUDE
splenocytes,spleen cells,splenocytes (spleen cells),https://lod.nal.usda.gov/nalt/23483,0.99,True,skos:broader; skos:narrower,INCLUDE
spores,,spores,https://lod.nal.usda.gov/nalt/15200,0.95,True,skos:broader; skos:narrower,INCLUDE
stromal cells,,stromal cells,https://lod.nal.usda.gov/nalt/149090,0.99,True,skos:broader; skos:narrower,INCLUDE
tenocytes,,tenocytes,https://lod.nal.usda.gov/nalt/323988,0.99,True,skos:broader; skos:narrower,INCLUDE
teratocytes,,teratocytes,https://lod.nal.usda.gov/nalt/23486,0.98,True,skos:broader; skos:narrower,INCLUDE
thecal cells,,thecal cells,https://lod.nal.usda.gov/nalt/23487,0.99,True,skos:broader; skos:narrower,INCLUDE
