prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cell transplantation,,cell transplantation,https://lod.nal.usda.gov/nalt/23441,0.98,False,skos:related,EXCLUDE
cellular microenvironment,cell microenvironment,cellular microenvironment (cell microenvironment),https://lod.nal.usda.gov/nalt/226485,0.85,True,skos:related,EXCLUDE
islets of Langerhans,alpha cells (pancreatic); beta cells (pancreatic); delta cells (pancreatic); islet cells; pancreas islets; pancreatic B cells; pancreatic D cells; pancreatic alpha cells; pancreatic beta cells; pancreatic delta cells; pancreatic islets; pancreatic polypeptide cells,"islets of Langerhans (alpha cells (pancreatic), beta cells (pancreatic), delta cells (pancreatic), islet cells, pancreas islets, pancreatic B cells, pancreatic D cells, pancreatic alpha cells, pancreatic beta cells, pancreatic delta cells, pancreatic islets, pancreatic polypeptide cells)",https://lod.nal.usda.gov/nalt/6863,0.9,True,skos:broader; skos:narrower,EXCLUDE
adipogenesis,adipogenic differentiation,adipogenesis (adipogenic differentiation),https://lod.nal.usda.gov/nalt/70809,0.95,True,skos:related,EXCLUDE
adipokines,adipocytokines; adipokine,"adipokines (adipocytokines, adipokine)",https://lod.nal.usda.gov/nalt/132364,0.99,False,skos:related,EXCLUDE
adiponectin,,adiponectin,https://lod.nal.usda.gov/nalt/132363,0.99,False,skos:related,EXCLUDE
adipophilin,perilipin 2,adipophilin (perilipin 2),https://lod.nal.usda.gov/nalt/196331,0.98,False,skos:related,EXCLUDE
adipose tissue,,adipose tissue,https://lod.nal.usda.gov/nalt/4220,0.95,False,skos:related,EXCLUDE
aleurone layer,,aleurone layer,https://lod.nal.usda.gov/nalt/6265,0.9,False,skos:broader; skos:narrower,EXCLUDE
animal ovaries,mammalian ovary,animal ovaries (mammalian ovary),https://lod.nal.usda.gov/nalt/29278,0.99,False,skos:broader; skos:narrower,EXCLUDE
antigen presentation,,antigen presentation,https://lod.nal.usda.gov/nalt/10340,0.95,False,skos:related,EXCLUDE
apoptosis,type 1 programmed cell death,apoptosis (type 1 programmed cell death),https://lod.nal.usda.gov/nalt/11242,0.85,True,skos:related,EXCLUDE
