prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
immunity,protective immunity,immunity (protective immunity),https://lod.nal.usda.gov/nalt/2996,1.0,True,,INCLUDE
adaptive immunity,acquired immune system; acquired immunity; adaptive immune response; adaptive immune system; adoptive immunity,"adaptive immunity (acquired immune system, acquired immunity, adaptive immune response, adaptive immune system, adoptive immunity)",https://lod.nal.usda.gov/nalt/105992,1.0,True,skos:broader; skos:narrower,INCLUDE
antibody affinity,antibody avidity,antibody affinity (antibody avidity),https://lod.nal.usda.gov/nalt/217636,0.95,True,skos:broader; skos:narrower,INCLUDE
antibody diversity,germ line theory; immunoglobulin diversity,"antibody diversity (germ line theory, immunoglobulin diversity)",https://lod.nal.usda.gov/nalt/217635,0.95,True,skos:broader; skos:narrower,INCLUDE
antibody specificity,,antibody specificity,https://lod.nal.usda.gov/nalt/217634,0.95,True,skos:broader; skos:narrower,INCLUDE
autoimmunity,autoimmune response,autoimmunity (autoimmune response),https://lod.nal.usda.gov/nalt/13995,0.95,True,skos:broader; skos:narrower,INCLUDE
cross immunity,cross-immunity; cross-protective immunity,"cross immunity (cross-immunity, cross-protective immunity)",https://lod.nal.usda.gov/nalt/30199,0.95,True,skos:broader; skos:narrower,INCLUDE
immune response,immunity response; immunological response,"immune response (immunity response, immunological response)",https://lod.nal.usda.gov/nalt/10232,1.0,True,skos:broader; skos:narrower,INCLUDE
immunocompetence,immune competence,immunocompetence (immune competence),https://lod.nal.usda.gov/nalt/28327,0.9,True,skos:broader; skos:narrower,INCLUDE
immunoinformatics,computational immunology; immune-based systems; immunocomputing,"immunoinformatics (computational immunology, immune-based systems, immunocomputing)",https://lod.nal.usda.gov/nalt/266183,0.85,True,skos:related,INCLUDE
immunomodulation,immunoregulation,immunomodulation (immunoregulation),https://lod.nal.usda.gov/nalt/203529,0.9,True,skos:broader; skos:narrower,INCLUDE
innate immunity,innate immune response; innate immune system; natural immunity,"innate immunity (innate immune response, innate immune system, natural immunity)",https://lod.nal.usda.gov/nalt/105991,1.0,True,skos:broader; skos:narrower,INCLUDE
insect immunity,,insect immunity,https://lod.nal.usda.gov/nalt/46974,0.9,True,skos:broader; skos:narrower,INCLUDE
mucosal immunity,mucosal immune response,mucosal immunity (mucosal immune response),https://lod.nal.usda.gov/nalt/46975,0.95,True,skos:broader; skos:narrower,INCLUDE
passive immunity,,passive immunity,https://lod.nal.usda.gov/nalt/4326,0.95,True,skos:broader; skos:narrower,INCLUDE
sterilizing immunity,,sterilizing immunity,https://lod.nal.usda.gov/nalt/262790,0.95,True,skos:broader; skos:narrower,INCLUDE
active immunity,active immune response,active immunity (active immune response),https://lod.nal.usda.gov/nalt/70758,1.0,True,skos:broader; skos:narrower,INCLUDE
antibodies,,antibodies,https://lod.nal.usda.gov/nalt/10218,1.0,True,skos:related,INCLUDE
antibody engineering,,antibody engineering,https://lod.nal.usda.gov/nalt/297821,0.9,False,skos:related,INCLUDE
antibody formation,antibody production; antibody response; autoantibody production,"antibody formation (antibody production, antibody response, autoantibody production)",https://lod.nal.usda.gov/nalt/10230,1.0,True,skos:broader; skos:narrower,INCLUDE
antigen-antibody reactions,antibody antigen interactions; antibody antigen reaction; antibody-antigen interactions; antibody-antigen reaction; antigen antibody interactions; antigen antibody reactions; antigen-antibody interactions,"antigen-antibody reactions (antibody antigen interactions, antibody antigen reaction, antibody-antigen interactions, antibody-antigen reaction, antigen antibody interactions, antigen antibody reactions, antigen-antibody interactions)",https://lod.nal.usda.gov/nalt/5131,1.0,True,skos:broader; skos:narrower,INCLUDE
antigens,immunogens,antigens (immunogens),https://lod.nal.usda.gov/nalt/6556,1.0,True,skos:related,INCLUDE
autoantibodies,auto-antibodies,autoantibodies (auto-antibodies),https://lod.nal.usda.gov/nalt/10219,1.0,True,skos:related,INCLUDE
autoantigens,,autoantigens,https://lod.nal.usda.gov/nalt/10355,1.0,True,skos:related,INCLUDE
autoimmune diseases,,autoimmune diseases,https://lod.nal.usda.gov/nalt/13994,1.0,False,skos:related,INCLUDE
cell-mediated immunity,cell mediated immunity; cell-mediated immune response; cellular immune response; cellular immunity,"cell-mediated immunity (cell mediated immunity, cell-mediated immune response, cellular immune response, cellular immunity)",https://lod.nal.usda.gov/nalt/10341,1.0,True,skos:broader; skos:narrower,INCLUDE
cross reaction,cross reactivity; cross-reaction; cross-reactivity,"cross reaction (cross reactivity, cross-reaction, cross-reactivity)",https://lod.nal.usda.gov/nalt/10346,0.9,True,skos:related,INCLUDE
epitopes,antigenic determinants,epitopes (antigenic determinants),https://lod.nal.usda.gov/nalt/10349,1.0,True,skos:related,INCLUDE
graft rejection,allograft rejection; host versus graft reactions; transplant rejection; transplantation rejection,"graft rejection (allograft rejection, host versus graft reactions, transplant rejection, transplantation rejection)",https://lod.nal.usda.gov/nalt/6679,1.0,True,skos:broader; skos:narrower,INCLUDE
graft versus host reactions,,graft versus host reactions,https://lod.nal.usda.gov/nalt/23447,1.0,True,skos:broader; skos:narrower,INCLUDE
