prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
biological resistance,biocide resistance,biological resistance (biocide resistance),https://lod.nal.usda.gov/nalt/114,0.9,False,skos:broader; skos:narrower,EXCLUDE
herd immunity,community immunity,herd immunity (community immunity),https://lod.nal.usda.gov/nalt/263906,0.85,True,skos:broader; skos:narrower,EXCLUDE
immune system,,immune system,https://lod.nal.usda.gov/nalt/8973,0.95,False,skos:related,EXCLUDE
immunologic diseases,immunological diseases,immunologic diseases (immunological diseases),https://lod.nal.usda.gov/nalt/340,0.85,False,skos:related,EXCLUDE
secondary infection,,secondary infection,https://lod.nal.usda.gov/nalt/266333,0.95,False,skos:related,EXCLUDE
B-lymphocytes,B cells (lymphocytes); B lymphocytes; B-cells (lymphocytes),"B-lymphocytes (B cells (lymphocytes), B lymphocytes, B-cells (lymphocytes))",https://lod.nal.usda.gov/nalt/14410,0.95,False,skos:related,EXCLUDE
bioinformatics,computational biology; computational genetics; computational molecular biology,"bioinformatics (computational biology, computational genetics, computational molecular biology)",https://lod.nal.usda.gov/nalt/17402,1.0,False,skos:broader; skos:narrower,EXCLUDE
CRISPR-Cas systems,CRISPR/Cas9 system,CRISPR-Cas systems (CRISPR/Cas9 system),https://lod.nal.usda.gov/nalt/329078,0.9,False,skos:related,EXCLUDE
immunocastration,immuno-castration,immunocastration (immuno-castration),https://lod.nal.usda.gov/nalt/290558,0.95,True,skos:related,EXCLUDE
immunocompromised population,immunocompromised hosts; immunocompromised individuals,"immunocompromised population (immunocompromised hosts, immunocompromised individuals)",https://lod.nal.usda.gov/nalt/136991,0.85,False,skos:related,EXCLUDE
immunomodulators,immunomodulatory capacity,immunomodulators (immunomodulatory capacity),https://lod.nal.usda.gov/nalt/34674,0.9,True,skos:related,EXCLUDE
insect biology,,insect biology,https://lod.nal.usda.gov/nalt/37357,0.99,False,skos:broader; skos:narrower,EXCLUDE
macrophages,,macrophages,https://lod.nal.usda.gov/nalt/40760,0.95,False,skos:related,EXCLUDE
metabolomics,metabolic profiling; metabolome analysis; metabonomic study; metabonomics,"metabolomics (metabolic profiling, metabolome analysis, metabonomic study, metabonomics)",https://lod.nal.usda.gov/nalt/17412,0.95,False,skos:related,EXCLUDE
natural killer cells,NK cells,natural killer cells (NK cells),https://lod.nal.usda.gov/nalt/48404,0.95,False,skos:related,EXCLUDE
neutrophils,polymorphonuclear leukocytes,neutrophils (polymorphonuclear leukocytes),https://lod.nal.usda.gov/nalt/43664,0.95,False,skos:related,EXCLUDE
phagocytes,phagocytic cells,phagocytes (phagocytic cells),https://lod.nal.usda.gov/nalt/23479,0.95,False,skos:related,EXCLUDE
proteomics,nutriproteomics,proteomics (nutriproteomics),https://lod.nal.usda.gov/nalt/17414,0.98,False,skos:related,EXCLUDE
T-lymphocytes,T cells; T lymphocytes; T-cells,"T-lymphocytes (T cells, T lymphocytes, T-cells)",https://lod.nal.usda.gov/nalt/23197,0.98,False,skos:related,EXCLUDE
allergoids,formalinized allergoids; formalized allergoids,"allergoids (formalinized allergoids, formalized allergoids)",https://lod.nal.usda.gov/nalt/335656,0.9,True,skos:related,EXCLUDE
animal research,,animal research,https://lod.nal.usda.gov/nalt/199785,0.99,False,skos:broader; skos:narrower,EXCLUDE
animal-friendly affinity reagents,,animal-friendly affinity reagents,https://lod.nal.usda.gov/nalt/84266496,0.85,True,skos:broader; skos:narrower,EXCLUDE
anti-allergic agents,anti-allergic drugs; antiallergics,"anti-allergic agents (anti-allergic drugs, antiallergics)",https://lod.nal.usda.gov/nalt/307569,0.99,False,skos:related,EXCLUDE
