prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
immunity,protective immunity,immunity (protective immunity),https://lod.nal.usda.gov/nalt/2996,1.0,True,,INCLUDE
adaptive immunity,acquired immune system; acquired immunity; adaptive immune response; adaptive immune system; adoptive immunity,"adaptive immunity (acquired immune system, acquired immunity, adaptive immune response, adaptive immune system, adoptive immunity)",https://lod.nal.usda.gov/nalt/105992,,True,skos:broader; skos:narrower,
antibody affinity,antibody avidity,antibody affinity (antibody avidity),https://lod.nal.usda.gov/nalt/217636,,True,skos:broader; skos:narrower,
antibody diversity,germ line theory; immunoglobulin diversity,"antibody diversity (germ line theory, immunoglobulin diversity)",https://lod.nal.usda.gov/nalt/217635,,True,skos:broader; skos:narrower,
antibody specificity,,antibody specificity,https://lod.nal.usda.gov/nalt/217634,,True,skos:broader; skos:narrower,
autoimmunity,autoimmune response,autoimmunity (autoimmune response),https://lod.nal.usda.gov/nalt/13995,,True,skos:broader; skos:narrower,
biological resistance,biocide resistance,biological resistance (biocide resistance),https://lod.nal.usda.gov/nalt/114,,False,skos:broader; skos:narrower,
cross immunity,cross-immunity; cross-protective immunity,"cross immunity (cross-immunity, cross-protective immunity)",https://lod.nal.usda.gov/nalt/30199,,True,skos:broader; skos:narrower,
herd immunity,community immunity,herd immunity (community immunity),https://lod.nal.usda.gov/nalt/263906,,True,skos:broader; skos:narrower,
immune response,immunity response; immunological response,"immune response (immunity response, immunological response)",https://lod.nal.usda.gov/nalt/10232,,True,skos:broader; skos:narrower,
immune system,,immune system,https://lod.nal.usda.gov/nalt/8973,,False,skos:related,
immunocompetence,immune competence,immunocompetence (immune competence),https://lod.nal.usda.gov/nalt/28327,,True,skos:broader; skos:narrower,
immunoinformatics,computational immunology; immune-based systems; immunocomputing,"immunoinformatics (computational immunology, immune-based systems, immunocomputing)",https://lod.nal.usda.gov/nalt/266183,,True,skos:related,
immunologic diseases,immunological diseases,immunologic diseases (immunological diseases),https://lod.nal.usda.gov/nalt/340,,False,skos:related,
immunomodulation,immunoregulation,immunomodulation (immunoregulation),https://lod.nal.usda.gov/nalt/203529,,True,skos:broader; skos:narrower,
innate immunity,innate immune response; innate immune system; natural immunity,"innate immunity (innate immune response, innate immune system, natural immunity)",https://lod.nal.usda.gov/nalt/105991,,True,skos:broader; skos:narrower,
insect immunity,,insect immunity,https://lod.nal.usda.gov/nalt/46974,,True,skos:broader; skos:narrower,
mucosal immunity,mucosal immune response,mucosal immunity (mucosal immune response),https://lod.nal.usda.gov/nalt/46975,,True,skos:broader; skos:narrower,
passive immunity,,passive immunity,https://lod.nal.usda.gov/nalt/4326,,True,skos:broader; skos:narrower,
secondary infection,,secondary infection,https://lod.nal.usda.gov/nalt/266333,,False,skos:related,
sterilizing immunity,,sterilizing immunity,https://lod.nal.usda.gov/nalt/262790,,True,skos:broader; skos:narrower,
active immunity,active immune response,active immunity (active immune response),https://lod.nal.usda.gov/nalt/70758,,True,skos:broader; skos:narrower,
antibodies,,antibodies,https://lod.nal.usda.gov/nalt/10218,,True,skos:related,
antibody engineering,,antibody engineering,https://lod.nal.usda.gov/nalt/297821,,False,skos:related,
antibody formation,antibody production; antibody response; autoantibody production,"antibody formation (antibody production, antibody response, autoantibody production)",https://lod.nal.usda.gov/nalt/10230,,True,skos:broader; skos:narrower,
antigen-antibody reactions,antibody antigen interactions; antibody antigen reaction; antibody-antigen interactions; antibody-antigen reaction; antigen antibody interactions; antigen antibody reactions; antigen-antibody interactions,"antigen-antibody reactions (antibody antigen interactions, antibody antigen reaction, antibody-antigen interactions, antibody-antigen reaction, antigen antibody interactions, antigen antibody reactions, antigen-antibody interactions)",https://lod.nal.usda.gov/nalt/5131,,True,skos:broader; skos:narrower,
antigens,immunogens,antigens (immunogens),https://lod.nal.usda.gov/nalt/6556,,True,skos:related,
autoantibodies,auto-antibodies,autoantibodies (auto-antibodies),https://lod.nal.usda.gov/nalt/10219,,True,skos:related,
autoantigens,,autoantigens,https://lod.nal.usda.gov/nalt/10355,,True,skos:related,
autoimmune diseases,,autoimmune diseases,https://lod.nal.usda.gov/nalt/13994,,False,skos:related,
