prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,0.9,False,skos:related,EXCLUDE
animal control services,,animal control services,https://lod.nal.usda.gov/nalt/127349,0.8,False,skos:related,EXCLUDE
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,1.0,False,skos:related,EXCLUDE
chemical control,chemical treatment (disease); chemical treatment (pest),"chemical control (chemical treatment (disease), chemical treatment (pest))",https://lod.nal.usda.gov/nalt/24625,1.0,False,skos:related,EXCLUDE
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,0.95,False,skos:related,EXCLUDE
foggers,cold foggers; fogging machines; thermal foggers,"foggers (cold foggers, fogging machines, thermal foggers)",https://lod.nal.usda.gov/nalt/284633,0.9,False,skos:related,EXCLUDE
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,0.85,False,skos:related,EXCLUDE
Interregional Research Project 4 (IR-4),IR-4 Project; IR-4 program,"Interregional Research Project 4 (IR-4) (IR-4 Project, IR-4 program)",https://lod.nal.usda.gov/nalt/223614,0.85,False,skos:related,EXCLUDE
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,0.95,False,skos:related,EXCLUDE
pest control equipment,,pest control equipment,https://lod.nal.usda.gov/nalt/386,0.8,False,skos:related,EXCLUDE
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,0.9,False,skos:related,EXCLUDE
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,0.9,False,skos:related,EXCLUDE
pesticide law,"Federal Insectide, Fungicide, and Rodenticide Act; Pesticide Registration Improvement Act of 2003; pesticide legislation","pesticide law (Federal Insectide, Fungicide, and Rodenticide Act, Pesticide Registration Improvement Act of 2003, pesticide legislation)",https://lod.nal.usda.gov/nalt/68867,0.85,False,skos:related,EXCLUDE
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,0.99,False,skos:related,EXCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,0.9,False,skos:related,EXCLUDE
soil drenching,soil drench; soil drenches,"soil drenching (soil drench, soil drenches)",https://lod.nal.usda.gov/nalt/24628,0.85,False,skos:related,EXCLUDE
soil treatment,application to soil; soil application,"soil treatment (application to soil, soil application)",https://lod.nal.usda.gov/nalt/11343,0.9,False,skos:related,EXCLUDE
thidiazuron,TDZ (thidiazuron),thidiazuron (TDZ (thidiazuron)),https://lod.nal.usda.gov/nalt/213696,0.85,True,skos:broader; skos:narrower,EXCLUDE
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,0.95,False,skos:broader; skos:narrower,EXCLUDE
trap crops,,trap crops,https://lod.nal.usda.gov/nalt/30194,0.9,False,skos:related,EXCLUDE
acaricidal properties,,acaricidal properties,https://lod.nal.usda.gov/nalt/2070,0.9,False,skos:related,EXCLUDE
adjuvants,,adjuvants,https://lod.nal.usda.gov/nalt/199,0.8,False,skos:broader; skos:narrower,EXCLUDE
adults,adult (human); adult animals,"adults (adult (human), adult animals)",https://lod.nal.usda.gov/nalt/790,1.0,False,skos:related,EXCLUDE
aerosols,,aerosols,https://lod.nal.usda.gov/nalt/579,0.95,False,skos:related,EXCLUDE
agromedicine,agricultural medicine,agromedicine (agricultural medicine),https://lod.nal.usda.gov/nalt/5425,0.95,False,skos:related,EXCLUDE
aldicarb sulfoxide,,aldicarb sulfoxide,https://lod.nal.usda.gov/nalt/213661,0.85,True,skos:broader; skos:narrower,EXCLUDE
anthelmintics,antihelmintics; vermifuges,"anthelmintics (antihelmintics, vermifuges)",https://lod.nal.usda.gov/nalt/1577,0.95,False,skos:broader; skos:narrower,EXCLUDE
anti-infective agents,antiinfective agents; antimicrobial agents; antimicrobials,"anti-infective agents (antiinfective agents, antimicrobial agents, antimicrobials)",https://lod.nal.usda.gov/nalt/3054,0.95,False,skos:related,EXCLUDE
