prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,0.85,False,skos:related,EXCLUDE
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,0.95,False,skos:related,EXCLUDE
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,0.9,False,skos:related,EXCLUDE
foggers,cold foggers; fogging machines; thermal foggers,"foggers (cold foggers, fogging machines, thermal foggers)",https://lod.nal.usda.gov/nalt/284633,0.85,False,skos:related,EXCLUDE
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,0.8,False,skos:related,EXCLUDE
Interregional Research Project 4 (IR-4),IR-4 Project; IR-4 program,"Interregional Research Project 4 (IR-4) (IR-4 Project, IR-4 program)",https://lod.nal.usda.gov/nalt/223614,0.95,False,skos:related,EXCLUDE
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,0.95,False,skos:related,EXCLUDE
pest control equipment,,pest control equipment,https://lod.nal.usda.gov/nalt/386,0.9,False,skos:related,EXCLUDE
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,0.95,False,skos:related,EXCLUDE
pesticide application equipment,,pesticide application equipment,https://lod.nal.usda.gov/nalt/142739,0.9,False,skos:related,EXCLUDE
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,0.95,False,skos:related,EXCLUDE
pesticide law,"Federal Insectide, Fungicide, and Rodenticide Act; Pesticide Registration Improvement Act of 2003; pesticide legislation","pesticide law (Federal Insectide, Fungicide, and Rodenticide Act, Pesticide Registration Improvement Act of 2003, pesticide legislation)",https://lod.nal.usda.gov/nalt/68867,0.9,False,skos:related,EXCLUDE
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,0.8,False,skos:related,EXCLUDE
pesticide safety and handling,,pesticide safety and handling,https://lod.nal.usda.gov/nalt/5593,0.8,False,skos:related,EXCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,0.95,False,skos:related,EXCLUDE
soil treatment,application to soil; soil application,"soil treatment (application to soil, soil application)",https://lod.nal.usda.gov/nalt/11343,0.9,False,skos:related,EXCLUDE
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,0.98,False,skos:broader; skos:narrower,EXCLUDE
acaricidal properties,,acaricidal properties,https://lod.nal.usda.gov/nalt/2070,0.85,False,skos:related,EXCLUDE
acaricide resistance,acaricide tolerance,acaricide resistance (acaricide tolerance),https://lod.nal.usda.gov/nalt/2077,0.85,False,skos:related,EXCLUDE
adjuvants,,adjuvants,https://lod.nal.usda.gov/nalt/199,0.8,False,skos:broader; skos:narrower,EXCLUDE
adults,adult (human); adult animals,"adults (adult (human), adult animals)",https://lod.nal.usda.gov/nalt/790,0.99,False,skos:related,EXCLUDE
aerosols,,aerosols,https://lod.nal.usda.gov/nalt/579,0.85,False,skos:related,EXCLUDE
animal care,grooming (animal care),animal care (grooming (animal care)),https://lod.nal.usda.gov/nalt/9052,0.95,False,skos:related,EXCLUDE
animal law,animal legislation; animal regulations; equine law; fence law; livestock trespass,"animal law (animal legislation, animal regulations, equine law, fence law, livestock trespass)",https://lod.nal.usda.gov/nalt/9288,0.95,False,skos:related,EXCLUDE
animal rescue shelters,animal shelters (rescue),animal rescue shelters (animal shelters (rescue)),https://lod.nal.usda.gov/nalt/9496,0.95,False,skos:related,EXCLUDE
animal welfare,animal abuse; animal cruelty; animal rights; anti-cruelty law (animals); anticruelty law (animals); cruelty to animals; humane treatment of animals,"animal welfare (animal abuse, animal cruelty, animal rights, anti-cruelty law (animals), anticruelty law (animals), cruelty to animals, humane treatment of animals)",https://lod.nal.usda.gov/nalt/9084,0.95,False,skos:broader; skos:narrower,EXCLUDE
anti-infective agents,antiinfective agents; antimicrobial agents; antimicrobials,"anti-infective agents (antiinfective agents, antimicrobial agents, antimicrobials)",https://lod.nal.usda.gov/nalt/3054,0.85,False,skos:related,EXCLUDE
anti-infective properties,antiinfective activity; antiinfective properties,"anti-infective properties (antiinfective activity, antiinfective properties)",https://lod.nal.usda.gov/nalt/10142,0.95,False,skos:related,EXCLUDE
antimicrobial proteins,,antimicrobial proteins,https://lod.nal.usda.gov/nalt/877,0.9,False,skos:related,EXCLUDE
arsenicals,arsenic compounds,arsenicals (arsenic compounds),https://lod.nal.usda.gov/nalt/261,0.85,False,skos:related,EXCLUDE
birds,,birds,https://lod.nal.usda.gov/nalt/106,1.0,False,skos:related,EXCLUDE
briquettes,,briquettes,https://lod.nal.usda.gov/nalt/582,0.9,False,skos:related,EXCLUDE
butylamine,2-aminobutane,butylamine (2-aminobutane),https://lod.nal.usda.gov/nalt/1368,0.8,True,skos:broader; skos:narrower,EXCLUDE
chemical treatment,,chemical treatment,https://lod.nal.usda.gov/nalt/2741,0.95,False,skos:related,EXCLUDE
closantel,,closantel,https://lod.nal.usda.gov/nalt/2085,0.9,True,skos:broader; skos:narrower,EXCLUDE
crops,agricultural crops; agricultural plants; crop plants,"crops (agricultural crops, agricultural plants, crop plants)",https://lod.nal.usda.gov/nalt/7140,0.99,False,skos:broader; skos:narrower,EXCLUDE
dead animals,carcasses (nonfood); carrion,"dead animals (carcasses (nonfood), carrion)",https://lod.nal.usda.gov/nalt/45,0.95,False,skos:related,EXCLUDE
defoliants,chemical defoliation,defoliants (chemical defoliation),https://lod.nal.usda.gov/nalt/218,0.9,False,skos:related,EXCLUDE
defoliating insects,defoliator insects; forest defoliators; forest insect defoliators; insect defoliators,"defoliating insects (defoliator insects, forest defoliators, forest insect defoliators, insect defoliators)",https://lod.nal.usda.gov/nalt/314192,0.99,False,skos:related,EXCLUDE
diphenylamine,,diphenylamine,https://lod.nal.usda.gov/nalt/33801,0.85,True,skos:broader; skos:narrower,EXCLUDE
disease resistance,disease tolerance,disease resistance (disease tolerance),https://lod.nal.usda.gov/nalt/151,0.99,False,skos:related,EXCLUDE
disulfiram,,disulfiram,https://lod.nal.usda.gov/nalt/22160,0.9,True,skos:broader; skos:narrower,EXCLUDE
disulfoton sulfoxide,,disulfoton sulfoxide,https://lod.nal.usda.gov/nalt/213683,0.9,True,skos:broader; skos:narrower,EXCLUDE
fogs (materials),,fogs (materials),https://lod.nal.usda.gov/nalt/591,0.85,False,skos:related,EXCLUDE
fungi,fungal organisms; macrofungi; microfungi,"fungi (fungal organisms, macrofungi, microfungi)",https://lod.nal.usda.gov/nalt/495,0.99,False,skos:related,EXCLUDE
granules,,granules,https://lod.nal.usda.gov/nalt/594,0.85,False,skos:related,EXCLUDE
growth regulators,,growth regulators,https://lod.nal.usda.gov/nalt/5565,0.8,False,skos:related,EXCLUDE
human-animal relations,animal human bond; animal human relations; animal human relationships; animal-human bond; animal-human relations; animal-human relationships; human animal bond; human animal relations; human animal relationships; human-animal bond; human-animal interactions; human-animal relationships,"human-animal relations (animal human bond, animal human relations, animal human relationships, animal-human bond, animal-human relations, animal-human relationships, human animal bond, human animal relations, human animal relationships, human-animal bond, human-animal interactions, human-animal relationships)",https://lod.nal.usda.gov/nalt/9260,1.0,False,skos:related,EXCLUDE
insect outbreaks,,insect outbreaks,https://lod.nal.usda.gov/nalt/314183,1.0,False,skos:related,EXCLUDE
insect pests,,insect pests,https://lod.nal.usda.gov/nalt/9355,0.95,False,skos:related,EXCLUDE
insectary plants,,insectary plants,https://lod.nal.usda.gov/nalt/335329,0.9,False,skos:related,EXCLUDE
