prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
plant diseases and disorders,plant diseases; plant disorders,"plant diseases and disorders (plant diseases, plant disorders)",https://lod.nal.usda.gov/nalt/15134,1.0,True,,INCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,1.0,True,,INCLUDE
bacterial diseases of plants,bacterial infections of plants; plant bacterial diseases,"bacterial diseases of plants (bacterial infections of plants, plant bacterial diseases)",https://lod.nal.usda.gov/nalt/15131,1.0,True,skos:broader; skos:narrower,INCLUDE
black shank disease,,black shank disease,https://lod.nal.usda.gov/nalt/263011,1.0,True,skos:broader; skos:narrower,INCLUDE
blast disease,rice blast; wheat blast,"blast disease (rice blast, wheat blast)",https://lod.nal.usda.gov/nalt/17904,1.0,True,skos:broader; skos:narrower,INCLUDE
brown rot disease,,brown rot disease,https://lod.nal.usda.gov/nalt/316252,1.0,True,skos:broader; skos:narrower,INCLUDE
decline,decline disease; decline disorder,"decline (decline disease, decline disorder)",https://lod.nal.usda.gov/nalt/31919,0.9,True,skos:broader; skos:narrower,INCLUDE
downy mildew,,downy mildew,https://lod.nal.usda.gov/nalt/34450,1.0,True,skos:broader; skos:narrower,INCLUDE
foliar diseases,foliage diseases; leaf diseases,"foliar diseases (foliage diseases, leaf diseases)",https://lod.nal.usda.gov/nalt/40782,1.0,True,skos:broader; skos:narrower,INCLUDE
forest health,,forest health,https://lod.nal.usda.gov/nalt/41128,0.85,True,skos:related,INCLUDE
fruit cracking,fruit cracks,fruit cracking (fruit cracks),https://lod.nal.usda.gov/nalt/67851,1.0,True,skos:broader; skos:narrower,INCLUDE
fruit diseases,,fruit diseases,https://lod.nal.usda.gov/nalt/17678,1.0,True,skos:broader; skos:narrower,INCLUDE
fungal diseases of plants,fungus diseases of plants,fungal diseases of plants (fungus diseases of plants),https://lod.nal.usda.gov/nalt/10053,1.0,True,skos:broader; skos:narrower,INCLUDE
greening disease,citrus greening disease; citrus greening infection; huanglongbing; huanglongbing disease; yellow dragon disease,"greening disease (citrus greening disease, citrus greening infection, huanglongbing, huanglongbing disease, yellow dragon disease)",https://lod.nal.usda.gov/nalt/21818,1.0,True,skos:broader; skos:narrower,INCLUDE
gummosis,,gummosis,https://lod.nal.usda.gov/nalt/44114,0.95,True,skos:broader; skos:narrower,INCLUDE
hollow heart,,hollow heart,https://lod.nal.usda.gov/nalt/226534,0.95,True,skos:broader; skos:narrower,INCLUDE
hyperhydricity,hyperhydration (plant disorder),hyperhydricity (hyperhydration (plant disorder)),https://lod.nal.usda.gov/nalt/46558,0.95,True,skos:broader; skos:narrower,INCLUDE
maize wallaby ear disease,maize wallaby ear symptom,maize wallaby ear disease (maize wallaby ear symptom),https://lod.nal.usda.gov/nalt/278068,0.98,True,skos:broader; skos:narrower,INCLUDE
phyllody,,phyllody,https://lod.nal.usda.gov/nalt/306883,0.95,True,skos:broader; skos:narrower,INCLUDE
plant damage,fruit damage; plant injuries; plant injury; wounds (plant),"plant damage (fruit damage, plant injuries, plant injury, wounds (plant))",https://lod.nal.usda.gov/nalt/1735,0.95,True,skos:related,INCLUDE
plant rots,,plant rots,https://lod.nal.usda.gov/nalt/30265,0.98,True,skos:broader; skos:narrower,INCLUDE
postharvest diseases,postharvest decay; storage decay,"postharvest diseases (postharvest decay, storage decay)",https://lod.nal.usda.gov/nalt/31900,0.95,True,skos:broader; skos:narrower,INCLUDE
replant disease,specific replant disease,replant disease (specific replant disease),https://lod.nal.usda.gov/nalt/58565,0.99,True,skos:broader; skos:narrower,INCLUDE
root diseases,,root diseases,https://lod.nal.usda.gov/nalt/58566,0.99,True,skos:broader; skos:narrower,INCLUDE
rose rosette disease,,rose rosette disease,https://lod.nal.usda.gov/nalt/58567,0.99,True,skos:broader; skos:narrower,INCLUDE
scab diseases,orange scab,scab diseases (orange scab),https://lod.nal.usda.gov/nalt/41933,0.99,True,skos:broader; skos:narrower,INCLUDE
scald diseases,leaf scald diseases; sun scald; sunburn (plants); sunscald,"scald diseases (leaf scald diseases, sun scald, sunburn (plants), sunscald)",https://lod.nal.usda.gov/nalt/58568,0.99,True,skos:broader; skos:narrower,INCLUDE
seed-borne diseases,seed borne diseases; seedborne diseases,"seed-borne diseases (seed borne diseases, seedborne diseases)",https://lod.nal.usda.gov/nalt/58569,0.99,True,skos:broader; skos:narrower,INCLUDE
seedling diseases,,seedling diseases,https://lod.nal.usda.gov/nalt/31688,0.99,True,skos:broader; skos:narrower,INCLUDE
signs and symptoms (plants),symptoms (plants),signs and symptoms (plants) (symptoms (plants)),https://lod.nal.usda.gov/nalt/940,0.99,True,skos:related,INCLUDE
soil-borne diseases,soil borne diseases; soilborne diseases,"soil-borne diseases (soil borne diseases, soilborne diseases)",https://lod.nal.usda.gov/nalt/58570,0.99,True,skos:broader; skos:narrower,INCLUDE
tree diseases,,tree diseases,https://lod.nal.usda.gov/nalt/41132,0.99,True,skos:broader; skos:narrower,INCLUDE
vascular wilt,wilts (plant disease),vascular wilt (wilts (plant disease)),https://lod.nal.usda.gov/nalt/15216,0.99,True,skos:broader; skos:narrower,INCLUDE
viral diseases of plants,plant viroses; viral infections of plants; viroses (plants); viroses of plants; virus diseases of plants; virus infections of plants,"viral diseases of plants (plant viroses, viral infections of plants, viroses (plants), viroses of plants, virus diseases of plants, virus infections of plants)",https://lod.nal.usda.gov/nalt/95877,0.99,True,skos:broader; skos:narrower,INCLUDE
weather fleck,,weather fleck,https://lod.nal.usda.gov/nalt/335198,0.95,True,skos:broader; skos:narrower,INCLUDE
woolliness,,woolliness,https://lod.nal.usda.gov/nalt/58571,0.9,True,skos:broader; skos:narrower,INCLUDE
acute oak decline,,acute oak decline,https://lod.nal.usda.gov/nalt/316327,1.0,True,skos:broader; skos:narrower,INCLUDE
almond leaf scorch,almond leaf scorch disease,almond leaf scorch (almond leaf scorch disease),https://lod.nal.usda.gov/nalt/214239,1.0,True,skos:broader; skos:narrower,INCLUDE
Alternaria brown spot,citrus brown spot; citrus brown spot disease,"Alternaria brown spot (citrus brown spot, citrus brown spot disease)",https://lod.nal.usda.gov/nalt/343376,1.0,True,skos:broader; skos:narrower,INCLUDE
anthracnose,,anthracnose,https://lod.nal.usda.gov/nalt/10052,0.95,True,skos:broader; skos:narrower,INCLUDE
apple scab,,apple scab,https://lod.nal.usda.gov/nalt/72098,1.0,True,skos:broader; skos:narrower,INCLUDE
