prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
direct push technology,,direct push technology,https://lod.nal.usda.gov/nalt/216922,0.85,False,skos:related,EXCLUDE
geophytes,,geophytes,https://lod.nal.usda.gov/nalt/217420,0.95,False,skos:related,EXCLUDE
air,,air,https://lod.nal.usda.gov/nalt/5822,0.99,False,skos:related,EXCLUDE
capillary fringe,,capillary fringe,https://lod.nal.usda.gov/nalt/21979,0.8,False,skos:related,EXCLUDE
earthworm burrows,earthworm channels,earthworm burrows (earthworm channels),https://lod.nal.usda.gov/nalt/35127,0.8,True,skos:broader; skos:narrower,EXCLUDE
erodibility,,erodibility,https://lod.nal.usda.gov/nalt/37925,0.8,True,skos:broader; skos:narrower,EXCLUDE
necromass,,necromass,https://lod.nal.usda.gov/nalt/276029,0.95,False,skos:related,EXCLUDE
permafrost,permafrost areas,permafrost (permafrost areas),https://lod.nal.usda.gov/nalt/27783,0.85,True,skos:broader; skos:narrower,EXCLUDE
phytodesalination,phyto-desalination,phytodesalination (phyto-desalination),https://lod.nal.usda.gov/nalt/235923,0.8,False,skos:related,EXCLUDE
plant litter,leaf litter; litterfall,"plant litter (leaf litter, litterfall)",https://lod.nal.usda.gov/nalt/41163,0.85,True,skos:broader; skos:narrower,EXCLUDE
plant-water relations,plant water relations; water-plant relations,"plant-water relations (plant water relations, water-plant relations)",https://lod.nal.usda.gov/nalt/34627,0.95,False,skos:related,EXCLUDE
water,,water,https://lod.nal.usda.gov/nalt/6435,1.0,False,skos:broader; skos:narrower,EXCLUDE
wheel tracks,tramlines (controlled traffic),wheel tracks (tramlines (controlled traffic)),https://lod.nal.usda.gov/nalt/1012,0.9,True,skos:broader; skos:narrower,EXCLUDE
worm casts,earthworm casts,worm casts (earthworm casts),https://lod.nal.usda.gov/nalt/35131,0.85,True,skos:broader; skos:narrower,EXCLUDE
age,age differences,age (age differences),https://lod.nal.usda.gov/nalt/110,1.0,False,skos:related,EXCLUDE
age determination,,age determination,https://lod.nal.usda.gov/nalt/5066,0.95,False,skos:related,EXCLUDE
anion exchange capacity,,anion exchange capacity,https://lod.nal.usda.gov/nalt/9594,0.8,True,skos:broader; skos:narrower,EXCLUDE
buffering capacity,buffer capacity,buffering capacity (buffer capacity),https://lod.nal.usda.gov/nalt/20312,0.85,False,skos:related,EXCLUDE
charge characteristics,,charge characteristics,https://lod.nal.usda.gov/nalt/24470,0.95,True,skos:broader; skos:narrower,EXCLUDE
climate,macroclimate,climate (macroclimate),https://lod.nal.usda.gov/nalt/76121,0.99,False,skos:related,EXCLUDE
diagenesis,,diagenesis,https://lod.nal.usda.gov/nalt/324774,0.95,True,skos:broader; skos:narrower,EXCLUDE
drained conditions,,drained conditions,https://lod.nal.usda.gov/nalt/34495,0.85,True,skos:broader; skos:narrower,EXCLUDE
