prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
direct push technology,,direct push technology,https://lod.nal.usda.gov/nalt/216922,0.95,False,skos:related,EXCLUDE
geophytes,,geophytes,https://lod.nal.usda.gov/nalt/217420,0.95,False,skos:related,EXCLUDE
air,,air,https://lod.nal.usda.gov/nalt/5822,0.99,False,skos:related,EXCLUDE
necromass,,necromass,https://lod.nal.usda.gov/nalt/276029,0.9,False,skos:related,EXCLUDE
phytodesalination,phyto-desalination,phytodesalination (phyto-desalination),https://lod.nal.usda.gov/nalt/235923,0.95,False,skos:related,EXCLUDE
plant litter,leaf litter; litterfall,"plant litter (leaf litter, litterfall)",https://lod.nal.usda.gov/nalt/41163,0.85,True,skos:broader; skos:narrower,EXCLUDE
plant-water relations,plant water relations; water-plant relations,"plant-water relations (plant water relations, water-plant relations)",https://lod.nal.usda.gov/nalt/34627,0.95,False,skos:related,EXCLUDE
soil fatty acids,,soil fatty acids,https://lod.nal.usda.gov/nalt/6796345,0.8,True,skos:broader; skos:narrower,EXCLUDE
soil suitability,,soil suitability,https://lod.nal.usda.gov/nalt/63434,0.95,True,skos:broader; skos:narrower,EXCLUDE
soil water balance,field water balance; soil water budget,"soil water balance (field water balance, soil water budget)",https://lod.nal.usda.gov/nalt/40115,0.85,True,skos:related,EXCLUDE
water,,water,https://lod.nal.usda.gov/nalt/6435,0.95,False,skos:broader; skos:narrower,EXCLUDE
wheel tracks,tramlines (controlled traffic),wheel tracks (tramlines (controlled traffic)),https://lod.nal.usda.gov/nalt/1012,0.92,True,skos:broader; skos:narrower,EXCLUDE
worm casts,earthworm casts,worm casts (earthworm casts),https://lod.nal.usda.gov/nalt/35131,0.85,True,skos:broader; skos:narrower,EXCLUDE
age,age differences,age (age differences),https://lod.nal.usda.gov/nalt/110,0.95,False,skos:related,EXCLUDE
age determination,,age determination,https://lod.nal.usda.gov/nalt/5066,0.95,False,skos:related,EXCLUDE
agricultural soils,farmland soil,agricultural soils (farmland soil),https://lod.nal.usda.gov/nalt/5472,0.85,True,skos:broader; skos:narrower,EXCLUDE
arable soils,arable land,arable soils (arable land),https://lod.nal.usda.gov/nalt/11657,0.85,True,skos:broader; skos:narrower,EXCLUDE
citrus soils,,citrus soils,https://lod.nal.usda.gov/nalt/26559,0.9,True,skos:broader; skos:narrower,EXCLUDE
climate,macroclimate,climate (macroclimate),https://lod.nal.usda.gov/nalt/76121,1.0,False,skos:related,EXCLUDE
corn soils,maize soils,corn soils (maize soils),https://lod.nal.usda.gov/nalt/29188,0.9,True,skos:broader; skos:narrower,EXCLUDE
diagenesis,,diagenesis,https://lod.nal.usda.gov/nalt/324774,0.9,True,skos:broader; skos:narrower,EXCLUDE
disturbed soils,,disturbed soils,https://lod.nal.usda.gov/nalt/10095,0.8,True,skos:broader; skos:narrower,EXCLUDE
drained conditions,,drained conditions,https://lod.nal.usda.gov/nalt/34495,0.85,True,skos:broader; skos:narrower,EXCLUDE
dry environmental conditions,arid conditions; arid environments; aridity; dry environment; dry environments; xeric conditions; xeric environment; xeric environments; xeric habitats,"dry environmental conditions (arid conditions, arid environments, aridity, dry environment, dry environments, xeric conditions, xeric environment, xeric environments, xeric habitats)",https://lod.nal.usda.gov/nalt/12165,1.0,False,skos:related,EXCLUDE
earthworms,,earthworms,https://lod.nal.usda.gov/nalt/35126,1.0,True,skos:related,EXCLUDE
environmental factors,abiotic factors; ecofactors; ecological factors; environment factors; environmental conditions; environmental filters; environmental variables,"environmental factors (abiotic factors, ecofactors, ecological factors, environment factors, environmental conditions, environmental filters, environmental variables)",https://lod.nal.usda.gov/nalt/4631,0.95,False,skos:broader; skos:narrower,EXCLUDE
fish pond soils,,fish pond soils,https://lod.nal.usda.gov/nalt/10097,0.9,True,skos:broader; skos:narrower,EXCLUDE
flooded conditions,water logging; waterlogged conditions; waterlogging,"flooded conditions (water logging, waterlogged conditions, waterlogging)",https://lod.nal.usda.gov/nalt/40586,0.8,True,skos:broader; skos:narrower,EXCLUDE
golf course soils,,golf course soils,https://lod.nal.usda.gov/nalt/10098,0.95,True,skos:broader; skos:narrower,EXCLUDE
greenhouse soils,,greenhouse soils,https://lod.nal.usda.gov/nalt/30687,0.9,True,skos:broader; skos:narrower,EXCLUDE
horticultural soils,,horticultural soils,https://lod.nal.usda.gov/nalt/30688,0.9,True,skos:broader; skos:narrower,EXCLUDE
irrigated conditions,irrigated sites; irrigated stands,"irrigated conditions (irrigated sites, irrigated stands)",https://lod.nal.usda.gov/nalt/47756,0.99,True,skos:broader; skos:narrower,EXCLUDE
irrigated soils,,irrigated soils,https://lod.nal.usda.gov/nalt/30689,0.9,True,skos:broader; skos:narrower,EXCLUDE
