prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
soil,,soil,https://lod.nal.usda.gov/nalt/63334,1.0,True,,INCLUDE
direct push technology,,direct push technology,https://lod.nal.usda.gov/nalt/216922,,False,skos:related,
geophytes,,geophytes,https://lod.nal.usda.gov/nalt/217420,,False,skos:related,
soil air,soil atmosphere; soil gases,"soil air (soil atmosphere, soil gases)",https://lod.nal.usda.gov/nalt/5823,,True,skos:broader; skos:narrower,
soil morphological features,,soil morphological features,https://lod.nal.usda.gov/nalt/26939,,True,skos:broader; skos:narrower,
soil properties,,soil properties,https://lod.nal.usda.gov/nalt/5084,,True,skos:broader; skos:narrower,
soil types,,soil types,https://lod.nal.usda.gov/nalt/10094,,True,skos:broader; skos:narrower,
soil water,soil moisture,soil water (soil moisture),https://lod.nal.usda.gov/nalt/21983,,True,skos:broader; skos:narrower,
age of soil,soil age,age of soil (soil age),https://lod.nal.usda.gov/nalt/5081,,True,skos:broader; skos:narrower,
air,,air,https://lod.nal.usda.gov/nalt/5822,,False,skos:related,
anthropogenic soil types,,anthropogenic soil types,https://lod.nal.usda.gov/nalt/10092,,True,skos:broader; skos:narrower,
capillary fringe,,capillary fringe,https://lod.nal.usda.gov/nalt/21979,,False,skos:related,
chemical soil types,,chemical soil types,https://lod.nal.usda.gov/nalt/2734,,True,skos:broader; skos:narrower,
climatic soil types,,climatic soil types,https://lod.nal.usda.gov/nalt/12168,,True,skos:broader; skos:narrower,
cultural soil types,,cultural soil types,https://lod.nal.usda.gov/nalt/5473,,True,skos:broader; skos:narrower,
earthworm burrows,earthworm channels,earthworm burrows (earthworm channels),https://lod.nal.usda.gov/nalt/35127,,True,skos:broader; skos:narrower,
ecological soil types,,ecological soil types,https://lod.nal.usda.gov/nalt/7016,,True,skos:broader; skos:narrower,
edaphic factors,soil environment,edaphic factors (soil environment),https://lod.nal.usda.gov/nalt/35823,,True,skos:related,
erodibility,,erodibility,https://lod.nal.usda.gov/nalt/37925,,True,skos:broader; skos:narrower,
genetic soil types,,genetic soil types,https://lod.nal.usda.gov/nalt/6337,,True,skos:broader; skos:narrower,
lithological soil types,,lithological soil types,https://lod.nal.usda.gov/nalt/6754,,True,skos:broader; skos:narrower,
mineralogical soil types,,mineralogical soil types,https://lod.nal.usda.gov/nalt/6710,,True,skos:broader; skos:narrower,
necromass,,necromass,https://lod.nal.usda.gov/nalt/276029,,False,skos:related,
ortsteins,,ortsteins,https://lod.nal.usda.gov/nalt/306961,,True,skos:broader; skos:narrower,
paleosolic soil types,palaeosolic soil types; palaeosols,"paleosolic soil types (palaeosolic soil types, palaeosols)",https://lod.nal.usda.gov/nalt/20443,,True,skos:broader; skos:narrower,
pedodiversity,soil diversity,pedodiversity (soil diversity),https://lod.nal.usda.gov/nalt/314998,,True,skos:related,
