prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
cell transplantation,,cell transplantation,https://lod.nal.usda.gov/nalt/23441,0.99,False,skos:related,EXCLUDE
spores,,spores,https://lod.nal.usda.gov/nalt/15200,0.91,True,skos:broader; skos:narrower,EXCLUDE
adipogenesis,adipogenic differentiation,adipogenesis (adipogenic differentiation),https://lod.nal.usda.gov/nalt/70809,0.98,True,skos:related,EXCLUDE
adipokines,adipocytokines; adipokine,"adipokines (adipocytokines, adipokine)",https://lod.nal.usda.gov/nalt/132364,0.99,False,skos:related,EXCLUDE
adiponectin,,adiponectin,https://lod.nal.usda.gov/nalt/132363,1.0,False,skos:related,EXCLUDE
adipophilin,perilipin 2,adipophilin (perilipin 2),https://lod.nal.usda.gov/nalt/196331,0.99,False,skos:related,EXCLUDE
adipose tissue,,adipose tissue,https://lod.nal.usda.gov/nalt/4220,0.98,False,skos:related,EXCLUDE
aleurone layer,,aleurone layer,https://lod.nal.usda.gov/nalt/6265,0.99,False,skos:broader; skos:narrower,EXCLUDE
animal ovaries,mammalian ovary,animal ovaries (mammalian ovary),https://lod.nal.usda.gov/nalt/29278,0.98,False,skos:broader; skos:narrower,EXCLUDE
antigen presentation,,antigen presentation,https://lod.nal.usda.gov/nalt/10340,0.98,False,skos:related,EXCLUDE
artificial membranes,biomimetic membranes; synthetic membranes,"artificial membranes (biomimetic membranes, synthetic membranes)",https://lod.nal.usda.gov/nalt/12600,0.99,False,skos:broader; skos:narrower,EXCLUDE
bacteria,,bacteria,https://lod.nal.usda.gov/nalt/2350,1.0,False,skos:related,EXCLUDE
bacteriome,mycetome,bacteriome (mycetome),https://lod.nal.usda.gov/nalt/218603,0.99,False,skos:related,EXCLUDE
beta-3 adrenergic receptors,,beta-3 adrenergic receptors,https://lod.nal.usda.gov/nalt/316457,0.99,False,skos:related,EXCLUDE
blood,,blood,https://lod.nal.usda.gov/nalt/18059,1.0,False,skos:broader; skos:narrower,EXCLUDE
blood cell counts,blood cell number; blood picture,"blood cell counts (blood cell number, blood picture)",https://lod.nal.usda.gov/nalt/18073,1.0,False,skos:related,EXCLUDE
bone resorption,osteoclastic bone loss; osteolysis,"bone resorption (osteoclastic bone loss, osteolysis)",https://lod.nal.usda.gov/nalt/18501,0.98,False,skos:related,EXCLUDE
California mastitis test,California milk test,California mastitis test (California milk test),https://lod.nal.usda.gov/nalt/243947,1.0,False,skos:related,EXCLUDE
cartilage,,cartilage,https://lod.nal.usda.gov/nalt/22713,0.98,False,skos:related,EXCLUDE
cathelicidins,cathelicidin peptides,cathelicidins (cathelicidin peptides),https://lod.nal.usda.gov/nalt/235861,0.99,False,skos:related,EXCLUDE
CD146 antigen,gicerin; melanoma cell adhesion molecule,"CD146 antigen (gicerin, melanoma cell adhesion molecule)",https://lod.nal.usda.gov/nalt/293046,0.96,False,skos:related,EXCLUDE
cell engineering,,cell engineering,https://lod.nal.usda.gov/nalt/206573,0.98,False,skos:related,EXCLUDE
chloroplasts,,chloroplasts,https://lod.nal.usda.gov/nalt/25479,0.99,True,skos:related,EXCLUDE
chromaffin granules,,chromaffin granules,https://lod.nal.usda.gov/nalt/25729,0.96,True,skos:related,EXCLUDE
connective tissues,,connective tissues,https://lod.nal.usda.gov/nalt/4227,0.99,False,skos:broader; skos:narrower,EXCLUDE
corpus luteum,,corpus luteum,https://lod.nal.usda.gov/nalt/29277,0.94,False,skos:broader; skos:narrower,EXCLUDE
Cyanobacteria,Cyanochloronta; Cyanophyta; blue green algae; blue green bacteria; blue-green algae; blue-green bacteria,"Cyanobacteria (Cyanochloronta, Cyanophyta, blue green algae, blue green bacteria, blue-green algae, blue-green bacteria)",https://lod.nal.usda.gov/nalt/72,0.99,False,skos:related,EXCLUDE
desmin,skeletin,desmin (skeletin),https://lod.nal.usda.gov/nalt/190839,0.99,False,skos:related,EXCLUDE
drug delivery systems,drug delivery applications; drug delivery methods,"drug delivery systems (drug delivery applications, drug delivery methods)",https://lod.nal.usda.gov/nalt/4249,0.99,False,skos:related,EXCLUDE
endocrine glands,,endocrine glands,https://lod.nal.usda.gov/nalt/4351,0.98,False,skos:broader; skos:narrower,EXCLUDE
