prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
autoimmunity,autoimmune response,autoimmunity (autoimmune response),https://lod.nal.usda.gov/nalt/13995,0.98,True,skos:broader; skos:narrower,EXCLUDE
biological resistance,biocide resistance,biological resistance (biocide resistance),https://lod.nal.usda.gov/nalt/114,0.99,False,skos:broader; skos:narrower,EXCLUDE
herd immunity,community immunity,herd immunity (community immunity),https://lod.nal.usda.gov/nalt/263906,0.98,True,skos:broader; skos:narrower,EXCLUDE
immunoinformatics,computational immunology; immune-based systems; immunocomputing,"immunoinformatics (computational immunology, immune-based systems, immunocomputing)",https://lod.nal.usda.gov/nalt/266183,0.99,True,skos:related,EXCLUDE
immunologic diseases,immunological diseases,immunologic diseases (immunological diseases),https://lod.nal.usda.gov/nalt/340,0.98,False,skos:related,EXCLUDE
secondary infection,,secondary infection,https://lod.nal.usda.gov/nalt/266333,0.97,False,skos:related,EXCLUDE
animal anatomy,human anatomy,animal anatomy (human anatomy),https://lod.nal.usda.gov/nalt/47,0.99,False,skos:broader; skos:narrower,EXCLUDE
antibody engineering,,antibody engineering,https://lod.nal.usda.gov/nalt/297821,0.94,False,skos:related,EXCLUDE
bone marrow,,bone marrow,https://lod.nal.usda.gov/nalt/9528,0.91,False,skos:broader; skos:narrower,EXCLUDE
CRISPR-Cas systems,CRISPR/Cas9 system,CRISPR-Cas systems (CRISPR/Cas9 system),https://lod.nal.usda.gov/nalt/329078,0.98,False,skos:related,EXCLUDE
hypersensitivity,allergic reaction; allergies; allergy,"hypersensitivity (allergic reaction, allergies, allergy)",https://lod.nal.usda.gov/nalt/6555,0.99,False,skos:related,EXCLUDE
immune evasion,,immune evasion,https://lod.nal.usda.gov/nalt/31973,0.98,False,skos:related,EXCLUDE
immunocastration,immuno-castration,immunocastration (immuno-castration),https://lod.nal.usda.gov/nalt/290558,0.97,True,skos:related,EXCLUDE
immunocompromised population,immunocompromised hosts; immunocompromised individuals,"immunocompromised population (immunocompromised hosts, immunocompromised individuals)",https://lod.nal.usda.gov/nalt/136991,0.96,False,skos:related,EXCLUDE
insect biology,,insect biology,https://lod.nal.usda.gov/nalt/37357,0.99,False,skos:broader; skos:narrower,EXCLUDE
skin prick tests,,skin prick tests,https://lod.nal.usda.gov/nalt/311643,0.98,True,skos:related,EXCLUDE
animal research,,animal research,https://lod.nal.usda.gov/nalt/199785,0.99,False,skos:broader; skos:narrower,EXCLUDE
animal-friendly affinity reagents,,animal-friendly affinity reagents,https://lod.nal.usda.gov/nalt/84266496,0.96,True,skos:broader; skos:narrower,EXCLUDE
antibody binding sites,antibody-binding regions; antibody-combining sites; paratopes,"antibody binding sites (antibody-binding regions, antibody-combining sites, paratopes)",https://lod.nal.usda.gov/nalt/261105,0.99,False,skos:related,EXCLUDE
artificial skin,bioprinted skin; laboratory produced skin; reconstituted skin; skin equivalents; skin substitutes; synthetic skin; tissue-engineered skin,"artificial skin (bioprinted skin, laboratory produced skin, reconstituted skin, skin equivalents, skin substitutes, synthetic skin, tissue-engineered skin)",https://lod.nal.usda.gov/nalt/312748,0.98,False,skos:related,EXCLUDE
ascites,pulmonary hypertensive syndrome,ascites (pulmonary hypertensive syndrome),https://lod.nal.usda.gov/nalt/733,0.97,True,skos:broader; skos:narrower,EXCLUDE
autophagosomes,,autophagosomes,https://lod.nal.usda.gov/nalt/336342,0.88,False,skos:related,EXCLUDE
B-cell lymphoma,diffuse large B-Cell lymphoma; diffuse large-cell lymphoma; histiocytic lymphoma,"B-cell lymphoma (diffuse large B-Cell lymphoma, diffuse large-cell lymphoma, histiocytic lymphoma)",https://lod.nal.usda.gov/nalt/295040,0.98,False,skos:related,EXCLUDE
biochemical compounds,biological compounds,biochemical compounds (biological compounds),https://lod.nal.usda.gov/nalt/7812,0.99,False,skos:broader; skos:narrower,EXCLUDE
biochemistry,,biochemistry,https://lod.nal.usda.gov/nalt/17227,0.99,False,skos:related,EXCLUDE
blood cells,,blood cells,https://lod.nal.usda.gov/nalt/18061,0.9,False,skos:broader; skos:narrower,EXCLUDE
blood serum,serum,blood serum (serum),https://lod.nal.usda.gov/nalt/18139,0.82,False,skos:related,EXCLUDE
cells,,cells,https://lod.nal.usda.gov/nalt/2895,0.92,False,skos:broader; skos:narrower,EXCLUDE
circulatory system,,circulatory system,https://lod.nal.usda.gov/nalt/8968,0.98,False,skos:broader; skos:narrower,EXCLUDE
drugs,medicines (drugs); pharmaceutical compounds; pharmaceutical products; pharmaceuticals,"drugs (medicines (drugs), pharmaceutical compounds, pharmaceutical products, pharmaceuticals)",https://lod.nal.usda.gov/nalt/286,0.99,False,skos:broader; skos:narrower,EXCLUDE
endocytosis,pinocytosis,endocytosis (pinocytosis),https://lod.nal.usda.gov/nalt/23424,0.94,False,skos:broader; skos:narrower,EXCLUDE
excretory-secretory products,excretory secretory products; excretory-secretory proteins,"excretory-secretory products (excretory secretory products, excretory-secretory proteins)",https://lod.nal.usda.gov/nalt/9369,0.88,False,skos:related,EXCLUDE
exoerythrocytic stage,exoerythrocyte stage,exoerythrocytic stage (exoerythrocyte stage),https://lod.nal.usda.gov/nalt/200593,0.98,False,skos:related,EXCLUDE
