prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
immunity,protective immunity,immunity (protective immunity),https://lod.nal.usda.gov/nalt/2996,1.0,True,,INCLUDE
adaptive immunity,acquired immune system; acquired immunity; adaptive immune response; adaptive immune system; adoptive immunity,"adaptive immunity (acquired immune system, acquired immunity, adaptive immune response, adaptive immune system, adoptive immunity)",https://lod.nal.usda.gov/nalt/105992,0.99,True,skos:broader; skos:narrower,INCLUDE
antibody affinity,antibody avidity,antibody affinity (antibody avidity),https://lod.nal.usda.gov/nalt/217636,0.89,True,skos:broader; skos:narrower,INCLUDE
antibody diversity,germ line theory; immunoglobulin diversity,"antibody diversity (germ line theory, immunoglobulin diversity)",https://lod.nal.usda.gov/nalt/217635,0.95,True,skos:broader; skos:narrower,INCLUDE
antibody specificity,,antibody specificity,https://lod.nal.usda.gov/nalt/217634,0.91,True,skos:broader; skos:narrower,INCLUDE
autoimmunity,autoimmune response,autoimmunity (autoimmune response),https://lod.nal.usda.gov/nalt/13995,0.98,True,skos:broader; skos:narrower,INCLUDE
cross immunity,cross-immunity; cross-protective immunity,"cross immunity (cross-immunity, cross-protective immunity)",https://lod.nal.usda.gov/nalt/30199,0.97,True,skos:broader; skos:narrower,INCLUDE
herd immunity,community immunity,herd immunity (community immunity),https://lod.nal.usda.gov/nalt/263906,0.94,True,skos:broader; skos:narrower,INCLUDE
immune response,immunity response; immunological response,"immune response (immunity response, immunological response)",https://lod.nal.usda.gov/nalt/10232,0.99,True,skos:broader; skos:narrower,INCLUDE
immunocompetence,immune competence,immunocompetence (immune competence),https://lod.nal.usda.gov/nalt/28327,0.96,True,skos:broader; skos:narrower,INCLUDE
immunoinformatics,computational immunology; immune-based systems; immunocomputing,"immunoinformatics (computational immunology, immune-based systems, immunocomputing)",https://lod.nal.usda.gov/nalt/266183,0.86,True,skos:related,INCLUDE
immunomodulation,immunoregulation,immunomodulation (immunoregulation),https://lod.nal.usda.gov/nalt/203529,0.93,True,skos:broader; skos:narrower,INCLUDE
innate immunity,innate immune response; innate immune system; natural immunity,"innate immunity (innate immune response, innate immune system, natural immunity)",https://lod.nal.usda.gov/nalt/105991,0.99,True,skos:broader; skos:narrower,INCLUDE
insect immunity,,insect immunity,https://lod.nal.usda.gov/nalt/46974,0.93,True,skos:broader; skos:narrower,INCLUDE
mucosal immunity,mucosal immune response,mucosal immunity (mucosal immune response),https://lod.nal.usda.gov/nalt/46975,0.98,True,skos:broader; skos:narrower,INCLUDE
passive immunity,,passive immunity,https://lod.nal.usda.gov/nalt/4326,0.96,True,skos:broader; skos:narrower,INCLUDE
sterilizing immunity,,sterilizing immunity,https://lod.nal.usda.gov/nalt/262790,0.95,True,skos:broader; skos:narrower,INCLUDE
active immunity,active immune response,active immunity (active immune response),https://lod.nal.usda.gov/nalt/70758,0.99,True,skos:broader; skos:narrower,INCLUDE
antibodies,,antibodies,https://lod.nal.usda.gov/nalt/10218,0.99,True,skos:related,INCLUDE
antibody formation,antibody production; antibody response; autoantibody production,"antibody formation (antibody production, antibody response, autoantibody production)",https://lod.nal.usda.gov/nalt/10230,0.98,True,skos:broader; skos:narrower,INCLUDE
antigen-antibody reactions,antibody antigen interactions; antibody antigen reaction; antibody-antigen interactions; antibody-antigen reaction; antigen antibody interactions; antigen antibody reactions; antigen-antibody interactions,"antigen-antibody reactions (antibody antigen interactions, antibody antigen reaction, antibody-antigen interactions, antibody-antigen reaction, antigen antibody interactions, antigen antibody reactions, antigen-antibody interactions)",https://lod.nal.usda.gov/nalt/5131,0.99,True,skos:broader; skos:narrower,INCLUDE
antigens,immunogens,antigens (immunogens),https://lod.nal.usda.gov/nalt/6556,0.98,True,skos:related,INCLUDE
autoantibodies,auto-antibodies,autoantibodies (auto-antibodies),https://lod.nal.usda.gov/nalt/10219,0.99,True,skos:related,INCLUDE
autoantigens,,autoantigens,https://lod.nal.usda.gov/nalt/10355,0.98,True,skos:related,INCLUDE
autoimmune diseases,,autoimmune diseases,https://lod.nal.usda.gov/nalt/13994,0.98,False,skos:related,INCLUDE
B-lymphocytes,B cells (lymphocytes); B lymphocytes; B-cells (lymphocytes),"B-lymphocytes (B cells (lymphocytes), B lymphocytes, B-cells (lymphocytes))",https://lod.nal.usda.gov/nalt/14410,0.97,False,skos:related,INCLUDE
cell-mediated immunity,cell mediated immunity; cell-mediated immune response; cellular immune response; cellular immunity,"cell-mediated immunity (cell mediated immunity, cell-mediated immune response, cellular immune response, cellular immunity)",https://lod.nal.usda.gov/nalt/10341,0.99,True,skos:broader; skos:narrower,INCLUDE
cross reaction,cross reactivity; cross-reaction; cross-reactivity,"cross reaction (cross reactivity, cross-reaction, cross-reactivity)",https://lod.nal.usda.gov/nalt/10346,0.87,True,skos:related,INCLUDE
epitopes,antigenic determinants,epitopes (antigenic determinants),https://lod.nal.usda.gov/nalt/10349,0.99,True,skos:related,INCLUDE
graft rejection,allograft rejection; host versus graft reactions; transplant rejection; transplantation rejection,"graft rejection (allograft rejection, host versus graft reactions, transplant rejection, transplantation rejection)",https://lod.nal.usda.gov/nalt/6679,0.98,True,skos:broader; skos:narrower,INCLUDE
graft versus host reactions,,graft versus host reactions,https://lod.nal.usda.gov/nalt/23447,0.95,True,skos:broader; skos:narrower,INCLUDE
humoral immunity,humoral immune response; humoral response,"humoral immunity (humoral immune response, humoral response)",https://lod.nal.usda.gov/nalt/10233,0.99,True,skos:broader; skos:narrower,INCLUDE
immune evasion,,immune evasion,https://lod.nal.usda.gov/nalt/31973,0.97,False,skos:related,INCLUDE
immunochemistry,,immunochemistry,https://lod.nal.usda.gov/nalt/46984,0.9,True,skos:related,INCLUDE
immunogenetics,,immunogenetics,https://lod.nal.usda.gov/nalt/10352,0.95,True,skos:related,INCLUDE
immunogenicity,,immunogenicity,https://lod.nal.usda.gov/nalt/146502,0.96,True,skos:broader; skos:narrower,INCLUDE
immunoglobulin T,IgT (immunoglobulin T),immunoglobulin T (IgT (immunoglobulin T)),https://lod.nal.usda.gov/nalt/246573,0.98,True,skos:related,INCLUDE
immunologic factors,immunological factors,immunologic factors (immunological factors),https://lod.nal.usda.gov/nalt/5138,0.88,True,skos:related,INCLUDE
immunologic memory,immune memory; serological memory,"immunologic memory (immune memory, serological memory)",https://lod.nal.usda.gov/nalt/217793,0.99,True,skos:broader; skos:narrower,INCLUDE
immunologic techniques,immunologic tests; immunological techniques; immunological tests; serologic tests; serological tests,"immunologic techniques (immunologic tests, immunological techniques, immunological tests, serologic tests, serological tests)",https://lod.nal.usda.gov/nalt/5134,0.97,True,skos:related,INCLUDE
immunomodulators,immunomodulatory capacity,immunomodulators (immunomodulatory capacity),https://lod.nal.usda.gov/nalt/34674,0.93,True,skos:related,INCLUDE
immunostimulation (physiological),immunostimulation (physiology),immunostimulation (physiological) (immunostimulation (physiology)),https://lod.nal.usda.gov/nalt/83308,0.9,True,skos:broader; skos:narrower,INCLUDE
immunosuppression,immune tolerance; immunodeficiency; immunologic deficiency; immunological deficiency,"immunosuppression (immune tolerance, immunodeficiency, immunologic deficiency, immunological deficiency)",https://lod.nal.usda.gov/nalt/46965,0.98,True,skos:broader; skos:narrower,INCLUDE
macrophage activation,,macrophage activation,https://lod.nal.usda.gov/nalt/46969,0.86,True,skos:broader; skos:narrower,INCLUDE
macrophages,,macrophages,https://lod.nal.usda.gov/nalt/40760,0.95,False,skos:related,INCLUDE
maternal immunity,maternal antibodies; maternally-acquired immunity,"maternal immunity (maternal antibodies, maternally-acquired immunity)",https://lod.nal.usda.gov/nalt/28032,0.96,True,skos:broader; skos:narrower,INCLUDE
natural killer cells,NK cells,natural killer cells (NK cells),https://lod.nal.usda.gov/nalt/48404,0.98,False,skos:related,INCLUDE
neutrophils,polymorphonuclear leukocytes,neutrophils (polymorphonuclear leukocytes),https://lod.nal.usda.gov/nalt/43664,0.98,False,skos:related,INCLUDE
pathogen-associated molecular patterns,pathogen-associated molecular pattern molecules,pathogen-associated molecular patterns (pathogen-associated molecular pattern molecules),https://lod.nal.usda.gov/nalt/296037,0.98,False,skos:related,INCLUDE
phagocytes,phagocytic cells,phagocytes (phagocytic cells),https://lod.nal.usda.gov/nalt/23479,0.99,False,skos:related,INCLUDE
phagocytosis,phagocytic activity,phagocytosis (phagocytic activity),https://lod.nal.usda.gov/nalt/37025,0.98,True,skos:broader; skos:narrower,INCLUDE
serology,,serology,https://lod.nal.usda.gov/nalt/92012,0.93,True,skos:related,INCLUDE
T-lymphocytes,T cells; T lymphocytes; T-cells,"T-lymphocytes (T cells, T lymphocytes, T-cells)",https://lod.nal.usda.gov/nalt/23197,1.0,False,skos:related,INCLUDE
agglutination,,agglutination,https://lod.nal.usda.gov/nalt/5130,0.91,True,skos:broader; skos:narrower,INCLUDE
agglutination tests,,agglutination tests,https://lod.nal.usda.gov/nalt/5133,0.98,True,skos:broader; skos:narrower,INCLUDE
agglutinins,,agglutinins,https://lod.nal.usda.gov/nalt/5137,0.96,True,skos:broader; skos:narrower,INCLUDE
antibody binding sites,antibody-binding regions; antibody-combining sites; paratopes,"antibody binding sites (antibody-binding regions, antibody-combining sites, paratopes)",https://lod.nal.usda.gov/nalt/261105,0.95,False,skos:related,INCLUDE
antibody detection,antibody screening; antibody testing,"antibody detection (antibody screening, antibody testing)",https://lod.nal.usda.gov/nalt/10224,0.97,True,skos:broader; skos:narrower,INCLUDE
antibody microarrays,,antibody microarrays,https://lod.nal.usda.gov/nalt/205675,0.92,True,skos:broader; skos:narrower,INCLUDE
antigen detection,antigen testing,antigen detection (antigen testing),https://lod.nal.usda.gov/nalt/10338,0.96,True,skos:related,INCLUDE
antigen presentation,,antigen presentation,https://lod.nal.usda.gov/nalt/10340,0.98,True,skos:broader; skos:narrower,INCLUDE
antigen-antibody complex,antigen antibody complex; immune complex; immune complexes,"antigen-antibody complex (antigen antibody complex, immune complex, immune complexes)",https://lod.nal.usda.gov/nalt/10336,0.99,True,skos:broader; skos:narrower,INCLUDE
antiserum,antisera; hyperimmune serum; immune sera; immune serum,"antiserum (antisera, hyperimmune serum, immune sera, immune serum)",https://lod.nal.usda.gov/nalt/10225,0.97,True,skos:broader; skos:narrower,INCLUDE
antitoxins,,antitoxins,https://lod.nal.usda.gov/nalt/10294,0.95,True,skos:broader; skos:narrower,INCLUDE
bacterial antibodies,,bacterial antibodies,https://lod.nal.usda.gov/nalt/217759,0.94,True,skos:broader; skos:narrower,INCLUDE
bacterial antigens,,bacterial antigens,https://lod.nal.usda.gov/nalt/10356,0.91,True,skos:broader; skos:narrower,INCLUDE
blood group antigens,,blood group antigens,https://lod.nal.usda.gov/nalt/10357,0.84,True,skos:broader; skos:narrower,INCLUDE
blood serum,serum,blood serum (serum),https://lod.nal.usda.gov/nalt/18139,0.73,False,skos:related,INCLUDE
broadly neutralizing antibodies,broad spectrum antibodies; cross-neutralizing antibodies,"broadly neutralizing antibodies (broad spectrum antibodies, cross-neutralizing antibodies)",https://lod.nal.usda.gov/nalt/336296,0.98,True,skos:related,INCLUDE
