prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
biological resistance,biocide resistance,biological resistance (biocide resistance),https://lod.nal.usda.gov/nalt/114,0.98,False,skos:broader; skos:narrower,EXCLUDE
immune system,,immune system,https://lod.nal.usda.gov/nalt/8973,0.84,False,skos:related,EXCLUDE
immunologic diseases,immunological diseases,immunologic diseases (immunological diseases),https://lod.nal.usda.gov/nalt/340,0.92,False,skos:related,EXCLUDE
secondary infection,,secondary infection,https://lod.nal.usda.gov/nalt/266333,0.97,False,skos:related,EXCLUDE
antibody engineering,,antibody engineering,https://lod.nal.usda.gov/nalt/297821,0.91,False,skos:related,EXCLUDE
bioinformatics,computational biology; computational genetics; computational molecular biology,"bioinformatics (computational biology, computational genetics, computational molecular biology)",https://lod.nal.usda.gov/nalt/17402,0.99,False,skos:broader; skos:narrower,EXCLUDE
CRISPR-Cas systems,CRISPR/Cas9 system,CRISPR-Cas systems (CRISPR/Cas9 system),https://lod.nal.usda.gov/nalt/329078,0.98,False,skos:related,EXCLUDE
disease resistance,disease tolerance,disease resistance (disease tolerance),https://lod.nal.usda.gov/nalt/151,0.96,False,skos:related,EXCLUDE
hypersensitivity,allergic reaction; allergies; allergy,"hypersensitivity (allergic reaction, allergies, allergy)",https://lod.nal.usda.gov/nalt/6555,0.92,False,skos:related,EXCLUDE
immunocastration,immuno-castration,immunocastration (immuno-castration),https://lod.nal.usda.gov/nalt/290558,0.91,True,skos:related,EXCLUDE
immunocompromised population,immunocompromised hosts; immunocompromised individuals,"immunocompromised population (immunocompromised hosts, immunocompromised individuals)",https://lod.nal.usda.gov/nalt/136991,0.84,False,skos:related,EXCLUDE
insect biology,,insect biology,https://lod.nal.usda.gov/nalt/37357,0.99,False,skos:broader; skos:narrower,EXCLUDE
metabolomics,metabolic profiling; metabolome analysis; metabonomic study; metabonomics,"metabolomics (metabolic profiling, metabolome analysis, metabonomic study, metabonomics)",https://lod.nal.usda.gov/nalt/17412,0.99,False,skos:related,EXCLUDE
proteomics,nutriproteomics,proteomics (nutriproteomics),https://lod.nal.usda.gov/nalt/17414,0.97,False,skos:related,EXCLUDE
skin prick tests,,skin prick tests,https://lod.nal.usda.gov/nalt/311643,0.96,True,skos:related,EXCLUDE
allergens,,allergens,https://lod.nal.usda.gov/nalt/6554,0.87,True,skos:broader; skos:narrower,EXCLUDE
allergoids,formalinized allergoids; formalized allergoids,"allergoids (formalinized allergoids, formalized allergoids)",https://lod.nal.usda.gov/nalt/335656,0.72,True,skos:related,EXCLUDE
animal research,,animal research,https://lod.nal.usda.gov/nalt/199785,0.99,False,skos:broader; skos:narrower,EXCLUDE
animal-friendly affinity reagents,,animal-friendly affinity reagents,https://lod.nal.usda.gov/nalt/84266496,0.93,True,skos:broader; skos:narrower,EXCLUDE
antigenic variation,antigenic diversity; antigenic drift; antigenic shift; antigenic switching,"antigenic variation (antigenic diversity, antigenic drift, antigenic shift, antigenic switching)",https://lod.nal.usda.gov/nalt/10350,0.95,True,skos:broader; skos:narrower,EXCLUDE
artificial skin,bioprinted skin; laboratory produced skin; reconstituted skin; skin equivalents; skin substitutes; synthetic skin; tissue-engineered skin,"artificial skin (bioprinted skin, laboratory produced skin, reconstituted skin, skin equivalents, skin substitutes, synthetic skin, tissue-engineered skin)",https://lod.nal.usda.gov/nalt/312748,0.98,False,skos:related,EXCLUDE
ascites,pulmonary hypertensive syndrome,ascites (pulmonary hypertensive syndrome),https://lod.nal.usda.gov/nalt/733,0.89,True,skos:broader; skos:narrower,EXCLUDE
autophagosomes,,autophagosomes,https://lod.nal.usda.gov/nalt/336342,0.94,False,skos:related,EXCLUDE
B-cell lymphoma,diffuse large B-Cell lymphoma; diffuse large-cell lymphoma; histiocytic lymphoma,"B-cell lymphoma (diffuse large B-Cell lymphoma, diffuse large-cell lymphoma, histiocytic lymphoma)",https://lod.nal.usda.gov/nalt/295040,0.97,False,skos:related,EXCLUDE
biochemical compounds,biological compounds,biochemical compounds (biological compounds),https://lod.nal.usda.gov/nalt/7812,0.95,False,skos:broader; skos:narrower,EXCLUDE
biochemistry,,biochemistry,https://lod.nal.usda.gov/nalt/17227,0.98,False,skos:related,EXCLUDE
cells,,cells,https://lod.nal.usda.gov/nalt/2895,0.97,False,skos:broader; skos:narrower,EXCLUDE
drugs,medicines (drugs); pharmaceutical compounds; pharmaceutical products; pharmaceuticals,"drugs (medicines (drugs), pharmaceutical compounds, pharmaceutical products, pharmaceuticals)",https://lod.nal.usda.gov/nalt/286,0.99,False,skos:broader; skos:narrower,EXCLUDE
endocytosis,pinocytosis,endocytosis (pinocytosis),https://lod.nal.usda.gov/nalt/23424,0.93,False,skos:broader; skos:narrower,EXCLUDE
excretory-secretory products,excretory secretory products; excretory-secretory proteins,"excretory-secretory products (excretory secretory products, excretory-secretory proteins)",https://lod.nal.usda.gov/nalt/9369,0.96,False,skos:related,EXCLUDE
exoerythrocytic stage,exoerythrocyte stage,exoerythrocytic stage (exoerythrocyte stage),https://lod.nal.usda.gov/nalt/200593,0.98,False,skos:related,EXCLUDE
foam cells,,foam cells,https://lod.nal.usda.gov/nalt/40759,0.84,False,skos:broader; skos:narrower,EXCLUDE
food allergies,food anaphylaxis; food hypersensitivity,"food allergies (food anaphylaxis, food hypersensitivity)",https://lod.nal.usda.gov/nalt/6560,0.97,False,skos:related,EXCLUDE
genetics,,genetics,https://lod.nal.usda.gov/nalt/9222,0.99,False,skos:broader; skos:narrower,EXCLUDE
graft compatibility,graft incompatibility; graft rejection (plants); rootstock scion compatibility; rootstock scion incompatibility; rootstock-scion compatibility; rootstock-scion incompatibility,"graft compatibility (graft incompatibility, graft rejection (plants), rootstock scion compatibility, rootstock scion incompatibility, rootstock-scion compatibility, rootstock-scion incompatibility)",https://lod.nal.usda.gov/nalt/28321,0.95,False,skos:related,EXCLUDE
granulocytes,,granulocytes,https://lod.nal.usda.gov/nalt/16036,0.74,False,skos:broader; skos:narrower,EXCLUDE
guaiac,,guaiac,https://lod.nal.usda.gov/nalt/302394,1.0,False,skos:related,EXCLUDE
histiocytes,,histiocytes,https://lod.nal.usda.gov/nalt/45636,0.76,False,skos:broader; skos:narrower,EXCLUDE
mark release recapture,,mark release recapture,https://lod.nal.usda.gov/nalt/306976,0.99,True,skos:broader; skos:narrower,EXCLUDE
methodology,creative methods; methods; new methodology; new methods; new techniques; novel methods; techniques,"methodology (creative methods, methods, new methodology, new methods, new techniques, novel methods, techniques)",https://lod.nal.usda.gov/nalt/5079,0.98,False,skos:broader; skos:narrower,EXCLUDE
pemphigus (skin disease),,pemphigus (skin disease),https://lod.nal.usda.gov/nalt/14012,0.98,False,skos:broader; skos:narrower,EXCLUDE
receptors,,receptors,https://lod.nal.usda.gov/nalt/4370,0.98,False,skos:related,EXCLUDE
resistance mechanisms,,resistance mechanisms,https://lod.nal.usda.gov/nalt/10180,0.88,False,skos:broader; skos:narrower,EXCLUDE
reticuloendothelial system,,reticuloendothelial system,https://lod.nal.usda.gov/nalt/46970,0.9,False,skos:broader; skos:narrower,EXCLUDE
rheumatoid arthritis,rheumatism,rheumatoid arthritis (rheumatism),https://lod.nal.usda.gov/nalt/12460,0.84,False,skos:broader; skos:narrower,EXCLUDE
ring tests,,ring tests,https://lod.nal.usda.gov/nalt/47007,0.95,True,skos:broader; skos:narrower,EXCLUDE
serological surveys,serepidemiologic surveys; sero-epidemiology; seroepidemiologic studies; seroepidemiological studies; seroepidemiological surveys; seroepidemiology; serologic studies; serologic surveys; serological studies,"serological surveys (serepidemiologic surveys, sero-epidemiology, seroepidemiologic studies, seroepidemiological studies, seroepidemiological surveys, seroepidemiology, serologic studies, serologic surveys, serological studies)",https://lod.nal.usda.gov/nalt/142425,0.91,False,skos:related,EXCLUDE
seroprevalence,antibody prevalence; seronegativity; seropositivity,"seroprevalence (antibody prevalence, seronegativity, seropositivity)",https://lod.nal.usda.gov/nalt/10226,0.87,False,skos:related,EXCLUDE
serotypes,serogroups; serovars,"serotypes (serogroups, serovars)",https://lod.nal.usda.gov/nalt/10353,0.9,False,skos:related,EXCLUDE
skin tests,corrositex; dermal irritancy tests; skin irritancy tests,"skin tests (corrositex, dermal irritancy tests, skin irritancy tests)",https://lod.nal.usda.gov/nalt/32456,0.96,True,skos:broader; skos:narrower,EXCLUDE
