prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,0.93,False,skos:related,EXCLUDE
animal control services,,animal control services,https://lod.nal.usda.gov/nalt/127349,0.98,False,skos:related,EXCLUDE
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,0.97,False,skos:related,EXCLUDE
bird control,,bird control,https://lod.nal.usda.gov/nalt/17592,0.99,True,skos:broader; skos:narrower,EXCLUDE
chemical control,chemical treatment (disease); chemical treatment (pest),"chemical control (chemical treatment (disease), chemical treatment (pest))",https://lod.nal.usda.gov/nalt/24625,0.97,False,skos:related,EXCLUDE
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,0.98,False,skos:related,EXCLUDE
foggers,cold foggers; fogging machines; thermal foggers,"foggers (cold foggers, fogging machines, thermal foggers)",https://lod.nal.usda.gov/nalt/284633,0.99,False,skos:related,EXCLUDE
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,0.97,False,skos:related,EXCLUDE
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,0.98,False,skos:related,EXCLUDE
pest control equipment,,pest control equipment,https://lod.nal.usda.gov/nalt/386,0.99,False,skos:related,EXCLUDE
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,0.99,False,skos:related,EXCLUDE
pesticide adjuvants,,pesticide adjuvants,https://lod.nal.usda.gov/nalt/4235,0.95,False,skos:related,EXCLUDE
pesticide application equipment,,pesticide application equipment,https://lod.nal.usda.gov/nalt/142739,0.98,False,skos:related,EXCLUDE
pesticide formulations,insecticide formulations,pesticide formulations (insecticide formulations),https://lod.nal.usda.gov/nalt/4715,0.96,True,skos:broader; skos:narrower,EXCLUDE
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,0.99,False,skos:related,EXCLUDE
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,0.98,False,skos:related,EXCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,0.95,False,skos:related,EXCLUDE
poisoning of animal pests,,poisoning of animal pests,https://lod.nal.usda.gov/nalt/15548,0.92,True,skos:broader; skos:narrower,EXCLUDE
predator control,,predator control,https://lod.nal.usda.gov/nalt/57548,0.94,True,skos:broader; skos:narrower,EXCLUDE
thidiazuron,TDZ (thidiazuron),thidiazuron (TDZ (thidiazuron)),https://lod.nal.usda.gov/nalt/213696,0.97,True,skos:broader; skos:narrower,EXCLUDE
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,0.99,False,skos:broader; skos:narrower,EXCLUDE
trap crops,,trap crops,https://lod.nal.usda.gov/nalt/30194,0.96,False,skos:related,EXCLUDE
"2,4,5-trichlorophenol",,"2,4,5-trichlorophenol",https://lod.nal.usda.gov/nalt/1349,0.95,True,skos:broader; skos:narrower,EXCLUDE
4-aminopyridine,,4-aminopyridine,https://lod.nal.usda.gov/nalt/1475,0.98,True,skos:broader; skos:narrower,EXCLUDE
acaricidal properties,,acaricidal properties,https://lod.nal.usda.gov/nalt/2070,0.98,False,skos:related,EXCLUDE
acibenzolar-S-methyl,,acibenzolar-S-methyl,https://lod.nal.usda.gov/nalt/213714,0.86,True,skos:broader; skos:narrower,EXCLUDE
adults,adult (human); adult animals,"adults (adult (human), adult animals)",https://lod.nal.usda.gov/nalt/790,0.99,False,skos:related,EXCLUDE
agricultural law,agricultural law and legislation; agricultural legislation; agricultural regulations,"agricultural law (agricultural law and legislation, agricultural legislation, agricultural regulations)",https://lod.nal.usda.gov/nalt/5382,0.99,False,skos:broader; skos:narrower,EXCLUDE
agricultural programs and projects,,agricultural programs and projects,https://lod.nal.usda.gov/nalt/5452,0.98,False,skos:broader; skos:narrower,EXCLUDE
agromedicine,agricultural medicine,agromedicine (agricultural medicine),https://lod.nal.usda.gov/nalt/5425,0.99,False,skos:related,EXCLUDE
