prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,0.74,False,skos:related,EXCLUDE
animal control services,,animal control services,https://lod.nal.usda.gov/nalt/127349,0.96,False,skos:related,EXCLUDE
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,0.99,False,skos:related,EXCLUDE
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,0.98,False,skos:related,EXCLUDE
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,0.92,False,skos:related,EXCLUDE
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,0.97,False,skos:related,EXCLUDE
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,0.99,False,skos:related,EXCLUDE
pesticide adjuvants,,pesticide adjuvants,https://lod.nal.usda.gov/nalt/4235,0.86,False,skos:related,EXCLUDE
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,0.95,False,skos:related,EXCLUDE
pesticide law,"Federal Insectide, Fungicide, and Rodenticide Act; Pesticide Registration Improvement Act of 2003; pesticide legislation","pesticide law (Federal Insectide, Fungicide, and Rodenticide Act, Pesticide Registration Improvement Act of 2003, pesticide legislation)",https://lod.nal.usda.gov/nalt/68867,0.99,False,skos:related,EXCLUDE
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,0.98,False,skos:related,EXCLUDE
poisoning of animal pests,,poisoning of animal pests,https://lod.nal.usda.gov/nalt/15548,0.96,True,skos:broader; skos:narrower,EXCLUDE
predator control,,predator control,https://lod.nal.usda.gov/nalt/57548,0.96,True,skos:broader; skos:narrower,EXCLUDE
thidiazuron,TDZ (thidiazuron),thidiazuron (TDZ (thidiazuron)),https://lod.nal.usda.gov/nalt/213696,0.95,True,skos:broader; skos:narrower,EXCLUDE
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,0.94,False,skos:broader; skos:narrower,EXCLUDE
"2,4,5-trichlorophenol",,"2,4,5-trichlorophenol",https://lod.nal.usda.gov/nalt/1349,0.97,True,skos:broader; skos:narrower,EXCLUDE
4-aminopyridine,,4-aminopyridine,https://lod.nal.usda.gov/nalt/1475,0.98,True,skos:broader; skos:narrower,EXCLUDE
acibenzolar-S-methyl,,acibenzolar-S-methyl,https://lod.nal.usda.gov/nalt/213714,0.84,True,skos:broader; skos:narrower,EXCLUDE
adults,adult (human); adult animals,"adults (adult (human), adult animals)",https://lod.nal.usda.gov/nalt/790,1.0,False,skos:related,EXCLUDE
aerosols,,aerosols,https://lod.nal.usda.gov/nalt/579,0.91,False,skos:related,EXCLUDE
agricultural programs and projects,,agricultural programs and projects,https://lod.nal.usda.gov/nalt/5452,0.98,False,skos:broader; skos:narrower,EXCLUDE
agromedicine,agricultural medicine,agromedicine (agricultural medicine),https://lod.nal.usda.gov/nalt/5425,0.99,False,skos:related,EXCLUDE
alpha-chlorohydrin,"3-MCPD; 3-monochloropropane-1,2-diol; a-chlorohydrin","alpha-chlorohydrin (3-MCPD, 3-monochloropropane-1,2-diol, a-chlorohydrin)",https://lod.nal.usda.gov/nalt/261000,0.98,False,skos:related,EXCLUDE
anthelmintics,antihelmintics; vermifuges,"anthelmintics (antihelmintics, vermifuges)",https://lod.nal.usda.gov/nalt/1577,0.88,False,skos:broader; skos:narrower,EXCLUDE
anti-infective agents,antiinfective agents; antimicrobial agents; antimicrobials,"anti-infective agents (antiinfective agents, antimicrobial agents, antimicrobials)",https://lod.nal.usda.gov/nalt/3054,0.93,False,skos:related,EXCLUDE
anti-infective properties,antiinfective activity; antiinfective properties,"anti-infective properties (antiinfective activity, antiinfective properties)",https://lod.nal.usda.gov/nalt/10142,0.99,False,skos:related,EXCLUDE
antifouling agents,antifoulants,antifouling agents (antifoulants),https://lod.nal.usda.gov/nalt/616,0.92,False,skos:related,EXCLUDE
antimicrobial proteins,,antimicrobial proteins,https://lod.nal.usda.gov/nalt/877,0.96,False,skos:related,EXCLUDE
arsenicals,arsenic compounds,arsenicals (arsenic compounds),https://lod.nal.usda.gov/nalt/261,0.9,False,skos:related,EXCLUDE
benazolin,,benazolin,https://lod.nal.usda.gov/nalt/16567,0.99,True,skos:broader; skos:narrower,EXCLUDE
biological control agents,biocontrol agents,biological control agents (biocontrol agents),https://lod.nal.usda.gov/nalt/14974,0.92,True,skos:related,EXCLUDE
