prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
pest control,,pest control,https://lod.nal.usda.gov/nalt/291,1.0,True,,INCLUDE
pesticides,,pesticides,https://lod.nal.usda.gov/nalt/287,1.0,True,,INCLUDE
acaricides,miticides,acaricides (miticides),https://lod.nal.usda.gov/nalt/817,,True,skos:broader; skos:narrower,
adulticides,,adulticides,https://lod.nal.usda.gov/nalt/818,,True,skos:broader; skos:narrower,
agrochemicals,agri-chemicals; agrichemicals; agricultural chemicals; farm chemicals,"agrochemicals (agri-chemicals, agrichemicals, agricultural chemicals, farm chemicals)",https://lod.nal.usda.gov/nalt/203,,False,skos:related,
algicides,algaecides,algicides (algaecides),https://lod.nal.usda.gov/nalt/819,,True,skos:broader; skos:narrower,
animal control services,,animal control services,https://lod.nal.usda.gov/nalt/127349,,False,skos:related,
aphidophagous predators,aphidophagy,aphidophagous predators (aphidophagy),https://lod.nal.usda.gov/nalt/284420,,False,skos:related,
avicides,,avicides,https://lod.nal.usda.gov/nalt/820,,True,skos:broader; skos:narrower,
biocides,biocidal agents; biocidal compounds; biocidal products; biocidal substances,"biocides (biocidal agents, biocidal compounds, biocidal products, biocidal substances)",https://lod.nal.usda.gov/nalt/148552,,False,skos:related,
biological pest control,biological control of pests,biological pest control (biological control of pests),https://lod.nal.usda.gov/nalt/136198,,True,skos:broader; skos:narrower,
biopesticides,bio-based pesticides; biobased pesticides; biofungicides; bioherbicides; bioinsecticides; biological insecticides; biological pesticides; biorational pesticides; environmentally friendly pesticides; environmentally-friendly pesticides,"biopesticides (bio-based pesticides, biobased pesticides, biofungicides, bioherbicides, bioinsecticides, biological insecticides, biological pesticides, biorational pesticides, environmentally friendly pesticides, environmentally-friendly pesticides)",https://lod.nal.usda.gov/nalt/17220,,True,skos:broader; skos:narrower,
bird control,,bird control,https://lod.nal.usda.gov/nalt/17592,,True,skos:broader; skos:narrower,
carbamate pesticides,,carbamate pesticides,https://lod.nal.usda.gov/nalt/812,,True,skos:broader; skos:narrower,
chemical control,chemical treatment (disease); chemical treatment (pest),"chemical control (chemical treatment (disease), chemical treatment (pest))",https://lod.nal.usda.gov/nalt/24625,,False,skos:related,
chemosterilants,,chemosterilants,https://lod.nal.usda.gov/nalt/216949,,True,skos:broader; skos:narrower,
disinfestation,,disinfestation,https://lod.nal.usda.gov/nalt/28786,,True,skos:broader; skos:narrower,
endocrine-disrupting chemicals,endocrine active chemicals; endocrine disrupters; endocrine disrupting chemicals; endocrine disruptors; endocrine-disrupting agents; endocrine-disrupting compounds,"endocrine-disrupting chemicals (endocrine active chemicals, endocrine disrupters, endocrine disrupting chemicals, endocrine disruptors, endocrine-disrupting agents, endocrine-disrupting compounds)",https://lod.nal.usda.gov/nalt/226,,False,skos:related,
foggers,cold foggers; fogging machines; thermal foggers,"foggers (cold foggers, fogging machines, thermal foggers)",https://lod.nal.usda.gov/nalt/284633,,False,skos:related,
fungicides,antifungal agents (pesticides); fungicidal agents (pesticides),"fungicides (antifungal agents (pesticides), fungicidal agents (pesticides))",https://lod.nal.usda.gov/nalt/821,,True,skos:broader; skos:narrower,
herbicides,weed killers,herbicides (weed killers),https://lod.nal.usda.gov/nalt/822,,True,skos:broader; skos:narrower,
impregnated fabrics,,impregnated fabrics,https://lod.nal.usda.gov/nalt/39308,,False,skos:related,
insect control,insect pest management,insect control (insect pest management),https://lod.nal.usda.gov/nalt/45983,,True,skos:broader; skos:narrower,
insecticides,,insecticides,https://lod.nal.usda.gov/nalt/823,,True,skos:broader; skos:narrower,
Interregional Research Project 4 (IR-4),IR-4 Project; IR-4 program,"Interregional Research Project 4 (IR-4) (IR-4 Project, IR-4 program)",https://lod.nal.usda.gov/nalt/223614,,False,skos:related,
larvicides,,larvicides,https://lod.nal.usda.gov/nalt/824,,True,skos:broader; skos:narrower,
metam-potassium,metham-potassium; potassium N-methyldithiocarbamate; potassium methyldithiocarbamate,"metam-potassium (metham-potassium, potassium N-methyldithiocarbamate, potassium methyldithiocarbamate)",https://lod.nal.usda.gov/nalt/98255,,True,skos:broader; skos:narrower,
mite control,,mite control,https://lod.nal.usda.gov/nalt/53148,,True,skos:broader; skos:narrower,
mollusc control,control of slugs; control of snails,"mollusc control (control of slugs, control of snails)",https://lod.nal.usda.gov/nalt/53264,,True,skos:broader; skos:narrower,
molluscicides,,molluscicides,https://lod.nal.usda.gov/nalt/825,,True,skos:broader; skos:narrower,
nematicides,anti-nematodal agents; antinematodal agents; antinematodals; filaricides,"nematicides (anti-nematodal agents, antinematodal agents, antinematodals, filaricides)",https://lod.nal.usda.gov/nalt/826,,True,skos:broader; skos:narrower,
nontarget organisms,nontarget species,nontarget organisms (nontarget species),https://lod.nal.usda.gov/nalt/34022,,False,skos:related,
organochlorine pesticides,organic chlorine pesticides,organochlorine pesticides (organic chlorine pesticides),https://lod.nal.usda.gov/nalt/813,,True,skos:broader; skos:narrower,
organophosphorus pesticides,organophosphate pesticides,organophosphorus pesticides (organophosphate pesticides),https://lod.nal.usda.gov/nalt/814,,True,skos:broader; skos:narrower,
organotin pesticides,,organotin pesticides,https://lod.nal.usda.gov/nalt/815,,True,skos:broader; skos:narrower,
ovicides,,ovicides,https://lod.nal.usda.gov/nalt/827,,True,skos:broader; skos:narrower,
pest control equipment,,pest control equipment,https://lod.nal.usda.gov/nalt/386,,False,skos:related,
pest control operators,pesticide applicators (human); pesticide workers,"pest control operators (pesticide applicators (human), pesticide workers)",https://lod.nal.usda.gov/nalt/55540,,False,skos:related,
pesticide adjuvants,,pesticide adjuvants,https://lod.nal.usda.gov/nalt/4235,,False,skos:related,
pesticide application equipment,,pesticide application equipment,https://lod.nal.usda.gov/nalt/142739,,False,skos:related,
pesticide formulations,insecticide formulations,pesticide formulations (insecticide formulations),https://lod.nal.usda.gov/nalt/4715,,True,skos:broader; skos:narrower,
pesticide industry,,pesticide industry,https://lod.nal.usda.gov/nalt/5351,,False,skos:related,
pesticide law,"Federal Insectide, Fungicide, and Rodenticide Act; Pesticide Registration Improvement Act of 2003; pesticide legislation","pesticide law (Federal Insectide, Fungicide, and Rodenticide Act, Pesticide Registration Improvement Act of 2003, pesticide legislation)",https://lod.nal.usda.gov/nalt/68867,,False,skos:related,
pesticide metabolites,,pesticide metabolites,https://lod.nal.usda.gov/nalt/324538,,False,skos:related,
pesticide safety and handling,,pesticide safety and handling,https://lod.nal.usda.gov/nalt/5593,,False,skos:related,
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,,False,skos:related,
plant-incorporated protectants,PIPs (plant incorporated protectants); plant incorporated protectants,"plant-incorporated protectants (PIPs (plant incorporated protectants), plant incorporated protectants)",https://lod.nal.usda.gov/nalt/68395,,False,skos:related,
poisoning of animal pests,,poisoning of animal pests,https://lod.nal.usda.gov/nalt/15548,,True,skos:broader; skos:narrower,
predator control,,predator control,https://lod.nal.usda.gov/nalt/57548,,True,skos:broader; skos:narrower,
rodent control,,rodent control,https://lod.nal.usda.gov/nalt/57549,,True,skos:broader; skos:narrower,
rodenticides,rat poisons,rodenticides (rat poisons),https://lod.nal.usda.gov/nalt/828,,True,skos:broader; skos:narrower,
silvicides,,silvicides,https://lod.nal.usda.gov/nalt/306575,,True,skos:broader; skos:narrower,
slow-release pesticides,slow-release insecticides,slow-release pesticides (slow-release insecticides),https://lod.nal.usda.gov/nalt/270491,,True,skos:broader; skos:narrower,
soil drenching,soil drench; soil drenches,"soil drenching (soil drench, soil drenches)",https://lod.nal.usda.gov/nalt/24628,,False,skos:related,
soil treatment,application to soil; soil application,"soil treatment (application to soil, soil application)",https://lod.nal.usda.gov/nalt/11343,,False,skos:related,
stored product protection,stored products pest control,stored product protection (stored products pest control),https://lod.nal.usda.gov/nalt/57550,,True,skos:broader; skos:narrower,
thidiazuron,TDZ (thidiazuron),thidiazuron (TDZ (thidiazuron)),https://lod.nal.usda.gov/nalt/213696,,True,skos:broader; skos:narrower,
tick control,,tick control,https://lod.nal.usda.gov/nalt/57551,,True,skos:broader; skos:narrower,
toxic substances,hazardous chemicals; hazardous compounds; hazardous substances; poisonous substances; toxic chemicals; toxic compounds; toxic exudates; toxicants,"toxic substances (hazardous chemicals, hazardous compounds, hazardous substances, poisonous substances, toxic chemicals, toxic compounds, toxic exudates, toxicants)",https://lod.nal.usda.gov/nalt/1780,,False,skos:broader; skos:narrower,
trap crops,,trap crops,https://lod.nal.usda.gov/nalt/30194,,False,skos:related,
vermin control,,vermin control,https://lod.nal.usda.gov/nalt/305662,,True,skos:broader; skos:narrower,
"1,3-dichloropropene",,"1,3-dichloropropene",https://lod.nal.usda.gov/nalt/1182,,True,skos:broader; skos:narrower,
"2,4,5-trichlorophenol",,"2,4,5-trichlorophenol",https://lod.nal.usda.gov/nalt/1349,,True,skos:broader; skos:narrower,
4-aminopyridine,,4-aminopyridine,https://lod.nal.usda.gov/nalt/1475,,True,skos:broader; skos:narrower,
acaricidal properties,,acaricidal properties,https://lod.nal.usda.gov/nalt/2070,,False,skos:related,
acaricide resistance,acaricide tolerance,acaricide resistance (acaricide tolerance),https://lod.nal.usda.gov/nalt/2077,,False,skos:related,
acibenzolar-S-methyl,,acibenzolar-S-methyl,https://lod.nal.usda.gov/nalt/213714,,True,skos:broader; skos:narrower,
acrolein,acraldehyde; acrylaldehyde; acrylic aldehyde; aqualin,"acrolein (acraldehyde, acrylaldehyde, acrylic aldehyde, aqualin)",https://lod.nal.usda.gov/nalt/3103,,True,skos:broader; skos:narrower,
adults,adult (human); adult animals,"adults (adult (human), adult animals)",https://lod.nal.usda.gov/nalt/790,,False,skos:related,
aerosols,,aerosols,https://lod.nal.usda.gov/nalt/579,,False,skos:related,
agricultural programs and projects,,agricultural programs and projects,https://lod.nal.usda.gov/nalt/5452,,False,skos:broader; skos:narrower,
agromedicine,agricultural medicine,agromedicine (agricultural medicine),https://lod.nal.usda.gov/nalt/5425,,False,skos:related,
aldicarb,,aldicarb,https://lod.nal.usda.gov/nalt/6194,,True,skos:broader; skos:narrower,
aldicarb sulfoxide,,aldicarb sulfoxide,https://lod.nal.usda.gov/nalt/213661,,True,skos:broader; skos:narrower,
aldoxycarb,aldicarb sulfone,aldoxycarb (aldicarb sulfone),https://lod.nal.usda.gov/nalt/6225,,True,skos:broader; skos:narrower,
algae control,,algae control,https://lod.nal.usda.gov/nalt/289,,False,skos:related,
alpha-chlorohydrin,"3-MCPD; 3-monochloropropane-1,2-diol; a-chlorohydrin","alpha-chlorohydrin (3-MCPD, 3-monochloropropane-1,2-diol, a-chlorohydrin)",https://lod.nal.usda.gov/nalt/261000,,False,skos:related,
amide fungicides,,amide fungicides,https://lod.nal.usda.gov/nalt/327885,,True,skos:broader; skos:narrower,
amide herbicides,,amide herbicides,https://lod.nal.usda.gov/nalt/7661,,True,skos:broader; skos:narrower,
