prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
botany,,botany,https://lod.nal.usda.gov/nalt/162,1.0,False,skos:related,EXCLUDE
crop biosecurity,,crop biosecurity,https://lod.nal.usda.gov/nalt/17518,0.95,False,skos:related,EXCLUDE
disease and pest management,,disease and pest management,https://lod.nal.usda.gov/nalt/284,0.97,False,skos:related,EXCLUDE
disease control,disease management; disease suppression; infection control; pathogen suppression,"disease control (disease management, disease suppression, infection control, pathogen suppression)",https://lod.nal.usda.gov/nalt/290,0.98,False,skos:related,EXCLUDE
disease models,,disease models,https://lod.nal.usda.gov/nalt/9121,0.98,False,skos:related,EXCLUDE
disease-free plants,disease free plants; germ free plants; germ-free plants; germfree plants; germfree state (plants); pathogen free plants; pathogen-free plants,"disease-free plants (disease free plants, germ free plants, germ-free plants, germfree plants, germfree state (plants), pathogen free plants, pathogen-free plants)",https://lod.nal.usda.gov/nalt/67893,0.93,False,skos:related,EXCLUDE
etiological agents,aetiological agents; disease-causing agents,"etiological agents (aetiological agents, disease-causing agents)",https://lod.nal.usda.gov/nalt/136950,0.99,False,skos:related,EXCLUDE
fungi,fungal organisms; macrofungi; microfungi,"fungi (fungal organisms, macrofungi, microfungi)",https://lod.nal.usda.gov/nalt/495,1.0,False,skos:related,EXCLUDE
hail nets,anti-hail nets; hailnets,"hail nets (anti-hail nets, hailnets)",https://lod.nal.usda.gov/nalt/253146,0.99,False,skos:related,EXCLUDE
herbicide safeners,herbicide antagonists; herbicide antidotes,"herbicide safeners (herbicide antagonists, herbicide antidotes)",https://lod.nal.usda.gov/nalt/123142,0.98,False,skos:related,EXCLUDE
infectious diseases and infestations,,infectious diseases and infestations,https://lod.nal.usda.gov/nalt/329,0.74,False,skos:related,EXCLUDE
leaf wetness,,leaf wetness,https://lod.nal.usda.gov/nalt/284231,0.95,False,skos:related,EXCLUDE
pest control,,pest control,https://lod.nal.usda.gov/nalt/291,0.99,False,skos:related,EXCLUDE
plant disease resistance,,plant disease resistance,https://lod.nal.usda.gov/nalt/142532,0.99,False,skos:related,EXCLUDE
plant parasitic nematodes,parasitic nematodes (plants); phytonematodes; phytoparasitic nematodes; phytopathogenic nematodes; plant nematodes,"plant parasitic nematodes (parasitic nematodes (plants), phytonematodes, phytoparasitic nematodes, phytopathogenic nematodes, plant nematodes)",https://lod.nal.usda.gov/nalt/8933,0.98,False,skos:related,EXCLUDE
plant pests,crop pests; pests of plants; phytophagous pests; tree pests,"plant pests (crop pests, pests of plants, phytophagous pests, tree pests)",https://lod.nal.usda.gov/nalt/17605,0.98,True,skos:related,EXCLUDE
plant viruses,,plant viruses,https://lod.nal.usda.gov/nalt/58572,0.99,True,skos:related,EXCLUDE
plant-incorporated protectants,PIPs (plant incorporated protectants); plant incorporated protectants,"plant-incorporated protectants (PIPs (plant incorporated protectants), plant incorporated protectants)",https://lod.nal.usda.gov/nalt/68395,0.99,False,skos:related,EXCLUDE
animal injuries,human injuries; wounds (animal); wounds (human),"animal injuries (human injuries, wounds (animal), wounds (human))",https://lod.nal.usda.gov/nalt/325,0.99,False,skos:related,EXCLUDE
