prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
plant diseases and disorders,plant diseases; plant disorders,"plant diseases and disorders (plant diseases, plant disorders)",https://lod.nal.usda.gov/nalt/15134,1.0,True,,INCLUDE
plant protection,crop protection; plant health protection,"plant protection (crop protection, plant health protection)",https://lod.nal.usda.gov/nalt/30154,1.0,True,,INCLUDE
bacterial diseases of plants,bacterial infections of plants; plant bacterial diseases,"bacterial diseases of plants (bacterial infections of plants, plant bacterial diseases)",https://lod.nal.usda.gov/nalt/15131,,True,skos:broader; skos:narrower,
black shank disease,,black shank disease,https://lod.nal.usda.gov/nalt/263011,,True,skos:broader; skos:narrower,
blast disease,rice blast; wheat blast,"blast disease (rice blast, wheat blast)",https://lod.nal.usda.gov/nalt/17904,,True,skos:broader; skos:narrower,
botany,,botany,https://lod.nal.usda.gov/nalt/162,,False,skos:related,
brown rot disease,,brown rot disease,https://lod.nal.usda.gov/nalt/316252,,True,skos:broader; skos:narrower,
crop biosecurity,,crop biosecurity,https://lod.nal.usda.gov/nalt/17518,,False,skos:related,
decline,decline disease; decline disorder,"decline (decline disease, decline disorder)",https://lod.nal.usda.gov/nalt/31919,,True,skos:broader; skos:narrower,
disease and pest management,,disease and pest management,https://lod.nal.usda.gov/nalt/284,,False,skos:related,
disease control,disease management; disease suppression; infection control; pathogen suppression,"disease control (disease management, disease suppression, infection control, pathogen suppression)",https://lod.nal.usda.gov/nalt/290,,False,skos:related,
disease models,,disease models,https://lod.nal.usda.gov/nalt/9121,,False,skos:related,
disease-free plants,disease free plants; germ free plants; germ-free plants; germfree plants; germfree state (plants); pathogen free plants; pathogen-free plants,"disease-free plants (disease free plants, germ free plants, germ-free plants, germfree plants, germfree state (plants), pathogen free plants, pathogen-free plants)",https://lod.nal.usda.gov/nalt/67893,,False,skos:related,
downy mildew,,downy mildew,https://lod.nal.usda.gov/nalt/34450,,True,skos:broader; skos:narrower,
etiological agents,aetiological agents; disease-causing agents,"etiological agents (aetiological agents, disease-causing agents)",https://lod.nal.usda.gov/nalt/136950,,False,skos:related,
foliar diseases,foliage diseases; leaf diseases,"foliar diseases (foliage diseases, leaf diseases)",https://lod.nal.usda.gov/nalt/40782,,True,skos:broader; skos:narrower,
forest health,,forest health,https://lod.nal.usda.gov/nalt/41128,,True,skos:related,
fruit cracking,fruit cracks,fruit cracking (fruit cracks),https://lod.nal.usda.gov/nalt/67851,,True,skos:broader; skos:narrower,
fruit diseases,,fruit diseases,https://lod.nal.usda.gov/nalt/17678,,True,skos:broader; skos:narrower,
fungal diseases of plants,fungus diseases of plants,fungal diseases of plants (fungus diseases of plants),https://lod.nal.usda.gov/nalt/10053,,True,skos:broader; skos:narrower,
fungi,fungal organisms; macrofungi; microfungi,"fungi (fungal organisms, macrofungi, microfungi)",https://lod.nal.usda.gov/nalt/495,,False,skos:related,
greening disease,citrus greening disease; citrus greening infection; huanglongbing; huanglongbing disease; yellow dragon disease,"greening disease (citrus greening disease, citrus greening infection, huanglongbing, huanglongbing disease, yellow dragon disease)",https://lod.nal.usda.gov/nalt/21818,,True,skos:broader; skos:narrower,
gummosis,,gummosis,https://lod.nal.usda.gov/nalt/44114,,True,skos:broader; skos:narrower,
hail nets,anti-hail nets; hailnets,"hail nets (anti-hail nets, hailnets)",https://lod.nal.usda.gov/nalt/253146,,False,skos:related,
herbicide safeners,herbicide antagonists; herbicide antidotes,"herbicide safeners (herbicide antagonists, herbicide antidotes)",https://lod.nal.usda.gov/nalt/123142,,False,skos:related,
hollow heart,,hollow heart,https://lod.nal.usda.gov/nalt/226534,,True,skos:broader; skos:narrower,
hyperhydricity,hyperhydration (plant disorder),hyperhydricity (hyperhydration (plant disorder)),https://lod.nal.usda.gov/nalt/46558,,True,skos:broader; skos:narrower,
infectious diseases,communicable diseases,infectious diseases (communicable diseases),https://lod.nal.usda.gov/nalt/15154,,False,skos:related,
infectious diseases and infestations,,infectious diseases and infestations,https://lod.nal.usda.gov/nalt/329,,False,skos:related,
leaf wetness,,leaf wetness,https://lod.nal.usda.gov/nalt/284231,,False,skos:related,
maize wallaby ear disease,maize wallaby ear symptom,maize wallaby ear disease (maize wallaby ear symptom),https://lod.nal.usda.gov/nalt/278068,,True,skos:broader; skos:narrower,
noninfectious diseases,noncommunicable diseases,noninfectious diseases (noncommunicable diseases),https://lod.nal.usda.gov/nalt/330,,False,skos:related,
pest control,,pest control,https://lod.nal.usda.gov/nalt/291,,False,skos:related,
phyllody,,phyllody,https://lod.nal.usda.gov/nalt/306883,,True,skos:broader; skos:narrower,
plant damage,fruit damage; plant injuries; plant injury; wounds (plant),"plant damage (fruit damage, plant injuries, plant injury, wounds (plant))",https://lod.nal.usda.gov/nalt/1735,,True,skos:related,
plant disease resistance,,plant disease resistance,https://lod.nal.usda.gov/nalt/142532,,False,skos:related,
plant parasitic nematodes,parasitic nematodes (plants); phytonematodes; phytoparasitic nematodes; phytopathogenic nematodes; plant nematodes,"plant parasitic nematodes (parasitic nematodes (plants), phytonematodes, phytoparasitic nematodes, phytopathogenic nematodes, plant nematodes)",https://lod.nal.usda.gov/nalt/8933,,False,skos:related,
plant pests,crop pests; pests of plants; phytophagous pests; tree pests,"plant pests (crop pests, pests of plants, phytophagous pests, tree pests)",https://lod.nal.usda.gov/nalt/17605,,True,skos:related,
plant rots,,plant rots,https://lod.nal.usda.gov/nalt/30265,,True,skos:broader; skos:narrower,
plant viruses,,plant viruses,https://lod.nal.usda.gov/nalt/58572,,True,skos:related,
plant-incorporated protectants,PIPs (plant incorporated protectants); plant incorporated protectants,"plant-incorporated protectants (PIPs (plant incorporated protectants), plant incorporated protectants)",https://lod.nal.usda.gov/nalt/68395,,False,skos:related,
postharvest diseases,postharvest decay; storage decay,"postharvest diseases (postharvest decay, storage decay)",https://lod.nal.usda.gov/nalt/31900,,True,skos:broader; skos:narrower,
replant disease,specific replant disease,replant disease (specific replant disease),https://lod.nal.usda.gov/nalt/58565,,True,skos:broader; skos:narrower,
root diseases,,root diseases,https://lod.nal.usda.gov/nalt/58566,,True,skos:broader; skos:narrower,
rose rosette disease,,rose rosette disease,https://lod.nal.usda.gov/nalt/58567,,True,skos:broader; skos:narrower,
scab diseases,orange scab,scab diseases (orange scab),https://lod.nal.usda.gov/nalt/41933,,True,skos:broader; skos:narrower,
scald diseases,leaf scald diseases; sun scald; sunburn (plants); sunscald,"scald diseases (leaf scald diseases, sun scald, sunburn (plants), sunscald)",https://lod.nal.usda.gov/nalt/58568,,True,skos:broader; skos:narrower,
