prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
direct push technology,,direct push technology,https://lod.nal.usda.gov/nalt/216922,0.98,False,skos:related,EXCLUDE
geophytes,,geophytes,https://lod.nal.usda.gov/nalt/217420,0.99,False,skos:related,EXCLUDE
air,,air,https://lod.nal.usda.gov/nalt/5822,0.99,False,skos:related,EXCLUDE
capillary fringe,,capillary fringe,https://lod.nal.usda.gov/nalt/21979,0.92,False,skos:related,EXCLUDE
erodibility,,erodibility,https://lod.nal.usda.gov/nalt/37925,0.89,True,skos:broader; skos:narrower,EXCLUDE
necromass,,necromass,https://lod.nal.usda.gov/nalt/276029,0.97,False,skos:related,EXCLUDE
permafrost,permafrost areas,permafrost (permafrost areas),https://lod.nal.usda.gov/nalt/27783,0.96,True,skos:broader; skos:narrower,EXCLUDE
phytodesalination,phyto-desalination,phytodesalination (phyto-desalination),https://lod.nal.usda.gov/nalt/235923,0.97,False,skos:related,EXCLUDE
plant litter,leaf litter; litterfall,"plant litter (leaf litter, litterfall)",https://lod.nal.usda.gov/nalt/41163,0.95,True,skos:broader; skos:narrower,EXCLUDE
plant-water relations,plant water relations; water-plant relations,"plant-water relations (plant water relations, water-plant relations)",https://lod.nal.usda.gov/nalt/34627,0.98,False,skos:related,EXCLUDE
sodium adsorption ratio,,sodium adsorption ratio,https://lod.nal.usda.gov/nalt/333471,0.92,False,skos:related,EXCLUDE
water,,water,https://lod.nal.usda.gov/nalt/6435,0.99,False,skos:broader; skos:narrower,EXCLUDE
wheel tracks,tramlines (controlled traffic),wheel tracks (tramlines (controlled traffic)),https://lod.nal.usda.gov/nalt/1012,0.95,True,skos:broader; skos:narrower,EXCLUDE
age,age differences,age (age differences),https://lod.nal.usda.gov/nalt/110,0.96,False,skos:related,EXCLUDE
age determination,,age determination,https://lod.nal.usda.gov/nalt/5066,0.95,False,skos:related,EXCLUDE
bioturbation,,bioturbation,https://lod.nal.usda.gov/nalt/957,0.86,True,skos:related,EXCLUDE
climate,macroclimate,climate (macroclimate),https://lod.nal.usda.gov/nalt/76121,0.99,False,skos:related,EXCLUDE
corn soils,maize soils,corn soils (maize soils),https://lod.nal.usda.gov/nalt/29188,0.95,True,skos:broader; skos:narrower,EXCLUDE
diagenesis,,diagenesis,https://lod.nal.usda.gov/nalt/324774,0.94,True,skos:broader; skos:narrower,EXCLUDE
