prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
soil,,soil,https://lod.nal.usda.gov/nalt/63334,1.0,True,,INCLUDE
soil air,soil atmosphere; soil gases,"soil air (soil atmosphere, soil gases)",https://lod.nal.usda.gov/nalt/5823,0.99,True,skos:broader; skos:narrower,INCLUDE
soil morphological features,,soil morphological features,https://lod.nal.usda.gov/nalt/26939,0.98,True,skos:broader; skos:narrower,INCLUDE
soil properties,,soil properties,https://lod.nal.usda.gov/nalt/5084,0.99,True,skos:broader; skos:narrower,INCLUDE
soil types,,soil types,https://lod.nal.usda.gov/nalt/10094,0.99,True,skos:broader; skos:narrower,INCLUDE
soil water,soil moisture,soil water (soil moisture),https://lod.nal.usda.gov/nalt/21983,0.99,True,skos:broader; skos:narrower,INCLUDE
age of soil,soil age,age of soil (soil age),https://lod.nal.usda.gov/nalt/5081,0.98,True,skos:broader; skos:narrower,INCLUDE
anthropogenic soil types,,anthropogenic soil types,https://lod.nal.usda.gov/nalt/10092,0.99,True,skos:broader; skos:narrower,INCLUDE
capillary fringe,,capillary fringe,https://lod.nal.usda.gov/nalt/21979,0.92,False,skos:related,INCLUDE
chemical soil types,,chemical soil types,https://lod.nal.usda.gov/nalt/2734,0.97,True,skos:broader; skos:narrower,INCLUDE
climatic soil types,,climatic soil types,https://lod.nal.usda.gov/nalt/12168,0.97,True,skos:broader; skos:narrower,INCLUDE
cultural soil types,,cultural soil types,https://lod.nal.usda.gov/nalt/5473,0.96,True,skos:broader; skos:narrower,INCLUDE
earthworm burrows,earthworm channels,earthworm burrows (earthworm channels),https://lod.nal.usda.gov/nalt/35127,0.89,True,skos:broader; skos:narrower,INCLUDE
ecological soil types,,ecological soil types,https://lod.nal.usda.gov/nalt/7016,0.97,True,skos:broader; skos:narrower,INCLUDE
edaphic factors,soil environment,edaphic factors (soil environment),https://lod.nal.usda.gov/nalt/35823,0.95,True,skos:related,INCLUDE
erodibility,,erodibility,https://lod.nal.usda.gov/nalt/37925,0.9,True,skos:broader; skos:narrower,INCLUDE
genetic soil types,,genetic soil types,https://lod.nal.usda.gov/nalt/6337,0.98,True,skos:broader; skos:narrower,INCLUDE
lithological soil types,,lithological soil types,https://lod.nal.usda.gov/nalt/6754,0.98,True,skos:broader; skos:narrower,INCLUDE
mineralogical soil types,,mineralogical soil types,https://lod.nal.usda.gov/nalt/6710,0.98,True,skos:broader; skos:narrower,INCLUDE
ortsteins,,ortsteins,https://lod.nal.usda.gov/nalt/306961,0.95,True,skos:broader; skos:narrower,INCLUDE
paleosolic soil types,palaeosolic soil types; palaeosols,"paleosolic soil types (palaeosolic soil types, palaeosols)",https://lod.nal.usda.gov/nalt/20443,0.97,True,skos:broader; skos:narrower,INCLUDE
pedodiversity,soil diversity,pedodiversity (soil diversity),https://lod.nal.usda.gov/nalt/314998,0.99,True,skos:related,INCLUDE
physiographic soil types,,physiographic soil types,https://lod.nal.usda.gov/nalt/16123,0.97,True,skos:broader; skos:narrower,INCLUDE
plant available water,soil water availability,plant available water (soil water availability),https://lod.nal.usda.gov/nalt/14083,0.99,True,skos:broader; skos:narrower,INCLUDE
root channels,,root channels,https://lod.nal.usda.gov/nalt/61634,0.86,True,skos:broader; skos:narrower,INCLUDE
soil biological properties,biochemical properties of soil; biological properties of soil; soil biochemical properties; soil microbiological properties,"soil biological properties (biochemical properties of soil, biological properties of soil, soil biochemical properties, soil microbiological properties)",https://lod.nal.usda.gov/nalt/63353,0.99,True,skos:broader; skos:narrower,INCLUDE
soil chemical properties,chemical properties of soil,soil chemical properties (chemical properties of soil),https://lod.nal.usda.gov/nalt/9595,0.99,True,skos:broader; skos:narrower,INCLUDE
soil color,soil colour,soil color (soil colour),https://lod.nal.usda.gov/nalt/63360,0.99,True,skos:broader; skos:narrower,INCLUDE
soil concretions,,soil concretions,https://lod.nal.usda.gov/nalt/307017,0.95,True,skos:broader; skos:narrower,INCLUDE
soil cracks,,soil cracks,https://lod.nal.usda.gov/nalt/29788,0.96,True,skos:broader; skos:narrower,INCLUDE
soil crusts,,soil crusts,https://lod.nal.usda.gov/nalt/63371,0.96,True,skos:broader; skos:narrower,INCLUDE
soil depth,soil thickness,soil depth (soil thickness),https://lod.nal.usda.gov/nalt/63373,0.93,True,skos:broader; skos:narrower,INCLUDE
soil fabric,,soil fabric,https://lod.nal.usda.gov/nalt/63378,0.98,True,skos:broader; skos:narrower,INCLUDE
soil formation,pedogenesis; pedogenetic evolution; pedogenetic processes; pedogenic evolution; pedogenic processes; soil evolution; soil genesis,"soil formation (pedogenesis, pedogenetic evolution, pedogenetic processes, pedogenic evolution, pedogenic processes, soil evolution, soil genesis)",https://lod.nal.usda.gov/nalt/959,0.97,True,skos:related,INCLUDE
soil heterogeneity,soil variability,soil heterogeneity (soil variability),https://lod.nal.usda.gov/nalt/63388,0.91,True,skos:broader; skos:narrower,INCLUDE
soil horizons,,soil horizons,https://lod.nal.usda.gov/nalt/1558,0.99,True,skos:broader; skos:narrower,INCLUDE
soil mechanical properties,engineering properties of soil,soil mechanical properties (engineering properties of soil),https://lod.nal.usda.gov/nalt/29789,0.98,True,skos:broader; skos:narrower,INCLUDE
soil morphology,,soil morphology,https://lod.nal.usda.gov/nalt/63408,0.99,True,skos:broader; skos:narrower,INCLUDE
soil mottles,,soil mottles,https://lod.nal.usda.gov/nalt/53536,0.99,True,skos:broader; skos:narrower,INCLUDE
soil pans,,soil pans,https://lod.nal.usda.gov/nalt/41386,0.98,True,skos:broader; skos:narrower,INCLUDE
soil physical properties,physical characteristics of soil; physical properties of soil; physical soil features; soil physical conditions,"soil physical properties (physical characteristics of soil, physical properties of soil, physical soil features, soil physical conditions)",https://lod.nal.usda.gov/nalt/5142,0.99,True,skos:broader; skos:narrower,INCLUDE
soil pore system,soil pores,soil pore system (soil pores),https://lod.nal.usda.gov/nalt/51081,0.99,True,skos:related,INCLUDE
soil pore water,,soil pore water,https://lod.nal.usda.gov/nalt/63433,0.98,True,skos:broader; skos:narrower,INCLUDE
soil profiles,,soil profiles,https://lod.nal.usda.gov/nalt/63413,0.98,True,skos:broader; skos:narrower,INCLUDE
soil solution,,soil solution,https://lod.nal.usda.gov/nalt/63358,0.97,True,skos:related,INCLUDE
soil structural units,,soil structural units,https://lod.nal.usda.gov/nalt/306891,0.99,True,skos:broader; skos:narrower,INCLUDE
soil structure,,soil structure,https://lod.nal.usda.gov/nalt/63417,0.99,True,skos:related,INCLUDE
soil suitability,,soil suitability,https://lod.nal.usda.gov/nalt/63434,0.74,True,skos:broader; skos:narrower,INCLUDE
soil surface layers,,soil surface layers,https://lod.nal.usda.gov/nalt/63416,0.95,True,skos:broader; skos:narrower,INCLUDE
soil voids,,soil voids,https://lod.nal.usda.gov/nalt/63409,0.98,True,skos:broader; skos:narrower,INCLUDE
soil water balance,field water balance; soil water budget,"soil water balance (field water balance, soil water budget)",https://lod.nal.usda.gov/nalt/40115,0.95,True,skos:related,INCLUDE
soil water potential,,soil water potential,https://lod.nal.usda.gov/nalt/63393,0.99,True,skos:related,INCLUDE
soil water regimes,soil moisture regimes,soil water regimes (soil moisture regimes),https://lod.nal.usda.gov/nalt/11565,0.99,True,skos:related,INCLUDE
stratigraphic soil types,,stratigraphic soil types,https://lod.nal.usda.gov/nalt/45699,0.93,True,skos:broader; skos:narrower,INCLUDE
structural soil types,,structural soil types,https://lod.nal.usda.gov/nalt/26757,0.96,True,skos:broader; skos:narrower,INCLUDE
subsoil,sub-soil,subsoil (sub-soil),https://lod.nal.usda.gov/nalt/63414,0.97,True,skos:broader; skos:narrower,INCLUDE
subsurface soil layers,soil sub-surface layers; soil subsurface layers; sub-surface soil layers,"subsurface soil layers (soil sub-surface layers, soil subsurface layers, sub-surface soil layers)",https://lod.nal.usda.gov/nalt/63415,0.99,True,skos:broader; skos:narrower,INCLUDE
textural soil types,,textural soil types,https://lod.nal.usda.gov/nalt/26742,0.97,True,skos:broader; skos:narrower,INCLUDE
topsoil,top soil; top-soil,"topsoil (top soil, top-soil)",https://lod.nal.usda.gov/nalt/1559,0.99,True,skos:broader; skos:narrower,INCLUDE
topsoil water,topsoil moisture; topsoil wetness,"topsoil water (topsoil moisture, topsoil wetness)",https://lod.nal.usda.gov/nalt/313626,0.96,True,skos:broader; skos:narrower,INCLUDE
volumetric water content,volumetric soil water content,volumetric water content (volumetric soil water content),https://lod.nal.usda.gov/nalt/325180,0.92,True,skos:related,INCLUDE
worm casts,earthworm casts,worm casts (earthworm casts),https://lod.nal.usda.gov/nalt/35131,0.95,True,skos:broader; skos:narrower,INCLUDE
A horizons,A-horizons,A horizons (A-horizons),https://lod.nal.usda.gov/nalt/1556,0.99,True,skos:related,INCLUDE
acid soils,acidic soils,acid soils (acidic soils),https://lod.nal.usda.gov/nalt/2732,0.99,True,skos:broader; skos:narrower,INCLUDE
acid sulfate soils,acid sulphate soils,acid sulfate soils (acid sulphate soils),https://lod.nal.usda.gov/nalt/2737,0.99,True,skos:broader; skos:narrower,INCLUDE
aggregate stability,,aggregate stability,https://lod.nal.usda.gov/nalt/5141,0.98,True,skos:broader; skos:narrower,INCLUDE
agricultural soils,farmland soil,agricultural soils (farmland soil),https://lod.nal.usda.gov/nalt/5472,0.92,True,skos:broader; skos:narrower,INCLUDE
alkaline soils,,alkaline soils,https://lod.nal.usda.gov/nalt/6431,0.99,True,skos:broader; skos:narrower,INCLUDE
allophanic soils,,allophanic soils,https://lod.nal.usda.gov/nalt/6709,0.97,True,skos:broader; skos:narrower,INCLUDE
alluvial soils,flood plain soils; floodplain soils,"alluvial soils (flood plain soils, floodplain soils)",https://lod.nal.usda.gov/nalt/6753,0.99,True,skos:broader; skos:narrower,INCLUDE
anion exchange capacity,,anion exchange capacity,https://lod.nal.usda.gov/nalt/9594,0.95,True,skos:broader; skos:narrower,INCLUDE
anthropogenic horizons,,anthropogenic horizons,https://lod.nal.usda.gov/nalt/300735,0.98,True,skos:broader; skos:narrower,INCLUDE
aquic regimes,,aquic regimes,https://lod.nal.usda.gov/nalt/11440,0.9,True,skos:broader; skos:narrower,INCLUDE
arable soils,arable land,arable soils (arable land),https://lod.nal.usda.gov/nalt/11657,0.9,True,skos:broader; skos:narrower,INCLUDE
argillic horizons,,argillic horizons,https://lod.nal.usda.gov/nalt/12103,0.99,True,skos:broader; skos:narrower,INCLUDE
argilluvic soils,,argilluvic soils,https://lod.nal.usda.gov/nalt/300755,0.97,True,skos:broader; skos:narrower,INCLUDE
arid soils,,arid soils,https://lod.nal.usda.gov/nalt/12167,0.99,True,skos:broader; skos:narrower,INCLUDE
aridic regimes,torric regimes,aridic regimes (torric regimes),https://lod.nal.usda.gov/nalt/12171,0.95,True,skos:broader; skos:narrower,INCLUDE
available water capacity,,available water capacity,https://lod.nal.usda.gov/nalt/14081,0.98,True,skos:related,INCLUDE
B horizons,B-horizons,B horizons (B-horizons),https://lod.nal.usda.gov/nalt/14413,0.99,True,skos:broader; skos:narrower,INCLUDE
basaltic soils,,basaltic soils,https://lod.nal.usda.gov/nalt/15965,0.98,True,skos:broader; skos:narrower,INCLUDE
base saturation,,base saturation,https://lod.nal.usda.gov/nalt/15975,0.98,True,skos:broader; skos:narrower,INCLUDE
beach soils,,beach soils,https://lod.nal.usda.gov/nalt/16122,0.97,True,skos:broader; skos:narrower,INCLUDE
biological soil crusts,biocrusts; soil biological crusts,"biological soil crusts (biocrusts, soil biological crusts)",https://lod.nal.usda.gov/nalt/300823,0.99,True,skos:broader; skos:narrower,INCLUDE
bioturbation,,bioturbation,https://lod.nal.usda.gov/nalt/957,0.84,True,skos:related,INCLUDE
bog soils,,bog soils,https://lod.nal.usda.gov/nalt/18400,0.97,True,skos:broader; skos:narrower,INCLUDE
bottomland soils,,bottomland soils,https://lod.nal.usda.gov/nalt/18873,0.97,True,skos:broader; skos:narrower,INCLUDE
buffering capacity,buffer capacity,buffering capacity (buffer capacity),https://lod.nal.usda.gov/nalt/20312,0.95,False,skos:related,INCLUDE
buried soils,,buried soils,https://lod.nal.usda.gov/nalt/20442,0.98,True,skos:broader; skos:narrower,INCLUDE
burnt soils,,burnt soils,https://lod.nal.usda.gov/nalt/20534,0.96,True,skos:broader; skos:narrower,INCLUDE
C horizons,C-horizons,C horizons (C-horizons),https://lod.nal.usda.gov/nalt/20702,0.99,True,skos:broader; skos:narrower,INCLUDE
calcareous soils,,calcareous soils,https://lod.nal.usda.gov/nalt/21069,0.98,True,skos:broader; skos:narrower,INCLUDE
capillarity,capillary action; capillary rise,"capillarity (capillary action, capillary rise)",https://lod.nal.usda.gov/nalt/21976,0.96,False,skos:related,INCLUDE
cation exchange capacity,,cation exchange capacity,https://lod.nal.usda.gov/nalt/23045,0.98,True,skos:broader; skos:narrower,INCLUDE
