prefLabel,altLabels,displayName,uri,confidence,in_hierarchy_gold,relations,classification
direct push technology,,direct push technology,https://lod.nal.usda.gov/nalt/216922,0.99,False,skos:related,EXCLUDE
geophytes,,geophytes,https://lod.nal.usda.gov/nalt/217420,0.96,False,skos:related,EXCLUDE
air,,air,https://lod.nal.usda.gov/nalt/5822,0.98,False,skos:related,EXCLUDE
necromass,,necromass,https://lod.nal.usda.gov/nalt/276029,0.93,False,skos:related,EXCLUDE
permafrost,permafrost areas,permafrost (permafrost areas),https://lod.nal.usda.gov/nalt/27783,0.92,True,skos:broader; skos:narrower,EXCLUDE
phytodesalination,phyto-desalination,phytodesalination (phyto-desalination),https://lod.nal.usda.gov/nalt/235923,0.98,False,skos:related,EXCLUDE
plant litter,leaf litter; litterfall,"plant litter (leaf litter, litterfall)",https://lod.nal.usda.gov/nalt/41163,0.94,True,skos:broader; skos:narrower,EXCLUDE
plant-water relations,plant water relations; water-plant relations,"plant-water relations (plant water relations, water-plant relations)",https://lod.nal.usda.gov/nalt/34627,0.95,False,skos:related,EXCLUDE
sodium adsorption ratio,,sodium adsorption ratio,https://lod.nal.usda.gov/nalt/333471,0.97,False,skos:related,EXCLUDE
soil fatty acids,,soil fatty acids,https://lod.nal.usda.gov/nalt/6796345,0.96,True,skos:broader; skos:narrower,EXCLUDE
water,,water,https://lod.nal.usda.gov/nalt/6435,0.98,False,skos:broader; skos:narrower,EXCLUDE
wheel tracks,tramlines (controlled traffic),wheel tracks (tramlines (controlled traffic)),https://lod.nal.usda.gov/nalt/1012,0.93,True,skos:broader; skos:narrower,EXCLUDE
age,age differences,age (age differences),https://lod.nal.usda.gov/nalt/110,0.98,False,skos:related,EXCLUDE
age determination,,age determination,https://lod.nal.usda.gov/nalt/5066,0.98,False,skos:related,EXCLUDE
climate,macroclimate,climate (macroclimate),https://lod.nal.usda.gov/nalt/76121,0.95,False,skos:related,EXCLUDE
corn soils,maize soils,corn soils (maize soils),https://lod.nal.usda.gov/nalt/29188,0.97,True,skos:broader; skos:narrower,EXCLUDE
diagenesis,,diagenesis,https://lod.nal.usda.gov/nalt/324774,0.98,True,skos:broader; skos:narrower,EXCLUDE
drained conditions,,drained conditions,https://lod.nal.usda.gov/nalt/34495,0.96,True,skos:broader; skos:narrower,EXCLUDE
dry environmental conditions,arid conditions; arid environments; aridity; dry environment; dry environments; xeric conditions; xeric environment; xeric environments; xeric habitats,"dry environmental conditions (arid conditions, arid environments, aridity, dry environment, dry environments, xeric conditions, xeric environment, xeric environments, xeric habitats)",https://lod.nal.usda.gov/nalt/12165,0.97,False,skos:related,EXCLUDE
earthworms,,earthworms,https://lod.nal.usda.gov/nalt/35126,0.96,True,skos:related,EXCLUDE
environmental factors,abiotic factors; ecofactors; ecological factors; environment factors; environmental conditions; environmental filters; environmental variables,"environmental factors (abiotic factors, ecofactors, ecological factors, environment factors, environmental conditions, environmental filters, environmental variables)",https://lod.nal.usda.gov/nalt/4631,0.93,False,skos:broader; skos:narrower,EXCLUDE
