from,starting label,QID,label,depth,target
Q160236,Metropolitan Museum of Art,Q75581245,Zénaïde Eugénie Bonaparte,5,0
Q1634926,Hugo Cassirer,Q17355822,Yonker Ramp and his Sweetheart,5,0
Q214867,National Gallery of Art,Q17355822,Yonker Ramp and his Sweetheart,5,0
Q1634926,Hugo Cassirer,Q36180,writer,3,0
Q867510,Cypresses,Q36180,writer,4,0
Q104530765,Hugo Nathan,Q36180,writer,5,0
Q21948567,Sunflowers,Q36180,writer,2,0
Q17277888,Gottlieb Friedrich Reber,Q36180,writer,4,0
Q29441758,Margarete Mauthner,Q36180,writer,5,0
Q11770767,Still life with coffee pot  dishes and fruit,Q36180,writer,2,0
Q74128,Alfred Flechtheim,Q36180,writer,3,0
Q17277888,Gottlieb Friedrich Reber,Q20275618,A Peasant Woman Digging in Front of Her Cottage,5,1
Q1634926,Hugo Cassirer,Q75758411,William A. M. Burden I,3,1
Q160236,Metropolitan Museum of Art,Q20275618,A Peasant Woman Digging in Front of Her Cottage,5,1
Q74128,Alfred Flechtheim,Q20275618,A Peasant Woman Digging in Front of Her Cottage,5,1
Q666331,Foundation E.G. Bührle Collection,Q98801351,WikiProject Provenance,3,1
Q69860245,Mór Lipót Herzog,Q98801351,WikiProject Provenance,1,1
Q324935,Ferenc Hatvany,Q98801351,WikiProject Provenance,3,1
Q55680361,Oskar Reichel,Q98801351,WikiProject Provenance,5,1
Q214867,National Gallery of Art,Q98801351,WikiProject Provenance,3,1
Q74128,Alfred Flechtheim,Q103505599,WikiProject PCC Wikidata Pilot/Smithsonian Libraries Dibner Library portraits,5,0
Q17277888,Gottlieb Friedrich Reber,Q20267520,Abraham's Sacrifice of Isaac,5,0
Q74128,Alfred Flechtheim,Q20267520,Abraham's Sacrifice of Isaac,5,0
Q867510,Cypresses,Q47309996,Adolf Wuester,4,1
Q104530765,Hugo Nathan,Q47309996,Adolf Wuester,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q14942930,WikiProject Painting,5,1
Q160236,Metropolitan Museum of Art,Q47309996,Adolf Wuester,4,1
Q160236,Metropolitan Museum of Art,Q110322027,WikiProject Local Community,3,0
Q1201549,Detroit Institute of Arts,Q110322027,WikiProject Local Community,3,0
Q1634926,Hugo Cassirer,Q68074438,WikiProject Livius,5,0
Q867510,Cypresses,Q68074438,WikiProject Livius,4,0
Q104530765,Hugo Nathan,Q68074438,WikiProject Livius,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q68074438,WikiProject Livius,2,0
Q160236,Metropolitan Museum of Art,Q68074438,WikiProject Livius,1,0
Q214867,National Gallery of Art,Q68074438,WikiProject Livius,5,0
Q74128,Alfred Flechtheim,Q68074438,WikiProject Livius,3,0
Q657415,Cleveland Museum of Art,Q68074438,WikiProject Livius,1,0
Q74128,Alfred Flechtheim,Q13382529,WikiProject about human rights,2,0
Q160236,Metropolitan Museum of Art,Q87748614,WikiProject COVID-19,3,0
Q17277888,Gottlieb Friedrich Reber,Q109496377,WikiProject Applied arts,5,0
Q160236,Metropolitan Museum of Art,Q109496377,WikiProject Applied arts,2,0
Q160236,Metropolitan Museum of Art,Q64214265,Wiki Loves Pride Art & Artists,5,0
Q867510,Cypresses,Q18745022,Alec N. Wildenstein,4,1
Q104530765,Hugo Nathan,Q18745022,Alec N. Wildenstein,3,1
Q26221201,Two Diggers among Trees,Q18745022,Alec N. Wildenstein,4,1
Q1634926,Hugo Cassirer,Q19924921,Alexander Hamilton,5,0
Q160236,Metropolitan Museum of Art,Q24575431,Alexander II,5,0
Q214867,National Gallery of Art,Q317578,"Alexander Karađorđević, Prince of Serbia",5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q7933396,Violin and Grapes,2,1
Q17277888,Gottlieb Friedrich Reber,Q7933396,Violin and Grapes,3,1
Q55680361,Oskar Reichel,Q19681547,"View of Pirna, from Sonnestein Castle",3,1
Q11770767,Still life with coffee pot  dishes and fruit,Q104599828,"Verbrannt, verboten, vergessen",3,1
Q867510,Cypresses,Q120993,Amedeo Modigliani,5,1
Q55680361,Oskar Reichel,Q26221176,Two Poplars in the Alpilles near Saint-Rémy,5,1
Q21948567,Sunflowers,Q333634,translator,2,0
Q214867,National Gallery of Art,Q333634,translator,5,0
Q17277888,Gottlieb Friedrich Reber,Q1234713,theologian,4,0
Q160236,Metropolitan Museum of Art,Q19429021,Theodor Fischer,5,1
Q160236,Metropolitan Museum of Art,Q27980299,Apollo and Daphne,5,0
Q867510,Cypresses,Q87842429,"Apple, Pear and Orange",4,1
Q104530765,Hugo Nathan,Q87842429,"Apple, Pear and Orange",5,1
Q867510,Cypresses,Q19912997,Barges at Pontoise,4,1
Q17277888,Gottlieb Friedrich Reber,Q19912997,Barges at Pontoise,3,1
Q74128,Alfred Flechtheim,Q20267585,The Rape of Europa,5,1
Q1634926,Hugo Cassirer,Q20167246,The Potato Peeler,5,1
Q156426,Alexej von Jawlensky,Q3181656,The Nuttall Encyclopædia,3,0
Q1634926,Hugo Cassirer,Q3181656,The Nuttall Encyclopædia,5,0
Q104530765,Hugo Nathan,Q3181656,The Nuttall Encyclopædia,5,0
Q17277888,Gottlieb Friedrich Reber,Q3181656,The Nuttall Encyclopædia,4,0
Q160236,Metropolitan Museum of Art,Q3181656,The Nuttall Encyclopædia,3,0
Q3783572,Harvard Art Museums,Q3181656,The Nuttall Encyclopædia,2,0
Q1201549,Detroit Institute of Arts,Q3181656,The Nuttall Encyclopædia,3,0
Q214867,National Gallery of Art,Q3181656,The Nuttall Encyclopædia,5,0
Q74128,Alfred Flechtheim,Q3181656,The Nuttall Encyclopædia,5,0
Q657415,Cleveland Museum of Art,Q3181656,The Nuttall Encyclopædia,3,0
Q160236,Metropolitan Museum of Art,Q26821240,Bathing Nymphs,5,0
Q160236,Metropolitan Museum of Art,Q27980296,Birth of Jupiter,5,0
Q55680361,Oskar Reichel,Q60474736,The Aviator,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q109354198,Boy Holding a Blue Vase,2,1
Q55680361,Oskar Reichel,Q109354198,Boy Holding a Blue Vase,5,1
Q160236,Metropolitan Museum of Art,Q4987244,Bulb Fields,5,1
Q74128,Alfred Flechtheim,Q37226,teacher,5,0
Q160236,Metropolitan Museum of Art,Q3853758,Tarquin and Lucretia,5,1
Q156426,Alexej von Jawlensky,Q4114391,Sytin Military Encyclopedia,3,0
Q867510,Cypresses,Q4114391,Sytin Military Encyclopedia,4,0
Q324935,Ferenc Hatvany,Q4114391,Sytin Military Encyclopedia,4,0
Q17277888,Gottlieb Friedrich Reber,Q19698487,Swedish Publicist's Association Photo Directory 1936,4,0
Q17277888,Gottlieb Friedrich Reber,Q10501038,Swedish church birth records,5,0
Q17277888,Gottlieb Friedrich Reber,Q48761314,Swedish Census 1910,3,0
Q214867,National Gallery of Art,Q48761314,Swedish Census 1910,5,0
Q17277888,Gottlieb Friedrich Reber,Q50287368,Swedish Census 1900,4,0
Q17277888,Gottlieb Friedrich Reber,Q50287327,Swedish Census 1890,4,0
Q17277888,Gottlieb Friedrich Reber,Q49213654,Swedish Census 1880,3,0
Q214867,National Gallery of Art,Q49213654,Swedish Census 1880,5,0
Q26221184,Olive Picking,Q10873124,chess player,4,0
Q1634926,Hugo Cassirer,Q36834,composer,5,0
Q1634926,Hugo Cassirer,Q158852,conductor,5,0
Q17277888,Gottlieb Friedrich Reber,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary,4,0
Q29441758,Margarete Mauthner,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary,4,0
Q3783572,Harvard Art Museums,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary,5,0
Q26221184,Olive Picking,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary,4,0
Q214867,National Gallery of Art,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary,3,0
Q657415,Cleveland Museum of Art,Q19180675,Small Brockhaus and Efron Encyclopedic Dictionary,3,0
Q1634926,Hugo Cassirer,Q95541,Samuel Fischer,4,1
Q867510,Cypresses,Q21785872,"Edge of the Woods Near L'Hermitage, Pontoise",4,1
Q104530765,Hugo Nathan,Q21785872,"Edge of the Woods Near L'Hermitage, Pontoise",3,1
Q26221201,Two Diggers among Trees,Q21785872,"Edge of the Woods Near L'Hermitage, Pontoise",4,1
Q29441758,Margarete Mauthner,Q27680201,Riemann's Music Dictionary (1901–1904),2,0
Q104530765,Hugo Nathan,Q96297,Emil Georg Bührle,5,1
Q160236,Metropolitan Museum of Art,Q96297,Emil Georg Bührle,5,1
Q1634926,Hugo Cassirer,Q5375476,Enclosed Field with Peasant,3,1
Q17277888,Gottlieb Friedrich Reber,Q5375476,Enclosed Field with Peasant,4,1
Q160236,Metropolitan Museum of Art,Q27980683,Portrait of the Artist's daughter Lavinia,5,0
Q214867,National Gallery of Art,Q1551926,Portrait of Stéphane Mallarmé,5,0
Q1634926,Hugo Cassirer,Q17813915,Portrait of Petrus Scriverius,5,0
Q214867,National Gallery of Art,Q2105271,Portrait of Mademoiselle Claus,5,0
Q17277888,Gottlieb Friedrich Reber,Q2105269,Portrait of Henri Rochefort,4,0
Q160236,Metropolitan Museum of Art,Q27978043,Portrait of Grand Duchess Bianca Capello (1548-1587),5,0
Q160236,Metropolitan Museum of Art,Q26712700,Portrait of Fabrizio Salvaresio,5,0
Q1634926,Hugo Cassirer,Q17815340,Portrait of Anna van der Aar,5,0
Q214867,National Gallery of Art,Q17815340,Portrait of Anna van der Aar,5,0
Q160236,Metropolitan Museum of Art,Q2842423,Portrait of Ambroise Vollard in a Red Headscarf,5,0
Q214867,National Gallery of Art,Q2842423,Portrait of Ambroise Vollard in a Red Headscarf,3,0
Q160236,Metropolitan Museum of Art,Q20174444,Portrait of a Youth,5,0
Q160236,Metropolitan Museum of Art,Q28019486,Portrait of a Young Lady,5,0
Q1634926,Hugo Cassirer,Q3937681,Portrait of a Woman with a Man at a Casement,5,0
Q17277888,Gottlieb Friedrich Reber,Q17275827,Portrait of a man in a plumed hat,4,0
Q55680361,Oskar Reichel,Q20539227,Portrait of a Man and Woman in an Interior,3,1
Q1634926,Hugo Cassirer,Q19911671,"Portrait of a Man, Said to be Christopher Columbus (born about 1446, died 1506)",5,0
Q214867,National Gallery of Art,Q19911671,"Portrait of a Man, Said to be Christopher Columbus (born about 1446, died 1506)",5,0
Q160236,Metropolitan Museum of Art,Q28020106,Portrait of a Bearded Man,5,0
Q160236,Metropolitan Museum of Art,Q1485141,Polish Biographical Dictionary,4,0
Q1634926,Hugo Cassirer,Q49757,poet,3,0
Q160236,Metropolitan Museum of Art,Q106323898,Pavlenkov Encyclopedic Dictionary,5,0
Q160236,Metropolitan Museum of Art,Q152785,Pauline Bonaparte,4,0
Q160236,Metropolitan Museum of Art,Q18662018,galerie Georges Petit,3,1
Q17277888,Gottlieb Friedrich Reber,Q64216457,Galerie Jacques Dubourg,4,1
Q55680361,Oskar Reichel,Q27431468,Galerie St. Etienne,2,1
Q17277888,Gottlieb Friedrich Reber,Q20771242,gallerist,5,1
Q1634926,Hugo Cassirer,Q106906938,Georges Durand-Ruel,5,1
Q867510,Cypresses,Q47035126,Gottfried Tanner,4,1
Q160236,Metropolitan Museum of Art,Q1358886,Grand Synagogue of Paris,5,0
Q1634926,Hugo Cassirer,Q1768721,Gujin Tushu Jicheng,4,0
Q867510,Cypresses,Q1768721,Gujin Tushu Jicheng,3,0
Q104530765,Hugo Nathan,Q1768721,Gujin Tushu Jicheng,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q1768721,Gujin Tushu Jicheng,3,0
Q1634926,Hugo Cassirer,Q104601081,Österreichische Schriftstellerinnen 1880–1938,4,0
Q69860245,Mór Lipót Herzog,Q1768721,Gujin Tushu Jicheng,2,0
Q324935,Ferenc Hatvany,Q1768721,Gujin Tushu Jicheng,3,0
Q160236,Metropolitan Museum of Art,Q19211082,Orthodox Theological Encyclopedia,3,0
Q160236,Metropolitan Museum of Art,Q1768721,Gujin Tushu Jicheng,3,0
Q214867,National Gallery of Art,Q19222701,Oesterreichische National-Encyklopädie,5,0
Q214867,National Gallery of Art,Q1768721,Gujin Tushu Jicheng,4,0
Q20178788,Still Life with Apples,Q1768721,Gujin Tushu Jicheng,4,0
Q74128,Alfred Flechtheim,Q1768721,Gujin Tushu Jicheng,4,0
Q1634926,Hugo Cassirer,Q1573212,Hamburg Biographies,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q1573212,Hamburg Biographies,4,0
Q160236,Metropolitan Museum of Art,Q1573212,Hamburg Biographies,5,0
Q74128,Alfred Flechtheim,Q1573212,Hamburg Biographies,3,0
Q1634926,Hugo Cassirer,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",5,1
Q867510,Cypresses,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",4,1
Q104530765,Hugo Nathan,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",5,1
Q21948567,Sunflowers,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",4,1
Q17277888,Gottlieb Friedrich Reber,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",3,1
Q74128,Alfred Flechtheim,Q58433306,"Hans Haacke,Framing and Being Framed: 7 Works, 1970–75",3,1
Q160236,Metropolitan Museum of Art,Q20442391,Head of a peasant,5,1
Q214867,National Gallery of Art,Q20442391,Head of a peasant,5,1
Q1634926,Hugo Cassirer,Q89929597,hedendaagsesieraden.nl,5,0
Q867510,Cypresses,Q89929597,hedendaagsesieraden.nl,4,0
Q104530765,Hugo Nathan,Q89929597,hedendaagsesieraden.nl,5,0
Q26221184,Olive Picking,Q89929597,hedendaagsesieraden.nl,4,0
Q1634926,Hugo Cassirer,Q20089963,New International Encyclopedia (1902–05),5,0
Q160236,Metropolitan Museum of Art,Q56857488,Napoléons moder (Letizia Ramolino Bonaparte),5,0
Q160236,Metropolitan Museum of Art,Q434077,"Prince Napoléon-Jérôme, Prince Napoléon",5,0
Q17277888,Gottlieb Friedrich Reber,Q54149726,Hitler and Genghis Khan,5,0
Q55680361,Oskar Reichel,Q49133,Museum of Fine Arts Boston,2,0
Q55680361,Oskar Reichel,Q54149726,Hitler and Genghis Khan,5,0
Q74128,Alfred Flechtheim,Q54149726,Hitler and Genghis Khan,5,0
Q104530765,Hugo Nathan,Q27051827,"Hoff's Kurze Biographien, vol 2",5,0
Q160236,Metropolitan Museum of Art,Q27051827,"Hoff's Kurze Biographien, vol 2",5,0
Q867510,Cypresses,Q16000367,horse breeder,5,0
Q104530765,Hugo Nathan,Q16000367,horse breeder,4,0
Q160236,Metropolitan Museum of Art,Q16000367,horse breeder,4,0
Q160236,Metropolitan Museum of Art,Q369234,Hôtel de Chalon-Luxembourg,5,0
Q214867,National Gallery of Art,Q3145951,Hôtel de Rohan-Montbazon,3,0
Q160236,Metropolitan Museum of Art,Q19832938,hôtel Dodun,5,0
Q867510,Cypresses,Q333256,"Hugh Grosvenor, 1st Duke of Westminster",5,0
Q104530765,Hugo Nathan,Q333256,"Hugh Grosvenor, 1st Duke of Westminster",4,0
Q26221201,Two Diggers among Trees,Q333256,"Hugh Grosvenor, 1st Duke of Westminster",5,0
Q26221201,Two Diggers among Trees,Q1384654,"Hugh Grosvenor, 2nd Duke of Westminster",5,0
Q1634926,Hugo Cassirer,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,5,1
Q867510,Cypresses,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,5,1
Q104530765,Hugo Nathan,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,5,1
Q160236,Metropolitan Museum of Art,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,3,1
Q3783572,Harvard Art Museums,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,5,1
Q26221184,Olive Picking,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,4,1
Q214867,National Gallery of Art,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,3,1
Q74128,Alfred Flechtheim,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,4,1
Q657415,Cleveland Museum of Art,Q106727050,Metropolitan Museum of Art Tagging Vocabulary,3,1
Q1634926,Hugo Cassirer,Q1868065,merchant's house,5,0
Q74128,Alfred Flechtheim,Q1868065,merchant's house,4,0
Q5147536,Josef Feinhals,Q644687,illustrator,2,0
Q214867,National Gallery of Art,Q644687,illustrator,5,0
Q657415,Cleveland Museum of Art,Q20026460,Interior with a Woman sewing and a Child,3,1
Q657415,Cleveland Museum of Art,Q432,Islam,4,0
Q3783572,Harvard Art Museums,Q17576108,Islamopedia Online,2,0
Q160236,Metropolitan Museum of Art,Q3837491,Jacob Wrestling with the Angel,5,0
Q867510,Cypresses,Q3067376,Jacques Seligmann & Company,3,1
Q867510,Cypresses,Q100708933,Martin Fabiani,4,1
Q104530765,Hugo Nathan,Q100708933,Martin Fabiani,5,1
Q160236,Metropolitan Museum of Art,Q100708933,Martin Fabiani,4,1
Q214867,National Gallery of Art,Q62576151,Marthe Meurier,5,0
Q160236,Metropolitan Museum of Art,Q17603041,Marthe Hoschedé,3,0
Q867510,Cypresses,Q3175096,Jean Walter,4,1
Q104530765,Hugo Nathan,Q3175096,Jean Walter,5,1
Q4008950,Irises,Q2554450,Johanna van Gogh-Bonger,1,1
Q17277888,Gottlieb Friedrich Reber,Q1706617,Joseph Beuys,5,0
Q74128,Alfred Flechtheim,Q1706617,Joseph Beuys,5,0
Q214867,National Gallery of Art,Q9268,Judaism,4,1
Q17277888,Gottlieb Friedrich Reber,Q47530987,Julius Böhler Jr.,5,1
Q74128,Alfred Flechtheim,Q63342871,Julius Wilhelm Böhler,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q66503800,Käte Perls,5,1
Q74128,Alfred Flechtheim,Q66503800,Käte Perls,4,1
Q1634926,Hugo Cassirer,Q964608,Lucien Pissarro,4,1
Q160236,Metropolitan Museum of Art,Q935182,Lucien Louis Joseph Napoleon Bonaparte,4,0
Q11770767,Still life with coffee pot  dishes and fruit,Q26221124,L'Arlésienne,2,0
Q160236,Metropolitan Museum of Art,Q17519173,L'Arlésienne,5,0
Q214867,National Gallery of Art,Q17519173,L'Arlésienne,3,0
Q160236,Metropolitan Museum of Art,Q4896868,La belle Angèle,5,0
Q214867,National Gallery of Art,Q4896868,La belle Angèle,3,0
Q867510,Cypresses,Q26689481,La Ferté,5,1
Q17277888,Gottlieb Friedrich Reber,Q26689481,La Ferté,4,1
Q160236,Metropolitan Museum of Art,Q20177080,Lady with a Fan,5,0
Q214867,National Gallery of Art,Q2815948,landscape architect,4,0
Q160236,Metropolitan Museum of Art,Q3220784,Le Canal Saint-Martin,5,0
Q214867,National Gallery of Art,Q3220784,Le Canal Saint-Martin,5,0
Q324935,Ferenc Hatvany,Q1549283,large estate owner,3,0
